WGS84Lati,WGS84Long,調查時間,國家公園,違反案件數
21.94844,120.779977,2001,墾丁國家公園,1
21.94844,120.779977,2002,墾丁國家公園,0
21.94844,120.779977,2003,墾丁國家公園,4
21.94844,120.779977,2004,墾丁國家公園,7
21.94844,120.779977,2005,墾丁國家公園,8
21.94844,120.779977,2006,墾丁國家公園,22
21.94844,120.779977,2007,墾丁國家公園,15
21.94844,120.779977,2008,墾丁國家公園,13
21.94844,120.779977,2009,墾丁國家公園,15
21.94844,120.779977,2010,墾丁國家公園,11
21.94844,120.779977,2011,墾丁國家公園,22
21.94844,120.779977,2012,墾丁國家公園,20
21.94844,120.779977,2013,墾丁國家公園,26
21.94844,120.779977,2014,墾丁國家公園,33
21.94844,120.779977,2015,墾丁國家公園,12
21.94844,120.779977,2016,墾丁國家公園,31
21.94844,120.779977,2017,墾丁國家公園,34
23.47055,120.960717,2001,玉山國家公園,7
23.47055,120.960717,2002,玉山國家公園,8
23.47055,120.960717,2003,玉山國家公園,11
23.47055,120.960717,2004,玉山國家公園,3
23.47055,120.960717,2005,玉山國家公園,2
23.47055,120.960717,2006,玉山國家公園,3
23.47055,120.960717,2007,玉山國家公園,2
23.47055,120.960717,2008,玉山國家公園,1
23.47055,120.960717,2009,玉山國家公園,2
23.47055,120.960717,2010,玉山國家公園,2
23.47055,120.960717,2011,玉山國家公園,6
23.47055,120.960717,2012,玉山國家公園,2
23.47055,120.960717,2013,玉山國家公園,0
23.47055,120.960717,2014,玉山國家公園,-
23.47055,120.960717,2015,玉山國家公園,1
23.47055,120.960717,2016,玉山國家公園,-
23.47055,120.960717,2017,玉山國家公園,1
25.194285,121.561159,2001,陽明山國家公園,35
25.194285,121.561159,2002,陽明山國家公園,30
25.194285,121.561159,2003,陽明山國家公園,36
25.194285,121.561159,2004,陽明山國家公園,17
25.194285,121.561159,2005,陽明山國家公園,13
25.194285,121.561159,2006,陽明山國家公園,16
25.194285,121.561159,2007,陽明山國家公園,21
25.194285,121.561159,2008,陽明山國家公園,3
25.194285,121.561159,2009,陽明山國家公園,1
25.194285,121.561159,2010,陽明山國家公園,14
25.194285,121.561159,2011,陽明山國家公園,5
25.194285,121.561159,2012,陽明山國家公園,7
25.194285,121.561159,2013,陽明山國家公園,5
25.194285,121.561159,2014,陽明山國家公園,1
25.194285,121.561159,2015,陽明山國家公園,1
25.194285,121.561159,2016,陽明山國家公園,4
25.194285,121.561159,2017,陽明山國家公園,4
24.194279,121.491049,2001,太魯閣國家公園,-
24.194279,121.491049,2002,太魯閣國家公園,4
24.194279,121.491049,2003,太魯閣國家公園,2
24.194279,121.491049,2004,太魯閣國家公園,3
24.194279,121.491049,2005,太魯閣國家公園,1
24.194279,121.491049,2006,太魯閣國家公園,1
24.194279,121.491049,2007,太魯閣國家公園,1
24.194279,121.491049,2008,太魯閣國家公園,-
24.194279,121.491049,2009,太魯閣國家公園,2
24.194279,121.491049,2010,太魯閣國家公園,1
24.194279,121.491049,2011,太魯閣國家公園,8
24.194279,121.491049,2012,太魯閣國家公園,1
24.194279,121.491049,2013,太魯閣國家公園,-
24.194279,121.491049,2014,太魯閣國家公園,-
24.194279,121.491049,2015,太魯閣國家公園,1
24.194279,121.491049,2016,太魯閣國家公園,-
24.194279,121.491049,2017,太魯閣國家公園,-
24.362418,121.125246,2001,雪霸國家公園,7
24.362418,121.125246,2002,雪霸國家公園,7
24.362418,121.125246,2003,雪霸國家公園,4
24.362418,121.125246,2004,雪霸國家公園,0
24.362418,121.125246,2005,雪霸國家公園,0
24.362418,121.125246,2006,雪霸國家公園,0
24.362418,121.125246,2007,雪霸國家公園,0
24.362418,121.125246,2008,雪霸國家公園,1
24.362418,121.125246,2009,雪霸國家公園,3
24.362418,121.125246,2010,雪霸國家公園,0
24.362418,121.125246,2011,雪霸國家公園,0
24.362418,121.125246,2012,雪霸國家公園,0
24.362418,121.125246,2013,雪霸國家公園,-
24.362418,121.125246,2014,雪霸國家公園,-
24.362418,121.125246,2015,雪霸國家公園,-
24.362418,121.125246,2016,雪霸國家公園,-
24.362418,121.125246,2017,雪霸國家公園,-
24.444165,118.352824,2001,金門國家公園,1
24.444165,118.352824,2002,金門國家公園,6
24.444165,118.352824,2003,金門國家公園,0
24.444165,118.352824,2004,金門國家公園,0
24.444165,118.352824,2005,金門國家公園,0
24.444165,118.352824,2006,金門國家公園,1
24.444165,118.352824,2007,金門國家公園,2
24.444165,118.352824,2008,金門國家公園,2
24.444165,118.352824,2009,金門國家公園,2
24.444165,118.352824,2010,金門國家公園,2
24.444165,118.352824,2011,金門國家公園,-
24.444165,118.352824,2012,金門國家公園,8
24.444165,118.352824,2013,金門國家公園,5
24.444165,118.352824,2014,金門國家公園,6
24.444165,118.352824,2015,金門國家公園,12
24.444165,118.352824,2016,金門國家公園,4
24.444165,118.352824,2017,金門國家公園,5
20.698432,116.733642,2001,東沙環礁國家公園,-
20.698432,116.733642,2002,東沙環礁國家公園,-
20.698432,116.733642,2003,東沙環礁國家公園,-
20.698432,116.733642,2004,東沙環礁國家公園,-
20.698432,116.733642,2005,東沙環礁國家公園,-
20.698432,116.733642,2006,東沙環礁國家公園,-
20.698432,116.733642,2007,東沙環礁國家公園,-
20.698432,116.733642,2008,東沙環礁國家公園,-
20.698432,116.733642,2009,東沙環礁國家公園,-
20.698432,116.733642,2010,東沙環礁國家公園,-
20.698432,116.733642,2011,東沙環礁國家公園,-
20.698432,116.733642,2012,東沙環礁國家公園,-
20.698432,116.733642,2013,東沙環礁國家公園,-
20.698432,116.733642,2014,東沙環礁國家公園,-
20.698432,116.733642,2015,東沙環礁國家公園,-
20.698432,116.733642,2016,東沙環礁國家公園,1
20.698432,116.733642,2017,東沙環礁國家公園,1
23.003383,120.135666,2001,台江國家公園,-
23.003383,120.135666,2002,台江國家公園,-
23.003383,120.135666,2003,台江國家公園,-
23.003383,120.135666,2004,台江國家公園,-
23.003383,120.135666,2005,台江國家公園,-
23.003383,120.135666,2006,台江國家公園,-
23.003383,120.135666,2007,台江國家公園,-
23.003383,120.135666,2008,台江國家公園,-
23.003383,120.135666,2009,台江國家公園,-
23.003383,120.135666,2010,台江國家公園,-
23.003383,120.135666,2011,台江國家公園,-
23.003383,120.135666,2012,台江國家公園,23
23.003383,120.135666,2013,台江國家公園,95
23.003383,120.135666,2014,台江國家公園,3
23.003383,120.135666,2015,台江國家公園,41
23.003383,120.135666,2016,台江國家公園,2
23.003383,120.135666,2017,台江國家公園,1
23.248965,119.615682,2001,澎湖南方四島,-
23.248965,119.615682,2002,澎湖南方四島,-
23.248965,119.615682,2003,澎湖南方四島,-
23.248965,119.615682,2004,澎湖南方四島,-
23.248965,119.615682,2005,澎湖南方四島,-
23.248965,119.615682,2006,澎湖南方四島,-
23.248965,119.615682,2007,澎湖南方四島,-
23.248965,119.615682,2008,澎湖南方四島,-
23.248965,119.615682,2009,澎湖南方四島,-
23.248965,119.615682,2010,澎湖南方四島,-
23.248965,119.615682,2011,澎湖南方四島,-
23.248965,119.615682,2012,澎湖南方四島,-
23.248965,119.615682,2013,澎湖南方四島,-
23.248965,119.615682,2014,澎湖南方四島,-
23.248965,119.615682,2015,澎湖南方四島,-
23.248965,119.615682,2016,澎湖南方四島,-
23.248965,119.615682,2017,澎湖南方四島,-
