siteName	year	month	date	samplingDepthInMeter	distToCoast	samplingVolume	debrisDaily	debrisOrganism	debrisWood	miscellaneous
"台灣電力股份有限公司
(大林發電廠)"	104	2	27	8	0	2814912.00 	0	0	0	5280
"台灣電力股份有限公司
(大林發電廠)"	104	3	17	8	0	5032180.00 	0	0	0	3260
"台灣電力股份有限公司
(大林發電廠)"	104	4	2	8	0	4601850.00 	0	0	0	1300
"台灣電力股份有限公司
(大林發電廠)"	104	4	23	8	0	4610795.00 	0	0	0	2370
"台灣電力股份有限公司
(大林發電廠)"	104	5	13	8	0	6768938.00 	0	0	0	2590
"台灣電力股份有限公司
(大林發電廠)"	104	6	2	8	0	5508000.00 	0	0	0	3420
"台灣電力股份有限公司
(大林發電廠)"	104	6	11	8	0	5508000.00 	0	0	0	1940
"台灣電力股份有限公司
(大林發電廠)"	104	7	8	8	0	6956293.00 	0	0	0	5830
"台灣電力股份有限公司
(大林發電廠)"	104	7	22	8	0	5508000.00 	0	0	0	4640
"台灣電力股份有限公司
(大林發電廠)"	104	8	6	8	0	7444036.00 	0	0	0	3690
"台灣電力股份有限公司
(大林發電廠)"	104	8	21	8	0	5508000.00 	0	0	0	6310
"台灣電力股份有限公司
(大林發電廠)"	104	8	25	8	0	5508000.00 	0	0	0	5210
"台灣電力股份有限公司
(大林發電廠)"	104	9	11	8	0	4142952.00 	0	0	0	4510
"台灣電力股份有限公司
(大林發電廠)"	104	9	24	8	0	6231614.00 	0	0	0	3450
"台灣電力股份有限公司
(大林發電廠)"	104	10	12	8	0	4100544.00 	0	0	0	3540
"台灣電力股份有限公司
(大林發電廠)"	104	10	29	8	0	6150816.00 	0	0	0	2440
"台灣電力股份有限公司
(大林發電廠)"	104	11	19	8	0	6028992.00 	0	0	0	2250
"台灣電力股份有限公司
(大林發電廠)"	104	11	30	8	0	6028992.00 	0	0	0	2680
"台灣電力股份有限公司
(大林發電廠)"	104	12	22	8	0	4743360.00 	0	0	0	2920
"台灣電力股份有限公司
(大林發電廠)"	105	1	7	8	0	4179110.00 	0	0	0	4470
"台灣電力股份有限公司
(大林發電廠)"	105	1	19	8	0	3335904.00 	0	0	0	6500
"台灣電力股份有限公司
(大林發電廠)"	105	2	1	8	0	5381265.00 	0	0	0	5520
"台灣電力股份有限公司
(大林發電廠)"	105	2	19	8	0	4100544.00 	0	0	0	2490
"台灣電力股份有限公司
(大林發電廠)"	105	3	3	8	0	4100544.00 	0	0	0	1680
"台灣電力股份有限公司
(大林發電廠)"	105	3	21	8	0	4279719.00 	0	0	0	2060
"台灣電力股份有限公司
(大林發電廠)"	105	4	8	8	0	3457728.00 	0	0	0	2010
"台灣電力股份有限公司
(大林發電廠)"	105	5	3	8	0	4425523.00 	0	0	0	2760
"台灣電力股份有限公司
(大林發電廠)"	105	6	1	8	0	7314624.00 	0	0	0	3850
"台灣電力股份有限公司
(大林發電廠)"	105	7	4	8	0	6836528.00 	0	0	0	2510
"台灣電力股份有限公司
(大林發電廠)"	105	7	22	8	0	7195881.00 	0	0	0	4300
"台灣電力股份有限公司
(大林發電廠)"	105	8	9	8	0	6765104.00 	0	0	0	4460
"台灣電力股份有限公司
(大林發電廠)"	105	9	1	8	0	4743360.00 	0	0	0	6500
"台灣電力股份有限公司
(大林發電廠)"	105	10	4	8	0	4092015.00 	0	0	0	6980
"台灣電力股份有限公司
(大林發電廠)"	105	11	3	8	0	4745484.00 	0	0	0	5620
"台灣電力股份有限公司
(大林發電廠)"	105	12	9	8	0	4743360.00 	0	0	0	4710
"台灣電力股份有限公司
(大林發電廠)"	106	1	3	8	0	6028992.00 	0	0	0	7620
"台灣電力股份有限公司
(大林發電廠)"	106	1	24	8	0	5160744.00 	0	0	0	6960
"台灣電力股份有限公司
(大林發電廠)"	106	2	17	8	0	4743360.00 	0	0	0	6970
"台灣電力股份有限公司
(大林發電廠)"	106	3	22	8	0	2814912.00 	0	0	0	5870
"台灣電力股份有限公司
(大林發電廠)"	106	4	19	8	0	5804453.00 	0	0	0	5140
"台灣電力股份有限公司
(大林發電廠)"	106	5	8	8	0	6387257.00 	0	0	0	6920
"台灣電力股份有限公司
(大林發電廠)"	106	5	23	8	0	5508000.00 	0	0	0	7390
"台灣電力股份有限公司
(大林發電廠)"	106	6	5	8	0	5306226.00 	0	0	0	7910
"台灣電力股份有限公司
(大林發電廠)"	106	6	15	8	0	5495054.00 	0	0	0	7820
"台灣電力股份有限公司
(大林發電廠)"	106	7	3	8	0	6016003.00 	0	0	0	8010
"台灣電力股份有限公司
(大林發電廠)"	106	7	14	8	0	7377522.00 	0	0	0	5240
