SITE,年,季節,蛙種,數量,縣市,鄉鎮,地點,環境型態,經度,緯度
1,2011,S3,小雨蛙,0,花蓮縣,花蓮市,南濱魚池,墾地,121.608139,23.968301
1,2011,S3,布氏樹蛙,0,花蓮縣,花蓮市,南濱魚池,墾地,121.608139,23.968301
1,2011,S3,拉都希氏赤蛙,0,花蓮縣,花蓮市,南濱魚池,墾地,121.608139,23.968301
1,2011,S3,虎皮蛙,0,花蓮縣,花蓮市,南濱魚池,墾地,121.608139,23.968301
1,2011,S3,貢德氏赤蛙,6,花蓮縣,花蓮市,南濱魚池,墾地,121.608139,23.968301
1,2011,S3,莫氏樹蛙,0,花蓮縣,花蓮市,南濱魚池,墾地,121.608139,23.968301
1,2011,S3,黑眶蟾蜍,1,花蓮縣,花蓮市,南濱魚池,墾地,121.608139,23.968301
1,2011,S3,腹斑蛙,0,花蓮縣,花蓮市,南濱魚池,墾地,121.608139,23.968301
1,2011,S3,澤蛙,1,花蓮縣,花蓮市,南濱魚池,墾地,121.608139,23.968301
1,2011,S4,小雨蛙,0,花蓮縣,花蓮市,南濱魚池,墾地,121.608139,23.968301
1,2011,S4,布氏樹蛙,0,花蓮縣,花蓮市,南濱魚池,墾地,121.608139,23.968301
1,2011,S4,拉都希氏赤蛙,0,花蓮縣,花蓮市,南濱魚池,墾地,121.608139,23.968301
1,2011,S4,虎皮蛙,0,花蓮縣,花蓮市,南濱魚池,墾地,121.608139,23.968301
1,2011,S4,貢德氏赤蛙,1,花蓮縣,花蓮市,南濱魚池,墾地,121.608139,23.968301
1,2011,S4,莫氏樹蛙,0,花蓮縣,花蓮市,南濱魚池,墾地,121.608139,23.968301
1,2011,S4,黑眶蟾蜍,1,花蓮縣,花蓮市,南濱魚池,墾地,121.608139,23.968301
1,2011,S4,腹斑蛙,0,花蓮縣,花蓮市,南濱魚池,墾地,121.608139,23.968301
1,2011,S4,澤蛙,0,花蓮縣,花蓮市,南濱魚池,墾地,121.608139,23.968301
1,2012,S2,小雨蛙,2,花蓮縣,花蓮市,南濱魚池,墾地,121.608139,23.968301
1,2012,S2,布氏樹蛙,0,花蓮縣,花蓮市,南濱魚池,墾地,121.608139,23.968301
1,2012,S2,拉都希氏赤蛙,0,花蓮縣,花蓮市,南濱魚池,墾地,121.608139,23.968301
1,2012,S2,虎皮蛙,0,花蓮縣,花蓮市,南濱魚池,墾地,121.608139,23.968301
1,2012,S2,貢德氏赤蛙,0,花蓮縣,花蓮市,南濱魚池,墾地,121.608139,23.968301
1,2012,S2,莫氏樹蛙,0,花蓮縣,花蓮市,南濱魚池,墾地,121.608139,23.968301
1,2012,S2,黑眶蟾蜍,36,花蓮縣,花蓮市,南濱魚池,墾地,121.608139,23.968301
1,2012,S2,腹斑蛙,0,花蓮縣,花蓮市,南濱魚池,墾地,121.608139,23.968301
1,2012,S2,澤蛙,3,花蓮縣,花蓮市,南濱魚池,墾地,121.608139,23.968301
1,2012,S3,小雨蛙,1,花蓮縣,花蓮市,南濱魚池,墾地,121.608139,23.968301
1,2012,S3,布氏樹蛙,0,花蓮縣,花蓮市,南濱魚池,墾地,121.608139,23.968301
1,2012,S3,拉都希氏赤蛙,1,花蓮縣,花蓮市,南濱魚池,墾地,121.608139,23.968301
1,2012,S3,虎皮蛙,0,花蓮縣,花蓮市,南濱魚池,墾地,121.608139,23.968301
