年份,近海漁業產量(千噸),沿岸漁業產量(千噸)
1959,88.168,33.573
1960,91.169,31.76
1961,109.598,37.85
1962,125.279,38.113
1963,136.559,43.013
1964,153.744,38.273
1965,153.944,36.309
1966,165.56,30.773
1967,179.522,32.264
1968,201.275,30.774
1969,215.14,32.323
1970,230.306,32.572
1971,245.507,32.417
1972,237.905,28.311
1973,259.45,26.979
1974,238.015,21.748
1975,292.739,30.062
1976,313.864,33.322
1977,341.62,33.839
1978,354.44,32.677
1979,363.805,37.284
1980,370.129,38.072
1981,345.58,39.891
1982,345.083,41.483
1983,319.634,47.77
1984,333.392,52.037
1985,315.379,55.506
1986,305.839,57.078
1987,300.15,54.405
1988,307.66,49.544
1989,333.309,50.284
1990,291.91,48.846
1991,266.566,41.611
1992,280.188,45.724
1993,258.071,43.974
1994,241.698,40.375
1995,255.816,43.685
1996,256.252,41.435
1997,246.305363,41.845509
1998,208.872533,44.145425
1999,206.2200202,40.51477819
2000,169.0076557,44.101021
2001,159.799537,49.654488
2002,185.6552388,49.962033
2003,193.1594289,64.0616609
2004,196.6739534,57.34666343
2005,201.162237,53.4613717
2006,154.7401373,54.51417307
2007,135.4168745,54.30339426
2008,133.3226636,47.59314926
2009,147.3639094,40.55332194
2010,128.7824307,34.76403193
2011,163.5362311,28.13297211
2012,148.2504041,33.05622492
2013,125.0211442,27.56558138
2014,139.9279105,29.40735649
2015,135.2983409,25.26387438
2016,139.1733576,26.57982943
2017,160.1401352,27.49471225
2018,161.5287924,26.39311401
2019,154.9648339,31.01172566
2020,150.013,24.549
