年,正鰹,圓花鰹,扁花鰹,帶魚科,鬼頭刀
2011,"1,602,234","291,911","393,384","530,292","146,903"
2012,"1,195,374","254,044","747,275","653,060","189,383"
2013,"1,047,764","384,057","521,616","573,224","506,118"
2014,"1,762,520","724,499","1,019,601","272,678","583,921"
2015,"1,626,409","650,721","687,388","294,532","499,306"
2016,"1,209,790","337,242","630,660","279,342","227,951"
2017,"923,204","346,997","547,601","296,400","287,759"
2018,"1,259,661","477,223","423,485","538,947","422,206"
2019,"635,238","250,150","287,603","511,376","927,805"
2020,"1,194,443","397,524","373,170","413,033","828,116"
2021,"913,904","353,689","420,104","305,376","426,911"
2022,"605,665","182,397","303,355","218,260","424,011"
2023,"649,191","252,054","472,726","255,190","447,348"
2024,"717,688","277,844","491,395","224,935","393,853"
2025,"865,439","199,001","574,385","196,418","196,570"
