年,台東縣,宜蘭縣,花蓮縣,屏東縣,苗栗縣,新竹市,澎湖縣,新北市
2011,"679,481","3,746,935","1,236,607","216,156","67,802","61,978","38,234",
2012,"706,680","4,647,713","1,046,676","216,797","23,865","61,151",,
2013,"573,100","3,641,095","1,822,378","226,135","366,418","199,962","98,634",
2014,"1,096,496","4,777,286","2,597,294","285,779","154,311","469,989","397,369",
2015,"856,041","3,993,789","2,903,981","225,828","120,667","270,884","309,489",
2016,"498,506","3,701,593","1,558,386","151,554","126,374","268,253","209,600",
2017,"638,852","3,273,272","1,819,434","178,277","166,648","375,894","238,594",
2018,"580,945","3,894,256","1,950,965","152,451","106,800","747,837","253,098",
2019,"688,026","3,355,099","1,866,824","137,447",824,"539,700","179,032",
2020,"541,022","5,151,519","2,313,552","205,387","94,250","429,349","55,532",
2021,"514,249","3,357,165","1,813,801",170,"215,166","726,443","33,189",
2022,"309,904","2,903,123","1,427,123","128,457","54,228","649,431","82,890",
2023,"387,575","3,613,726","1,628,003","96,386","540,272","816,932",,
2024,"421,113","2,971,027","1,517,382","224,656","214,657","371,674","4,715",
2025,"327,785","2,712,344","1,216,378","284,897","232,565","326,520","30,300",399
