年份,漁船噸數(千噸),年變化量(千噸)
1967,175.143,
1968,204.491,29.348
1969,230.56272,26.07172
1970,249.44366,18.88094
1971,263.01605,13.57239
1972,295.93751,32.92146
1973,357.59099,61.65348
1974,434.11572,76.52473
1975,431.23088,-2.88484
1976,407.51401,-23.71687
1977,450.90876,43.39475
1978,418.77461,-32.13415
1979,455.45352,36.67891
1980,476.47979,21.02627
1981,487.47032,10.99053
1982,488.84835,1.37803
1983,501.72857,12.88022
1984,552.40808,50.67951
1985,584.41499,32.00691
1986,622.2685,37.85351
1987,707.94509,85.67659
1988,801.17174,93.22665
1989,917.95848,116.78674
1990,968.47293,50.51445
1991,942.00783,-26.4651
1992,926.7026,-15.30523
1993,908.98624,-17.71636
1994,911.57816,2.59192
1995,898.41946,-13.1587
1996,885.60614,-12.81332
1997,894.78304,9.1769
1998,815.07418,-79.70886
1999,817.07767,2.00349
2000,810.1056,-6.97207
2001,818.22972,8.12412
2002,821.72027,3.49055
2003,825.61494,3.89467
2004,826.91315,1.29821
2005,807.24565,-19.6675
2006,743.73648,-63.50917
2007,727.21097,-16.52551
2008,694.66638,-32.54459
2009,665.12356,-29.54282
2010,674.95074,9.82718
2011,621.5243,-53.42644
2012,619.41948,-2.10482
2013,604.67651,-14.74297
2014,590.60357,-14.07294
2015,596.65822,6.05465
2016,592.44509,-4.21313
2017,580.55469,-11.8904
2018,571.04057,-9.51412
2019,554.04055,-17
2020,553.70652,-0.33403
2021,554.51,0.8
2022,562.96,8.45
