年份,艘數(百艘),年變化量(百艘)
1967,96.57,
1968,100.68,4.11
1969,104.69,4.01
1970,105.15,0.46
1971,102.47,-2.68
1972,105.92,3.45
1973,113.65,7.73
1974,119.77,6.12
1975,120.02,0.25
1976,118.49,-1.53
1977,120.31,1.82
1978,126.82,6.51
1979,134.57,7.75
1980,139.01,4.44
1981,139.38,0.37
1982,140.18,0.8
1983,142.46,2.28
1984,145.37,2.91
1985,143.1,-2.27
1986,146.14,3.04
1987,148.63,2.49
1988,152.5,3.87
1989,158.95,6.45
1990,157.06,-1.89
1991,147.47,-9.59
1992,142.75,-4.72
1993,132.98,-9.77
1994,132.68,-0.3
1995,138.65,5.97
1996,130.18,-8.47
1997,131.92,1.74
1998,125.71,-6.21
1999,126.69,0.98
2000,123.33,-3.36
2001,132.86,9.53
2002,133.37,0.51
2003,133.99,0.62
2004,135.19,1.2
2005,134.63,-0.56
2006,133.82,-0.81
2007,130.22,-3.6
2008,129.56,-0.66
2009,126.85,-2.71
2010,127.79,0.94
2011,122.95,-4.84
2012,122.76,-0.19
2013,121.59,-1.17
2014,121.74,0.15
2015,122.6,0.86
2016,123.18,0.58
2017,123.53,0.35
2018,121.73,-1.8
2019,121.01,-0.72
2020,121.81,0.8
2021,121.82,0.01
2022,121.78,-0.04
2023,121.88,0.10 
