日期,墾丁大光高位珊瑚礁(海草),南灣高位珊瑚礁(海草),東沙潟湖內塊礁 (11-4),東沙南礁台外側(11-7),東沙島東(11-13)
2001-01-01,18.99428571,47.055,,,
2001-04-01,39.43571429,52.8125,,,
2001-07-01,46.83957143,21.69555,,,
2001-10-01,27.4019,40.1518,,,
2002-01-01,24.20544286,32.34841429,,,
2002-04-01,20.7735,27.875,,,
2002-07-01,20.7735625,46.82142857,,,
2002-10-01,23.914125,43.5805,,,
2003-01-01,22.1875,45.91971429,,,
2003-04-01,20.3521875,50.47328571,,,
2003-07-01,31.4142,54.49111429,,,
2003-10-01,38.086,52.781375,,,
2004-01-01,,,,,
2004-04-01,,,,,
2004-07-01,,,,,
2004-10-01,,,,,
2005-01-01,,,,,
2005-04-01,,,,,
2005-07-01,,,,,
2005-10-01,,,,,
2006-01-01,33.49168571,13.92045714,,,
2006-04-01,,,,,
2006-07-01,42.51,22.89811429,,,
2006-10-01,33.98271429,22.7332,,,
2007-01-01,8.679885714,3.027,,,
2007-04-01,11.87602857,13.59128571,,,
2007-07-01,22.78,10.30368571,,,
2007-10-01,17.24,18.297775,,,
2008-01-01,28.40237143,19.48311429,,,
2008-04-01,16.2948,22.86671429,,,
2008-07-01,25.04,20.55038857,,,
2008-10-01,36.29,23.39368571,,,
2009-01-01,7.358228571,22.86671429,,,
2009-04-01,18.59902857,17.41768,,,
2009-07-01,32.84,15.92988571,,,
2009-10-01,22.25131429,10.9124,,,
2010-01-01,16.82297143,5.447628571,,,
2010-04-01,9.8676,6.324142857,,,
2010-07-01,10.45,4.292271429,,,
2010-10-01,12.34,8.176485714,,,
2011-01-01,17.19837143,5.98745,,72.5,66
2011-04-01,10.13,5.819985714,,,
2011-07-01,14.03751429,8.4083,,,
2011-10-01,11.69,3.872542857,,,
2012-01-01,3.8424,5.377885714,,71.5,
2012-04-01,13.127,6.493571429,,,
2012-07-01,17.58,5.421642857,,,
2012-10-01,7.48,6.569371429,,,
2013-01-01,9.367314286,4.484714286,,70,76.5
2013-04-01,2.787714286,3.144771429,,,
2013-07-01,14.44694286,4.340857143,,,
2013-10-01,8.2522,4.064514286,,,
2014-01-01,6.342142857,5.8152,,,
2014-04-01,13.11737143,4.153257143,,,
2014-07-01,9.770285714,2.841057143,,,
2014-10-01,9.948314286,7.189342857,,,
2015-01-01,15.79492857,9.509914286,,,
2015-04-01,19.59841429,20.06271429,,,
2015-07-01,17.42,21.87972143,,,
2015-10-01,18.34821429,21.17410714,,,
2016-01-01,13.63392857,14.54464286,26,77,52
2016-04-01,18.70982143,13.67410714,,,
2016-07-01,27.33,26.18303571,,,
2016-10-01,18.85714286,31.62949286,,,
2017-01-01,18.08035714,15.89732143,22,81.9,85.6
2017-04-01,12.14732143,18.91072857,,,
2017-07-01,15.80,17.61166429,,,
2017-10-01,14.50,18.40860357,,,
2018-01-01,16.13839286,11.31696429,30.6,80.6,68.1
2018-04-01,28.64732143,24.29464286,,,
2018-07-01,16.75446429,12.58928571,,,
2018-10-01,7.40625,14.59821429,,,
2019-01-01,4.901785714,6.160714286,68,80.6,58.8
2019-04-01,15.88392857,15.48214286,,,
2019-07-01,13.15178571,12.33482143,,,
2019-10-01,5.825892857,9.6518,,,
