日期,東沙潟湖內塊礁 (11-4),東沙南礁台外側(11-7),東沙島東(11-13),東嶼坪西,東嶼坪 東,西嶼坪 東,西嶼坪 南,西吉 東,西吉 北,東吉東東宮,東吉西港口
2011,,72.5,66,,,,,,,,
2012,,71.5,,,,,,,,,
2013,,70,76.5,,,,,,,,
2014,,,,,,,,,,,
2015,,,,74.9,,50,,45.3,,67.5,67.5
2016,26,77,52,73,,54,,47,70,78,66
2017,22,81.9,85.6,61.9,60,65.6,71.9,26.9,67.5,80.6,45.6
2018,30.6,80.6,68.1,67,,62.5,78.165,,,,
2019,38.125,81.25,58.8,82.5,48.1,86.3,75.6,63.1,55.6,87.5,85
2020,24.375,75.625,60.625,90,56,90,71,55,53,92,89
2021,,,,62.5,70.6,67.5,72.5,55,83.8,77.5,31.3
