日期,墾丁大光高位珊瑚礁(海草),南灣高位珊瑚礁(海草)
2001/1/1,18.99428571,47.055
2001/4/1,39.43571429,52.8125
2001/7/1,46.83957143,21.69555
2001/10/1,27.4019,40.1518
2002/1/1,24.20544286,32.34841429
2002/4/1,20.7735,27.875
2002/7/1,20.7735625,46.82142857
2002/10/1,23.914125,43.5805
2003/1/1,22.1875,45.91971429
2003/4/1,20.3521875,50.47328571
2003/7/1,31.4142,54.49111429
2003/10/1,38.086,52.781375
2004/1/1,,
2004/4/1,,
2004/7/1,,
2004/10/1,,
2005/1/1,,
2005/4/1,,
2005/7/1,,
2005/10/1,,
2006/1/1,33.49168571,13.92045714
2006/4/1,,
2006/7/1,42.51,22.89811429
2006/10/1,33.98271429,22.7332
2007/1/1,8.679885714,3.027
2007/4/1,11.87602857,13.59128571
2007/7/1,22.78,10.30368571
2007/10/1,17.24,18.297775
2008/1/1,28.40237143,19.48311429
2008/4/1,16.2948,22.86671429
2008/7/1,25.04,20.55038857
2008/10/1,36.29,23.39368571
2009/1/1,7.358228571,22.86671429
2009/4/1,18.59902857,17.41768
2009/7/1,32.84,15.92988571
2009/10/1,22.25131429,10.9124
2010/1/1,16.82297143,5.447628571
2010/4/1,9.8676,6.324142857
2010/7/1,10.45,4.292271429
2010/10/1,12.34,8.176485714
2011/1/1,17.19837143,5.98745
2011/4/1,10.13,5.819985714
2011/7/1,14.03751429,8.4083
2011/10/1,11.69,3.872542857
2012/1/1,3.8424,5.377885714
2012/4/1,13.127,6.493571429
2012/7/1,17.58,5.421642857
2012/10/1,7.48,6.569371429
2013/1/1,9.367314286,4.484714286
2013/4/1,2.787714286,3.144771429
2013/7/1,14.44694286,4.340857143
2013/10/1,8.2522,4.064514286
2014/1/1,6.342142857,5.8152
2014/4/1,13.11737143,4.153257143
2014/7/1,9.770285714,2.841057143
2014/10/1,9.948314286,7.189342857
2015/1/1,15.79492857,9.509914286
2015/4/1,19.59841429,20.06271429
2015/7/1,17.42,21.87972143
2015/10/1,18.34821429,21.17410714
2016/1/1,13.63392857,14.54464286
2016/4/1,18.70982143,13.67410714
2016/7/1,27.33,26.18303571
2016/10/1,18.85714286,31.62949286
2017/1/1,18.08035714,15.89732143
2017/4/1,12.14732143,18.91072857
2017/7/1,15.8,17.61166429
2017/10/1,14.5,18.40860357
2018/1/1,16.13839286,11.31696429
2018/4/1,28.64732143,24.29464286
2018/7/1,16.75446429,12.58928571
2018/10/1,7.40625,14.59821429
2019/1/1,4.901785714,6.160714286
2019/4/1,15.88392857,15.48214286
2019/7/1,13.15178571,12.33482143
2019/10/1,5.825892857,9.6518
2020/1/1,4.714285714,4.634114286
2020/4/1,8.049107143,10.21875
2020/7/1,12.10714286,9.964285714
2020/10/1,13.09821429,15.75
2021/1/1,5.383928571,10.67410714
2021/4/1,3.897321429,8.705357143
2021/7/1,10.25892857,13.88839286
2021/10/1,6.174107143,14.77232143
2022/1/1,8.183035714,10.16517857
2022/4/1,7.553571429,13.83482143
2022/7/1,7.419642857,12.06696429
2022/10/1,7.821428571,11.63839286
2023/1/1,10.13839286,14.86607143
2023/4/1,9.910714286,11.34375
2023/7/1,8.15625,10.6875
2023/10/1,6.1875,6.549107143
2024/1/1,3.75,6.31
2024/4/1,8.13,8.56
2024/7/1,4.41,4.71
2024/10/1,2.71,1.85
