年平均值,WT(℃),pH,Salt,DO(mg/L),Pb(mg/L),Hg(mg/L),Cu(mg/L),Zn(mg/L),Cd(mg/L)
2002,25.54072165,7.986597938,32.52319588,,0.004672938,0.000614433,0.004415206,0.010227577,0.000446521
2003,25.56159794,8.105154639,33.39252577,,0.002380928,0.000552835,0.003175387,0.010911469,0.000274613
2004,25.63530928,8.145103093,32.92061856,6.478865979,0.002321907,0.000385052,0.001648454,0.00588866,0.000276933
2005,25.14182692,8.193509615,32.84134615,6.769711538,0.001205632,0.000265264,0.001033053,0.005225183,0.0000616899
2006,25.75913462,8.208653846,33.13581731,6.841346154,0.00045644,0.00020425,0.000823425,0.004620649,0.000021887
2007,24.76826923,8.163942308,32.83725962,6.864663462,0.000343572,0.000187139,0.000985627,0.00629774,0.0000323101
2008,25.41105769,8.135096154,32.21033654,6.795913462,0.000248197,0.000176202,0.0007875,0.005707692,0.0000254207
2009,25.18653846,8.162740385,33.17019231,6.868269231,0.000188341,0.000163462,0.000671635,0.00456851,0.0000153486
2010,24.95697115,8.153605769,33.23966346,6.927163462,0.000222837,0.000158894,0.000847476,0.004651683,0.0000162985
2011,25.41033654,8.145432692,33.41081731,6.925,0.000363101,0.000158053,0.00086851,0.004538072,0.000018726
2012,25.05071429,8.151904762,32.62214286,6.794761905,0.000271429,0.000157738,0.000849405,0.004710952,0.0000245119
2013,25.23857143,8.139047619,32.8952381,6.83452381,0.000180238,0.000150357,0.000732619,0.00501881,0.000017619
2014,25.19642857,8.138333333,32.88428571,6.714761905,0.000242857,0.000153929,0.000652024,0.004126667,0.0000187143
2015,24.56380952,8.145238095,33.11595238,6.697142857,0.000237831,0.000150595,0.000825833,0.004015476,0.0000173571
2016,25.61714286,8.16,32.5947619,6.687857143,0.000227024,0.00015,0.000711071,0.003095476,0.0000181548
2017,25.4552381,8.160714286,32.84571429,6.776666667,0.000261548,0.00015,0.000905357,0.00366881,0.0000203571
2018,25.24190476,8.156547619,32.5247619,6.666190476,0.000254881,0.00015,0.001260833,0.005884762,0.0000197381
2019,28.18063492,8.198095238,31.4647619,6.14984127,0.000644444,0.000190476,0.00112254,0.006096805,0.000200952
2020,26.4525059665871,8.15589498806679,33.3718377088306,6.7333606557377,0.000156801909307876,7.63723150357995E-06,0.00110837320574163,0.00406038186157517,4.76190476190476E-06
2021,26.4079326923077,8.16266826923076,32.5204326923077,6.70408653846154,0.000603365384615384,0,0.00156658653846154,0.00543870192307692,0
2022,26.2554166666667,8.19406250000001,32.4722916666667,6.77729166666667,0.000419375,3.33333333333333E-06,0.000424583333333333,0.00420020833333333,0
