year,WT(℃),pH,Salt
2002,25.54072165,7.986597938,32.52319588
2003,25.56159794,8.105154639,33.39252577
2004,25.63530928,8.145103093,32.92061856
2005,25.14182692,8.193509615,32.84134615
2006,25.75913462,8.208653846,33.13581731
2007,24.76826923,8.163942308,32.83725962
2008,25.41105769,8.135096154,32.21033654
2009,25.18653846,8.162740385,33.17019231
2010,24.95697115,8.153605769,33.23966346
2011,25.41033654,8.145432692,33.41081731
2012,25.05071429,8.151904762,32.62214286
2013,25.23857143,8.139047619,32.8952381
2014,25.19642857,8.138333333,32.88428571
2015,24.56380952,8.145238095,33.11595238
2016,25.61714286,8.16,32.5947619
2017,25.4552381,8.160714286,32.84571429
2018,25.24190476,8.156547619,32.5247619
2019,28.18063492,8.198095238,31.4647619
2020,26.4525059665871,8.15589498806679,33.3718377088306
2021,26.4079326923077,8.16266826923076,32.5204326923077
2022,26.2554166666667,8.19406250000001,32.4722916666667
2023,25.81612,8.17136,32.7284
2024,26.5448,8.18446,32.0358

