year,Pb(mg/L),Hg(mg/L),Cu(mg/L),Zn(mg/L),Cd(mg/L)
2002,0.004672938,0.000614433,0.004415206,0.010227577,0.000446521
2003,0.002380928,0.000552835,0.003175387,0.010911469,0.000274613
2004,0.002321907,0.000385052,0.001648454,0.00588866,0.000276933
2005,0.001205632,0.000265264,0.001033053,0.005225183,0.0000616899
2006,0.00045644,0.00020425,0.000823425,0.004620649,0.000021887
2007,0.000343572,0.000187139,0.000985627,0.00629774,0.0000323101
2008,0.000248197,0.000176202,0.0007875,0.005707692,0.0000254207
2009,0.000188341,0.000163462,0.000671635,0.00456851,0.0000153486
2010,0.000222837,0.000158894,0.000847476,0.004651683,0.0000162985
2011,0.000363101,0.000158053,0.00086851,0.004538072,0.000018726
2012,0.000271429,0.000157738,0.000849405,0.004710952,0.0000245119
2013,0.000180238,0.000150357,0.000732619,0.00501881,0.000017619
2014,0.000242857,0.000153929,0.000652024,0.004126667,0.0000187143
2015,0.000237831,0.000150595,0.000825833,0.004015476,0.0000173571
2016,0.000227024,0.00015,0.000711071,0.003095476,0.0000181548
2017,0.000261548,0.00015,0.000905357,0.00366881,0.0000203571
2018,0.000254881,0.00015,0.001260833,0.005884762,0.0000197381
2019,0.000644444,0.000190476,0.00112254,0.006096805,0.000200952
2020,0.000156801909307876,7.63723150357995E-06,0.00110837320574163,0.00406038186157517,4.76190476190476E-06
2021,0.000603365384615384,0,0.00156658653846154,0.00543870192307692,0
2022,0.000419375,3.33333333333333E-06,0.000424583333333333,0.00420020833333333,0
