時間,大潭電廠,興達電廠-汽力,興達電廠-複循環,興達電廠-汽力+複循環
2020/10,,2.9 ,6.9 ,4.5 
2020/11,,13.9 ,0.0 ,8.4 
2020/12,,0.0 ,0.0 ,0.0 
2021/01,,0.0 ,0.0 ,0.0 
2021/02,,,,
2021/03,80.5 ,,,
2021/04,10.2 ,,,
2021/05,13.4 ,,,
2021/06,21.1 ,,,
2021/07,13.3 ,,,
2021/08,15.9 ,,,
2021/09,31.1 ,0.0 ,0.0 ,0.0 
2021/10,36.5 ,14.2 ,1.5 ,9.3 
2021/11,21.4 ,12.6 ,3.8 ,9.5 
2021/12,24.7 ,0.0 ,0.0 ,0.0 
2022/01,9.3 ,0.0 ,0.0 ,0.0 
2022/02,99.2 ,,,
2022/03,27.5 ,,,
2022/04,0.0 ,,,
2022/05,38.0 ,,,
2022/06,69.0 ,,,
2022/07,19.7 ,,,
2022/08,58.2 ,8.9 ,0.0 ,5.4 
2022/09,94.6 ,9.5 ,1.8 ,6.5 
2022/10,56.2 ,8.0 ,1.8 ,5.8 
2022/11,25.4 ,0.0 ,0.0 ,0.0 
2022/12,70.3 ,0.0 ,0.0 ,0.0 
 2023/01,60.9 ,5.0 ,1.9 ,3.4 
2023/02,139.5 ,2.7 ,1.1 ,1.8 
 2023/03,169.1 ,0.0 ,0.0 ,0.0 
 2023/04,16.1 ,0.0 ,0.0 ,0.0 
 2023/05,37.4 ,3.5 ,0.0 ,1.7 
 2023/06,29.4 ,5.8 ,17.3 ,10.4 
 2023/07,37.7 ,6.1 ,0.0 ,3.7 
 2023/08,18.6 ,2.1 ,0.4 ,1.4 
,8.4 ,0.0 ,0.0 ,0.0 
,18.4 ,14.5 ,7.9 ,11.9 
,14.5 ,,,
,14.9 ,14.6 ,3.0 ,8.5 
,45.1 ,9.5 ,0.0 ,4.4 
,46.6 ,0.0 ,0.0 ,0.0 
,59.5 ,0.0 ,9.7 ,6.1 
,19.0 ,7.1 ,0.0 ,3.2 
,20.5 ,0.0 ,0.0 ,0.0 
,33.2 ,1.1 ,2.8 ,1.8 
,0.0 ,0.0 ,0.0 ,0.0 
,0.0 ,3.4 ,0.0 ,2.1 
,0.0 ,5.5 ,1.9 ,4.1 
,42.0 ,10.5 ,2.2 ,7.2 
,38.1 ,0.0 ,0.0 ,0.0 
,0.0 ,8.0 ,0.0 ,4.1 
,0.0 ,4.2 ,3.1 ,3.5 
,0.0 ,0.0 ,0.0 ,0.0 
,0.0 ,10.4 ,4.4 ,6.7 
,0.0 ,0.0 ,0.0 ,0.0 
,0.0 ,0.0 ,4.8 ,2.6 
,0.0 ,0.0 ,0.0 ,0.0 
,0.0 ,4.9 ,0.0 ,3.0 
,42.5 ,0.0 ,6.8 ,2.7 
,0.0 ,9.2 ,0.0 ,5.4 
,27.5 ,4.4 ,0.0 ,2.7 
,8.9 ,0.0 ,0.0 ,0.0 
,0.0 ,0.0 ,0.0 ,0.0 
,0.0 ,17.8 ,0.0 ,9.3 
,0.0 ,0.0 ,25.2 ,12.9 
,0.0 ,0.0 ,0.0 ,0.0 
,0.0 ,0.0 ,0.0 ,0.0 
,42.0 ,15.6 ,0.0 ,7.7 
,0.0 ,0.0 ,0.0 ,0.0 
,19.1 ,0.0 ,13.5 ,5.3 
,0.0 ,14.3 ,0.0 ,8.4 
,0.0 ,0.0 ,0.0 ,0.0 
,22.4 ,,,
