LATITUDE,LONGITUDE,Year,OBSERVATION DATE,測站名稱,濃度%
22.637319,120.244741,2021,2021/3/9,高雄港口外一,104.9
22.611874,120.244184,2021,2021/3/9,高雄港口外二,106.1
22.559261,120.287041,2021,2021/3/9,高雄港口外三,105.6
22.587929,120.26271,2021,2021/3/9,旗津,106.7
22.476117,120.39373,2021,2021/3/10,中芸港外,108.1
22.471309,120.428812,2021,2021/3/10,高屏溪東港溪之間-1,102.7
22.413756,120.392698,2021,2021/3/10,高屏溪口外4海浬,108.2
22.471587,120.422062,2021,2021/3/10,高屏溪出海口,109
22.464559,120.433756,2021,2021/3/10,東港溪出海口,96.8
22.435918,120.483032,2021,2021/3/10,大鵬灣灣內-1,126.3
22.438973,120.48556,2021,2021/3/10,大鵬灣灣內-2,139.6
23.432021,120.108234,2021,2021/3/11,東石港外海一,103.2
23.437105,120.102818,2021,2021/3/11,東石港外海二,102.8
23.398299,120.107954,2021,2021/3/11,布袋港外海一,103.7
23.390075,120.130454,2021,2021/3/11,布袋港外海二,103.2
23.365493,120.119036,2021,2021/3/11,八掌溪口北側,103.4
23.434245,120.065429,2021,2021/3/11,朴子溪口外4海浬,103.8
21.92546,120.75636,2021,2021/3/12,核三廠出水口右側,99.1
21.930821,120.752666,2021,2021/3/12,核三廠出水口左側,100.9
21.950876,120.76014,2021,2021/3/12,核三廠入水口,100
21.943127,120.746167,2021,2021/3/12,後壁湖漁港,101.7
21.94981,120.771418,2021,2021/3/12,南灣,98.3
21.942736,120.784389,2021,2021/3/12,石牛溪口,100
22.889351,120.158479,2021,2021/3/13,二仁溪口南側,102.3
22.920129,120.161175,2021,2021/3/13,二仁溪口北側,105.7
22.910101,120.151647,2021,2021/3/13,二仁溪口外側,99.8
22.910517,120.172147,2021,2021/3/13,二仁溪口,107.7
22.910659,120.114481,2021,2021/3/13,二仁溪口外4海浬,101.1
25.131742,121.829123,2021,2021/3/16,深澳發電廠,88.4
23.733909,119.615619,2021,2021/3/16,吉貝海域,95.6
25.164942,121.752047,2021,2021/3/16,基隆港一,78.6
25.163691,121.760548,2021,2021/3/16,基隆港二,78.6
25.188152,121.764101,2021,2021/3/16,基隆拋泥區一,78.4
25.150636,121.801701,2021,2021/3/16,八斗子垃圾場,80.6
25.166219,121.76483,2021,2021/3/16,和平島,82.2
25.128573,121.843846,2021,2021/3/16,員山子分洪道出海口,80.8
25.045389,121.938777,2021,2021/3/16,核四預定地外海,82.8
25.126694,121.864277,2021,2021/3/16,濂洞溪外海,81.2
25.134899,121.83527,2021,2021/3/16,深澳發電廠外海,80.8
23.190112,119.417672,2021,2021/3/17,七美海域,97.5
23.348329,119.524486,2021,2021/3/17,望安海域,92.5
23.515498,119.486607,2021,2021/3/17,外垵4海浬外,96.8
23.540991,119.625357,2021,2021/3/18,烏崁海域,99.6
23.507326,119.597328,2021,2021/3/18,紗帽山海域,96.3
23.552544,119.672052,2021,2021/3/18,龍門海域,99.2
23.599472,121.534833,2021,2021/3/18,豐濱溪河口,93.2
23.459638,121.526013,2021,2021/3/18,秀姑巒溪河口,96.6
24.841557,120.907177,2021,2021/3/19,頭前溪口南側,106.4
24.806303,120.832628,2021,2021/3/19,客雅溪河口外4海浬處,100.8
24.868144,120.92978,2021,2021/3/19,鳳山溪北側,103.4
24.912114,120.955767,2021,2021/3/19,紅毛港外,104.3
24.69257,120.790144,2021,2021/3/19,中港溪口一,109.7
24.68417,120.816888,2021,2021/3/19,中港溪口二,106.9
24.490158,120.659172,2021,2021/3/19,通霄溪口,97.7
24.411452,120.585687,2021,2021/3/19,大安溪口,101.2
24.310037,120.491169,2021,2021/3/19,台中港沿海一,107.4
24.334846,120.456334,2021,2021/3/19,台中港沿海二,98.4
24.202987,120.478358,2021,2021/3/19,大肚溪口,97.5
24.20855,120.42518,2021,2021/3/19,大肚溪口外4海浬,98.8
22.761827,121.178903,2021,2021/3/21,卑南溪河口,98.3
22.703887,121.101178,2021,2021/3/21,知本溪口,98.2
22.78466,121.190737,2021,2021/3/21,富岡港外,97.6
22.750991,121.23079,2021,2021/3/21,卑南溪口外4海浬,98.7
23.084344,121.37903,2021,2021/3/23,成功港外海,98.3
22.064062,121.504913,2021,2021/3/24,蘭嶼,96.7
22.657868,121.471115,2021,2021/3/24,綠島,97.6
24.828021,121.943413,2021,2021/3/24,龜山島,91.4
24.840068,121.832146,2021,2021/3/24,得子口溪口,97.4
24.714734,121.841711,2021,2021/3/24,蘭陽溪口,91.2
24.631525,121.856735,2021,2021/3/24,新城溪口,94.2
24.593861,121.884555,2021,2021/3/24,蘇澳港,90.5
24.466526,118.35228,2021,2021/3/24,金門后江灣外,100.3
24.405262,118.281898,2021,2021/3/24,金烈水道南側,98.6
24.439336,118.475189,2021,2021/3/24,金門本島東側沿海,88.8
26.3951018,120.4794351,2021,2021/3/25,東引北部沿海,100.1
24.315765,121.786608,2021,2021/3/26,和平溪河口,98.4
24.298113,121.833917,2021,2021/3/26,和平溪口外4海浬處,98.4
24.300055,121.776009,2021,2021/3/26,和平港,99.8
24.13874,121.669926,2021,2021/3/26,立霧溪河口,99.2
23.969075,121.624848,2021,2021/3/26,花蓮港,100.6
23.944379,121.615711,2021,2021/3/26,花蓮溪河口,100.6
26.173927,119.924698,2021,2021/3/28,南竿鄉北部沿海,104.8
26.194569,119.94976,2021,2021/3/28,馬祖海峽,102.8
26.236458,120.018425,2021,2021/3/28,北竿東部沿海,99.6
23.720181,120.118126,2021,2021/3/29,台西外海,106.3
23.662595,120.061605,2021,2021/3/29,三條崙外海,105.4
23.538268,120.13368,2021,2021/3/29,北港溪口一,105.8
25.1255,121.257305,2021,2021/3/30,海湖電廠,95.4
25.12237,121.245769,2021,2021/3/30,新南崁溪口,97.8
25.12133,121.197207,2021,2021/3/30,沙崙中油卸油設施一,96.6
25.130409,121.219458,2021,2021/3/30,沙崙中油卸油設施二,96.9
25.056026,121.064251,2021,2021/3/30,觀音溪口,99.2
24.182981,120.43258,2021,2021/3/30,彰濱沿海一,105.5
24.153874,120.407163,2021,2021/3/30,彰濱沿海二,106.7
24.107958,120.381248,2021,2021/3/30,彰濱沿海三,104.5
25.207526,121.370855,2021,2021/3/30,淡水河口外4海浬處,95.8
25.127983,121.300885,2021,2021/3/30,林口發電廠,97.4
25.222152,121.363775,2021,2021/3/30,八里污水廠外海一,98.6
25.222617,121.40077,2021,2021/3/30,八里污水廠外海二,95.6
25.133152,121.306794,2021,2021/3/30,林口發電廠外海,96.2
23.868341,120.204553,2021,2021/3/31,濁水溪口一,103.9
23.863066,120.178273,2021,2021/3/31,濁水溪口二,104
23.866156,120.182572,2021,2021/3/31,濁水溪口外4海浬,105.1
23.827345,120.15133,2021,2021/3/31,六輕沿海一,105.1
23.801924,120.168943,2021,2021/3/31,六輕沿海二,102.1
23.733909,119.615619,2021,2021/5/4,吉貝海域,80.6
23.540991,119.625357,2021,2021/5/5,烏崁海域,95.2
23.507326,119.597328,2021,2021/5/5,紗帽山海域,98.5
23.552544,119.672052,2021,2021/5/5,龍門海域,95.5
23.190112,119.417672,2021,2021/5/6,七美海域,97.3
23.348329,119.524486,2021,2021/5/6,望安海域,95.5
23.515498,119.486607,2021,2021/5/6,外垵4海浬外,75.4
23.084344,121.37903,2021,2021/5/11,成功港外海,105.9
24.466526,118.35228,2021,2021/5/11,金門后江灣外,95
24.405262,118.281898,2021,2021/5/11,金烈水道南側,102.5
24.439336,118.475189,2021,2021/5/11,金門本島東側沿海,88.4
22.657868,121.471115,2021,2021/5/12,綠島,106.2
22.064062,121.504913,2021,2021/5/13,蘭嶼,97.2
24.841557,120.907177,2021,2021/5/13,頭前溪口南側,99.2
24.806303,120.832628,2021,2021/5/13,客雅溪河口外4海浬處,102.9
24.868144,120.92978,2021,2021/5/13,鳳山溪北側,101.6
24.912114,120.955767,2021,2021/5/13,紅毛港外,100.2
24.69257,120.790144,2021,2021/5/13,中港溪口一,99.8
24.68417,120.816888,2021,2021/5/13,中港溪口二,99
24.490158,120.659172,2021,2021/5/13,通霄溪口,99.6
24.411452,120.585687,2021,2021/5/13,大安溪口,102.5
24.310037,120.491169,2021,2021/5/13,台中港沿海一,101.4
24.334846,120.456334,2021,2021/5/13,台中港沿海二,101.8
24.202987,120.478358,2021,2021/5/13,大肚溪口,95
24.20855,120.42518,2021,2021/5/13,大肚溪口外4海浬,100.2
22.750991,121.23079,2021,2021/5/14,卑南溪口外4海浬,109.2
25.207526,121.370855,2021,2021/5/14,淡水河口外4海浬處,103
25.127983,121.300885,2021,2021/5/14,林口發電廠,98
22.761827,121.178903,2021,2021/5/14,卑南溪河口,104.6
22.703887,121.101178,2021,2021/5/14,知本溪口,104.3
22.78466,121.190737,2021,2021/5/14,富岡港外,108
25.222152,121.363775,2021,2021/5/14,八里污水廠外海一,105.4
25.222617,121.40077,2021,2021/5/14,八里污水廠外海二,103.6
25.133152,121.306794,2021,2021/5/14,林口發電廠外海,98
25.1255,121.257305,2021,2021/5/14,海湖電廠,97.3
25.12237,121.245769,2021,2021/5/14,新南崁溪口,95.9
25.12133,121.197207,2021,2021/5/14,沙崙中油卸油設施一,95.7
25.130409,121.219458,2021,2021/5/14,沙崙中油卸油設施二,94.7
25.056026,121.064251,2021,2021/5/14,觀音溪口,99.4
22.889351,120.158479,2021,2021/5/17,二仁溪口南側,104.1
22.920129,120.161175,2021,2021/5/17,二仁溪口北側,104.4
22.910101,120.151647,2021,2021/5/17,二仁溪口外側,101.8
22.910517,120.172147,2021,2021/5/17,二仁溪口,102.8
22.910659,120.114481,2021,2021/5/17,二仁溪口外4海浬,103
23.432021,120.108234,2021,2021/5/18,東石港外海一,101.8
23.437105,120.102818,2021,2021/5/18,東石港外海二,102.2
23.398299,120.107954,2021,2021/5/18,布袋港外海一,102.1
