日期,大潭電廠,興達電廠-汽力,興達電廠-複循環,興達電廠-汽力+複循環
2015-01-01,,,,
2015-02-01,,,,
2015-03-01,,,,
2015-04-01,,,,
2015-05-01,,,,
2015-06-01,,,,
2015-07-01,,,,
2015-08-01,,,,
2015-09-01,,,,
2015-10-01,,,,
2015-11-01,,,,
2015-12-01,,,,
2016-01-01,,,,
2016-02-01,,,,
2016-03-01,,,,
2016-04-01,,,,
2016-05-01,,,,
2016-06-01,,,,
2016-07-01,,,,
2016-08-01,,,,
2016-09-01,,,,
2016-10-01,,,,
2016-11-01,,,,
2016-12-01,,,,
2017-01-01,,,,
2017-02-01,,,,
2017-03-01,,,,
2017-04-01,,,,
2017-05-01,,,,
2017-06-01,,,,
2017-07-01,,,,
2017-08-01,,2.9,6.9,4.5
2017-09-01,,13.9,0.0,8.4
2017-10-01,,0.0,0.0,0.0
2017-11-01,,0.0,0.0,0.0
2017-12-01,,,,
2018-01-01,,,,
2018-02-01,,,,
2018-03-01,,,,
2018-04-01,,,,
2018-05-01,,,,
2018-06-01,15.9,,,
2018-07-01,31.1,0.0,0.0,0.0
2018-08-01,36.5,14.2,1.5,9.3
2018-09-01,21.4,12.6,3.8,9.5
2018-10-01,24.7,0.0,0.0,0.0
2018-11-01,9.3,0.0,0.0,0.0
2018-12-01,,,,
2019-01-01,,,,
2019-02-01,,,,
2019-03-01,,,,
2019-04-01,,,,
2019-05-01,,,,
2019-06-01,58.2,8.9,0.0,5.4
2019-07-01,94.6,9.5,1.8,6.5
2019-08-01,,8.0,1.8,5.8
2019-09-01,25.4,0.0,0.0,0.0
2019-10-01,70.3,0.0,0.0,0.0
2019-11-01,60.9,5.0,1.9,3.4
2019-12-01,139.5,2.7,1.1,1.8
2020-01-01,169.1,0.0,0.0,0.0
2020-02-01,16.1,0.0,0.0,0.0
2020-03-01,37.4,3.5,0.0,1.7
2020-04-01,29.4,5.8,17.3,10.4
2020-05-01,37.7,6.1,0.0,3.7
2020-06-01,18.6,2.1,0.4,1.4
2020-07-01,8.4,0.0,0.0,0.0
2020-08-01,18.4,14.5,7.9,11.9
2020-09-01,14.5,,,
2020-01-01,169.1,0,0,0
2020-02-01,16.1,0,0,0
2020-03-01,37.4,,,1.7
2020-04-01,29.4,,,10.4
2020-05-01,37.7,,,3.7
2020-06-01,18.6,,,1.4
2020-07-01,8.4,0,0,0
2020-08-01,18.4,,,8.5
2020-09-01,14.5,,,
2020-10-01,14.9,,,8.5
2020-11-01,45.1,,,4.4
2020-12-01,46.6,,,
