年份,花紋海豚,飛旋海豚,熱帶斑海豚,弗氏海豚,瓶鼻海豚
1998,28.7,140.3,169.7,333.2,17.9
1999,29.4,204,197.5,408.2,262.5
2000,30.8,167.1,159.5,380.4,72.6
2001,,,,,
2002,25.4,240.8,134,692.9,160
2003,21.4,155.6,148.8,283.8,81.8
2004,26.8,198.1,84.5,450,148.8
2005,35.8,176.5,133.3,1000,55
2006,44.6,107.2,100.8,476.6,49.3
2007,40,166.3,159.4,406.7,69.8
2008,54.6,187.3,177.9,359.7,112.6
2009,37.7,246.4,130.3,439.5,121.8
2010,53.3,216.7,150.6,403.6,141.8
2011,42.4,196,183.5,426.4,153
2012,36,195,95.5,325.8,100
2013,29.8,180,113.7,358.3,64.2
2014,34,160,108,296.6,56.4
2015,31.6,157.5,148.4,603.5,62.7
