nameOfMPA,parentMPA,typeOfData,WKT
蘇澳漁業資源保育區,,LINESTRING,"LINESTRING(121.8641 24.6106, 121.8794 24.6053)"
頭城漁業資源保育區,,LINESTRING,"LINESTRING(121.966 24.9838, 121.8472 24.8843)"
基隆市水產動植物保育區,,LINESTRING,"LINESTRING(121.7008 25.1773, 121.7968 25.1373)"
基隆市望海巷潮境海灣資源保育區,,POLYGON,"POLYGON((121.8039 25.1412, 121.8019 25.1416, 121.8057 25.1465, 121.8085 25.1468))"
貢寮水產動植物繁殖保育區,,POLYGON,"POLYGON((121.9895 25.0212, 121.9907 25.0238, 122.0002 25.0216, 121.9975 25.0193))"
萬里水產動植物繁殖保育區,,POLYGON,"POLYGON((121.6942 25.2035, 121.678 25.2057, 121.7044 25.2245, 121.7112 25.2152))"
瑞芳保育區,,POLYGON,"POLYGON((121.8098 25.1309, 121.8143 25.1344, 121.8143 25.1396, 121.8313 25.1396, 121.8313 25.1309, 121.824 25.132))"
灣瓦海瓜子繁殖保育區,,POLYGON,"POLYGON((120.7217 24.6022, 120.7206 24.6022, 120.7222 24.6044, 120.7231 24.6044))"
伸港螻蛄蝦繁殖保育區,,POLYGON,"POLYGON((120.4522 24.1631, 120.4561 24.1689, 120.4619 24.1689, 120.4581 24.1631))"
伸港(二)螻蛄蝦繁殖保育區,,POLYGON,"POLYGON((120.4566 24.1728, 120.4548 24.1734, 120.4565 24.1829, 120.4589 24.1822))"
王功螻蛄蝦繁殖保育區,,POLYGON,"POLYGON((120.3111 23.9566, 120.3097 23.958, 120.3181 23.969, 120.3221 23.9698))"
王功螻蛄蝦繁殖保育區核心區,王功螻蛄蝦繁殖保育區,POLYGON,"POLYGON((120.3168 23.9635, 120.3148 23.9648, 120.3181 23.969, 120.3221 23.9698))"
王功螻蛄蝦繁殖保育區養護區,王功螻蛄蝦繁殖保育區,POLYGON,"POLYGON((120.3111 23.9566, 120.3097 23.958, 120.3148 23.9648, 120.3168 23.9635))"
琉球漁業資源保育區西北區,琉球漁業資源保育區,LINESTRING,"LINESTRING(120.381 22.3554, 120.3629 22.342)"
琉球漁業資源保育區箱網養殖區,,POLYGON,"POLYGON((120.3636 22.3501, 120.361 22.3498, 120.3596 22.3498, 120.3571 22.3502, 120.3692 22.3589, 120.3777 22.3619, 120.3777 22.3566, 120.3688 22.3533))"
琉球漁業資源保育區杉福潮間帶保育示範區,琉球漁業資源保育區,POLYGON,"POLYGON((120.3615 22.3431, 120.3612 22.3449, 120.3625 22.343, 120.363 22.342, 120.3622 22.3417))"
車城漁業資源保育區,,LINESTRING,"LINESTRING(120.7131 22.1116, 120.7151 22.0921)"
國立海洋生物博物館資源培育區,,POINT,POINT(120.6833 22.0833)
綠島漁業資源保育區柴口分區,綠島漁業資源保育區,POLYGON,"POLYGON((121.4789 22.6751, 121.4794 22.677, 121.4823 22.6789, 121.4836 22.6773))"
綠島漁業資源保育區石朗分區,綠島漁業資源保育區,POLYGON,"POLYGON((121.4729 22.6523, 121.4729 22.6562, 121.4717 22.6566, 121.4717 22.6574, 121.4734 22.6592, 121.4734 22.6579, 121.4743 22.6592, 121.4745 22.6522))"
綠島漁業資源保育區龜灣分區,綠島漁業資源保育區,POLYGON,"POLYGON((121.4878 22.6371, 121.4851 22.6386, 121.4883 22.6426, 121.493 22.6393))"
小馬漁業資源保育區,,POLYGON,"POLYGON((121.3232 22.9994, 121.3212 22.9996, 121.3362 23.0202, 121.3381 23.0206))"
小港漁業資源保育區,,POLYGON,"POLYGON((121.4039 23.1708, 121.4045 23.17, 121.4062 23.1709, 121.4067 23.1576))"
宜灣漁業資源保育區,,POLYGON,"POLYGON((121.3976 23.1897, 121.3965 23.2057, 121.3984 23.2053, 121.3995 23.19))"
富山漁業資源保育區永續使用區,富山漁業資源保育區,POLYGON,"POLYGON((121.1885 22.8386, 121.1891 22.8463, 121.194 22.846, 121.1933 22.8381))"
富山漁業資源保育區核心區,富山漁業資源保育區,POLYGON,"POLYGON((121.1857 22.8341, 121.1885 22.8386, 121.1933 22.8381, 121.1904 22.8329))"
壽豐鄉鹽寮保育區,,POLYGON,"POLYGON((121.5997 23.8603, 121.5977 23.8603, 121.6035 23.8854, 121.6054 23.8854))"
