waterBody	siteName	waterQuality	month	season	siteCode	samplingDepth	temperature	waterTempeature	salinity	pH	DOByTitration	DOByElectrode	DOSaturation	SS	SSMethodLimit	chlorophyllA	chlorophyllAMethodLimit	ammoniaN	ammoniaNMethodLimit	nitrateN	nitrateNMethodLimit	PH4N	PH4NMethodLimit	nitriteN	nitriteNMethodLimit	silicate	silicateMethodLimit	Cd	CdMethodLimit	Cr	CrMethodLimit	Cu	CuMethidLimit	Zn	ZnMethodLimit	Pb	PbMethodLimit	Hg	HgMethodLimit	year
基隆沿海海域	基隆港一	乙	1	1	5123	1	14.4	18.4	34.3	8.2	NA	7.1	90.5	7	NA	0.3	NA	0	0.01	0.1	NA	0.042	NA	0.003	NA	0.534	NA	0.00001	NA	0	0.001	0.0002	NA	0.0006	NA	0	0.0001	0	0.0003	2016
基隆沿海海域	基隆港一	乙	1	1	5123	1	17.7	17.3	34.6	8.1	7.2	7	88.9	2.1	NA	0.3	NA	0	0.01	0.12	NA	0.049	NA	0.003	NA	0.75	NA	0.00003	NA	0	0.001	0.0008	NA	0.0057	NA	0.0006	NA	0	0.0003	2010
基隆沿海海域	基隆港一	乙	1	1	5123	1	17.4	17.4	35.2	8.1	7.2	7.2	90.7	6.4	NA	0.2	NA	0	0.02	0.11	NA	0.048	NA	0.003	NA	0.713	NA	0.00005	NA	0.0012	NA	0.0004	NA	0.0071	NA	0.0004	NA	0	0.0003	2008
基隆沿海海域	基隆港一	乙	1	1	5123	1	17	17.7	36.1	8.1	NA	6.3	82.1	8.6	NA	0.3	NA	0.01	NA	0.1	NA	0.054	NA	0.002	NA	0.606	NA	0.00003	NA	0	0.001	0.0004	NA	0.005	NA	0.0002	NA	0	0.0003	2015
基隆沿海海域	基隆港二	乙	1	1	5124	1	14.8	18.5	34	8.2	NA	7.1	90.4	5.5	NA	0.3	NA	0	0.01	0.11	NA	0.034	NA	0.003	NA	0.57	NA	0.00001	NA	0	0.001	0.0002	NA	0.0008	NA	0	0.0001	0	0.0003	2016
基隆沿海海域	基隆港二	乙	1	1	5124	1	17.5	17.2	35.2	8.1	7.2	7.1	92.4	6	NA	0.3	NA	0	0.02	0.11	NA	0.051	NA	0.004	NA	0.722	NA	0.00005	NA	0.001	NA	0.0007	NA	0.0101	NA	0.0004	NA	0	0.0003	2008
基隆沿海海域	基隆港二	乙	1	1	5124	1	17.6	17.3	34.6	8.1	7.3	7.1	89	0	2	0.3	NA	0	0.01	0.12	NA	0.053	NA	0.003	NA	0.705	NA	0.00004	NA	0	0.001	0.005	NA	0.0068	NA	0.0002	NA	0	0.0003	2010
基隆沿海海域	基隆港二	乙	1	1	5124	1	17.1	17.7	36	8.3	NA	6.3	81.1	11.6	NA	0.3	NA	0	0.01	0.1	NA	0.054	NA	0.002	NA	0.59	NA	0.00003	NA	0	0.001	0.0005	NA	0.0048	NA	0.0001	NA	0	0.0003	2015
基隆沿海海域	基隆拋泥區一	乙	1	1	5125	1	14.9	18.4	34.3	8.2	NA	6.9	88.1	7.3	NA	0.3	NA	0	0.01	0.1	NA	0.042	NA	0.003	NA	0.527	NA	0.00001	NA	0	0.001	0.0002	NA	0.001	NA	0	0.0001	0	0.0003	2016
基隆沿海海域	基隆拋泥區一	乙	1	1	5125	1	17.6	17.3	34.7	8.1	7.2	7	87.3	3.6	NA	0.8	NA	0	0.01	0.12	NA	0.052	NA	0.003	NA	0.782	NA	0.00002	NA	0	0.001	0.0014	NA	0.004	NA	0.0004	NA	0	0.0003	2010
