年份,外來種(%),原生(%),特有(%),總調查數量(萬)
2008,0.736296700299973,99.2637032997,36.1330788110172,0.3667
2009,0.724856538810027,99.27514346119,31.0178193899124,0.3311
2010,1.16723259762309,98.8327674023769,31.918505942275,0.4712
2011,4.38105891126025,95.6189410887398,28.3184190902312,0.5364
2012,6.83760683760684,93.1623931623932,19.8781416603199,1.1817
2013,6.06914407554066,93.9308559244593,19.5095948827292,1.3132
2014,9.72353735583117,90.2764626441688,25.5010012263082,6.4421
2015,7.65911015569018,92.3408898443098,26.2556185264804,6.1404
2016,11.3623547363416,88.6376452636584,23.2853083293712,9.0439
2017,12.3038494853252,87.6961505146748,24.5089942187217,9.9286
2018,11.5833226881013,88.4166773118988,25.7313274440634,10.1767
2019,12.7779263021878,87.2220736978122,29.4880363587756,8.9772
2020,14.1911958628123,85.8088041371877,26.5224919446387,8.7209
2021,12.0120767737761,87.9879232262239,25.611925814104,7.4192
