WGS84Lati,WGS84Long,year,CommonName,Date,數量(隻),記錄方式
25.1056,121.433,2010,新北市 五股區,2010/4/9,1,目視
25.1056,121.433,2010,新北市 五股區,2010/4/9,3,目視
23.9082,120.5238,2010,彰化縣 田尾鄉,2010/5/26,1,目視
23.9082,120.5238,2010,彰化縣 田尾鄉,2010/5/26,>10,目視
23.9082,120.5238,2010,彰化縣 田尾鄉,2010/5/26,1,目視
23.9082,120.5238,2010,彰化縣 田尾鄉,2010/5/26,1,目視
23.9082,120.5238,2010,彰化縣 田尾鄉,2010/6/5,20,目視
23.9082,120.5238,2010,彰化縣 田尾鄉,2010/6/5,1,目視
23.9082,120.5238,2010,彰化縣 田尾鄉,2010/6/5,1,目視
23.9082,120.5238,2010,彰化縣 田尾鄉,2010/6/5,1,目視
23.9082,120.5238,2010,彰化縣 田尾鄉,2010/6/5,1,目視
23.9082,120.5238,2010,彰化縣 田尾鄉,2010/6/5,10~19,聽音
23.9082,120.5238,2010,彰化縣 田尾鄉,2010/6/5,1,目視
23.9082,120.5238,2010,彰化縣 田尾鄉,2010/6/5,1,目視
23.9082,120.5238,2010,彰化縣 田尾鄉,2010/6/5,1,目視
23.9082,120.5238,2010,彰化縣 田尾鄉,2010/6/5,5,目視
23.9082,120.5238,2010,彰化縣 田尾鄉,2010/6/5,10~19,聽音
24.2697,120.8048,2010,台中市 石岡區,2010/6/12,8,聽音
24.2697,120.8048,2010,台中市 石岡區,2010/6/12,7,聽音
24.2697,120.8048,2010,台中市 石岡區,2010/6/12,1,目視
24.2697,120.8048,2010,台中市 石岡區,2010/6/12,1,目視
24.2697,120.8048,2010,台中市 石岡區,2010/6/12,1,聽音
24.2697,120.8048,2010,台中市 石岡區,2010/6/12,1,目視
24.2697,120.8048,2010,台中市 石岡區,2010/6/12,1,目視
24.2697,120.8048,2010,台中市 石岡區,2010/6/12,1,目視
24.2697,120.8048,2010,台中市 石岡區,2010/6/12,4,聽音
24.2697,120.8048,2010,台中市 石岡區,2010/6/12,1,目視
24.2697,120.8048,2010,台中市 石岡區,2010/6/12,1,目視
24.9988,121.337,2010,桃園市 龜山區,2010/7/11,1,目視
25.1276,121.4471,2010,新北市 八里區,2010/7/13,6,目視
25.1276,121.4471,2010,新北市 八里區,2010/7/13,1,目視
25.1276,121.4471,2010,新北市 八里區,2010/7/13,1,目視
25.1276,121.4471,2010,新北市 八里區,2010/7/13,5,聽音
25.1276,121.4471,2010,新北市 八里區,2010/7/13,20,目視
25.168,121.4175,2010,新北市 八里區,2010/7/17,10,目視
25.168,121.4175,2010,新北市 八里區,2010/7/17,>50,聽音
24.9626,121.3651,2010,新北市 鶯歌區,2010/7/28,1,目視
24.9626,121.3651,2010,新北市 鶯歌區,2010/7/28,1,目視
24.9626,121.3651,2010,新北市 鶯歌區,2010/7/28,1,目視
24.9626,121.3651,2010,新北市 鶯歌區,2010/7/28,4,聽音
24.9626,121.3651,2010,新北市 鶯歌區,2010/7/28,1,聽音
24.2697,120.8048,2010,台中市 石岡區,2010/9/10,1,目視
24.2697,120.8048,2010,台中市 石岡區,2010/9/10,3,聽音
24.2697,120.8048,2010,台中市 石岡區,2010/9/10,1,聽音
24.9626,121.3651,2010,新北市 鶯歌區,2010/10/6,1,目視
24.9626,121.3651,2010,新北市 鶯歌區,2010/10/6,1,目視
24.2697,120.8048,2010,台中市 石岡區,2010/10/8,1,目視
24.2697,120.8048,2010,台中市 石岡區,2010/10/8,1,目視
24.9626,121.3651,2010,新北市 鶯歌區,2010/10/28,1,目視
24.9626,121.3651,2010,新北市 鶯歌區,2010/10/28,1,目視
24.9626,121.3651,2010,新北市 鶯歌區,2010/10/28,1,目視
24.9626,121.3651,2010,新北市 鶯歌區,2010/10/28,1,目視
24.9626,121.3651,2010,新北市 鶯歌區,2010/10/28,1,目視
25.1677,121.4165,2010,新北市 八里區,2010/12/10,1,目視
25.0132,121.4065,2010,新北市 樹林區,2010/12/12,1,目視
25.168,121.4175,2011,新北市 八里區,2011/3/5,1,目視
25.168,121.4175,2011,新北市 八里區,2011/3/5,2,聽音
25.168,121.4175,2011,新北市 八里區,2011/3/5,1,目視
24.2697,120.8048,2011,台中市 石岡區,2011/3/5,1,目視
24.2697,120.8048,2011,台中市 石岡區,2011/3/5,1,目視
23.9036,120.5278,2011,彰化縣 田尾鄉,2011/3/26,3,目視
23.9036,120.5278,2011,彰化縣 田尾鄉,2011/3/26,1,目視
23.9036,120.5278,2011,彰化縣 田尾鄉,2011/3/26,1,目視
23.907,120.5283,2011,彰化縣 田尾鄉,2011/3/26,4,目視
23.907,120.5283,2011,彰化縣 田尾鄉,2011/3/26,2,聽音
23.907,120.5283,2011,彰化縣 田尾鄉,2011/3/26,1,目視
24.2317,120.5313,2011,台中市 梧棲區,2011/3/26,2,目視
24.2317,120.5313,2011,台中市 梧棲區,2011/3/26,1,目視
24.2336,120.5377,2011,台中市 梧棲區,2011/3/26,4,目視
24.2336,120.5377,2011,台中市 梧棲區,2011/3/26,3,目視
24.2336,120.5377,2011,台中市 梧棲區,2011/3/26,1,目視
24.2336,120.5377,2011,台中市 梧棲區,2011/3/26,1,目視
24.2336,120.5377,2011,台中市 梧棲區,2011/3/26,1,目視
