LATITUDE,LONGITUDE,Year,OBSERVATION DATE,COMMON NAME,SCIENTIFIC NAME,OBSERVATION COUNT,STATE_PROVINCE,,
25.1099207,121.4661527,1996,1996/3/17,Sacred Ibis,Threskiornis aethiopicus,2,Taipei City,,
24.6599371,121.8184608,1997,1997/12/27,Sacred Ibis,Threskiornis aethiopicus,X,Ilan,,
25.1155348,121.4712596,1998,1998/9/1,Sacred Ibis,Threskiornis aethiopicus,X,Taipei City,,
25.1155348,121.4712596,1998,1998/10/18,Sacred Ibis,Threskiornis aethiopicus,X,Taipei City,,
25.0385603,121.4911079,1999,1999/1/31,Sacred Ibis,Threskiornis aethiopicus,22,Taipei City,,
25.1169818,121.4728466,1999,1999/4/7,Sacred Ibis,Threskiornis aethiopicus,6,Taipei City,,
25.1155348,121.4712596,1999,1999/9/11,Sacred Ibis,Threskiornis aethiopicus,7,Taipei City,,
23.5004231,120.1357877,1999,1999/9/12,Sacred Ibis,Threskiornis aethiopicus,1,Chiayi,,
25.1155348,121.4712596,1999,1999/9/21,Sacred Ibis,Threskiornis aethiopicus,15,Taipei City,,
25.1155348,121.4712596,1999,1999/9/24,Sacred Ibis,Threskiornis aethiopicus,24,Taipei City,,
25.1155348,121.4712596,1999,1999/9/25,Sacred Ibis,Threskiornis aethiopicus,X,Taipei City,,
25.1155348,121.4712596,1999,1999/10/23,Sacred Ibis,Threskiornis aethiopicus,10,Taipei City,,
25.1155348,121.4712596,1999,1999/10/24,Sacred Ibis,Threskiornis aethiopicus,X,Taipei City,,
25.1182626,121.470058,1999,1999/11/25,Sacred Ibis,Threskiornis aethiopicus,5,Taipei City,,
25.1155348,121.4712596,2000,2000/2/14,Sacred Ibis,Threskiornis aethiopicus,7,Taipei City,,
25.1155348,121.4712596,2000,2000/3/3,Sacred Ibis,Threskiornis aethiopicus,4,Taipei City,,
23.5004231,120.1357877,2000,2000/3/26,Sacred Ibis,Threskiornis aethiopicus,4,Chiayi,,
25.1155348,121.4712596,2000,2000/10/9,Sacred Ibis,Threskiornis aethiopicus,4,Taipei City,,
25.1155348,121.4712596,2000,2000/10/15,Sacred Ibis,Threskiornis aethiopicus,X,Taipei City,,
25.1155348,121.4712596,2001,2001/2/5,Sacred Ibis,Threskiornis aethiopicus,8,Taipei City,,
23.0773234,120.0609756,2001,2001/11/4,Sacred Ibis,Threskiornis aethiopicus,1,Tainan City,,
23.5004231,120.1357877,2001,2001/12/16,Sacred Ibis,Threskiornis aethiopicus,1,Chiayi,,
23.5004231,120.1357877,2001,2001/12/29,Sacred Ibis,Threskiornis aethiopicus,1,Chiayi,,
25.1169818,121.4728466,2002,2002/2/6,Sacred Ibis,Threskiornis aethiopicus,47,Taipei City,,
25.1182626,121.470058,2002,2002/10/13,Sacred Ibis,Threskiornis aethiopicus,X,Taipei City,,
25.1169818,121.4728466,2003,2003/8/19,Sacred Ibis,Threskiornis aethiopicus,4,Taipei City,,
25.1182626,121.470058,2003,2003/11/13,Sacred Ibis,Threskiornis aethiopicus,X,Taipei City,,
25.1169818,121.4728466,2003,2003/11/16,Sacred Ibis,Threskiornis aethiopicus,15,Taipei City,,
24.8037467,121.801815,2004,2004/1/3,Sacred Ibis,Threskiornis aethiopicus,3,Ilan,,
24.8037467,121.801815,2004,2004/1/3,Sacred Ibis,Threskiornis aethiopicus,3,Ilan,,
25.1182626,121.470058,2004,2004/2/22,Sacred Ibis,Threskiornis aethiopicus,X,Taipei City,,
24.7928046,120.9940195,2004,2004/3/19,Sacred Ibis,Threskiornis aethiopicus,6,Hsinchu City,,
24.8037467,121.801815,2004,2004/4/4,Sacred Ibis,Threskiornis aethiopicus,6,Ilan,,
25.1169818,121.4728466,2004,2004/10/10,Sacred Ibis,Threskiornis aethiopicus,4,Taipei City,,
25.1155348,121.4712596,2004,2004/11/1,Sacred Ibis,Threskiornis aethiopicus,10,Taipei City,,
23.075428,120.066957,2004,2004/11/7,Sacred Ibis,Threskiornis aethiopicus,1,Tainan City,,
23.0854958,120.0367928,2004,2004/11/20,Sacred Ibis,Threskiornis aethiopicus,6,Tainan City,,
23.075428,120.066957,2004,2004/11/20,Sacred Ibis,Threskiornis aethiopicus,3,Tainan City,,
23.173118,120.114862,2004,2004/12/19,Sacred Ibis,Threskiornis aethiopicus,1,Tainan City,,
25.117466,121.4740276,2005,2005/5/15,Sacred Ibis,Threskiornis aethiopicus,X,Taipei City,,
23.5004231,120.1357877,2005,2005/10/10,Sacred Ibis,Threskiornis aethiopicus,27,Chiayi,,
24.8249477,120.9196016,2005,2005/10/16,Sacred Ibis,Threskiornis aethiopicus,3,Hsinchu City,,
24.8249477,120.9196016,2005,2005/12/3,Sacred Ibis,Threskiornis aethiopicus,2,Hsinchu City,,
25.1089171,121.4672041,2006,2006/10/15,Sacred Ibis,Threskiornis aethiopicus,10,Taipei City,,
23.075428,120.066957,2006,2006/11/5,Sacred Ibis,Threskiornis aethiopicus,12,Tainan City,,
23.172943,120.110943,2006,2006/11/18,Sacred Ibis,Threskiornis aethiopicus,5,Tainan City,,
25.1089171,121.4672041,2006,2006/11/19,Sacred Ibis,Threskiornis aethiopicus,24,Taipei City,,
25.1169818,121.4728466,2006,2006/11/19,Sacred Ibis,Threskiornis aethiopicus,12,Taipei City,,
23.075428,120.066957,2006,2006/12/3,Sacred Ibis,Threskiornis aethiopicus,1,Tainan City,,
23.075428,120.066957,2006,2006/12/17,Sacred Ibis,Threskiornis aethiopicus,1,Tainan City,,
25.1385734,121.4575642,2006,2006/12/30,Sacred Ibis,Threskiornis aethiopicus,2,New Taipei,,
23.173118,120.114862,2007,2007/1/21,Sacred Ibis,Threskiornis aethiopicus,1,Tainan City,,
23.075428,120.066957,2007,2007/2/3,Sacred Ibis,Threskiornis aethiopicus,5,Tainan City,,
23.075209,120.048888,2007,2007/2/24,Sacred Ibis,Threskiornis aethiopicus,1,Tainan City,,
24.306672,120.5486333,2007,2007/2/28,Sacred Ibis,Threskiornis aethiopicus,17,Taichung City,,
25.1169818,121.4728466,2007,2007/3/4,Sacred Ibis,Threskiornis aethiopicus,19,Taipei City,,
23.075428,120.066957,2007,2007/3/4,Sacred Ibis,Threskiornis aethiopicus,1,Tainan City,,
25.1182626,121.470058,2007,2007/3/14,Sacred Ibis,Threskiornis aethiopicus,3,Taipei City,,
25.1182626,121.470058,2007,2007/3/14,Sacred Ibis,Threskiornis aethiopicus,3,Taipei City,,
25.1155348,121.4712596,2007,2007/3/15,Sacred Ibis,Threskiornis aethiopicus,23,Taipei City,,
25.1089171,121.4672041,2007,2007/4/22,Sacred Ibis,Threskiornis aethiopicus,8,Taipei City,,
25.127685,121.4871383,2007,2007/5/3,Sacred Ibis,Threskiornis aethiopicus,2,Taipei City,,
25.1182626,121.470058,2007,2007/6/14,Sacred Ibis,Threskiornis aethiopicus,X,Taipei City,,
25.1155348,121.4712596,2007,2007/8/19,Sacred Ibis,Threskiornis aethiopicus,2,Taipei City,,
25.1182626,121.470058,2007,2007/10/4,Sacred Ibis,Threskiornis aethiopicus,X,Taipei City,,
25.1155348,121.4712596,2007,2007/10/8,Sacred Ibis,Threskiornis aethiopicus,60,Taipei City,,
23.075428,120.066957,2007,2007/11/24,Sacred Ibis,Threskiornis aethiopicus,3,Tainan City,,
23.075428,120.066957,2007,2007/12/8,Sacred Ibis,Threskiornis aethiopicus,3,Tainan City,,
25.09858,121.470275,2007,2007/12/9,Sacred Ibis,Threskiornis aethiopicus,13,New Taipei,,
23.075209,120.048888,2007,2007/12/23,Sacred Ibis,Threskiornis aethiopicus,14,Tainan City,,
23.5004231,120.1357877,2008,2008/1/1,Sacred Ibis,Threskiornis aethiopicus,47,Chiayi,,
23.075428,120.066957,2008,2008/1/12,Sacred Ibis,Threskiornis aethiopicus,1,Tainan City,,
23.0790211,120.0523496,2008,2008/2/2,Sacred Ibis,Threskiornis aethiopicus,4,Tainan City,,
23.075428,120.066957,2008,2008/2/16,Sacred Ibis,Threskiornis aethiopicus,7,Tainan City,,
25.0746961,121.5383363,2008,2008/6/28,Sacred Ibis,Threskiornis aethiopicus,30,Taipei City,,
23.075209,120.048888,2008,2008/10/25,Sacred Ibis,Threskiornis aethiopicus,3,Tainan City,,
23.075428,120.066957,2008,2008/11/8,Sacred Ibis,Threskiornis aethiopicus,1,Tainan City,,
25.1157727,121.4682367,2008,2008/11/12,Sacred Ibis,Threskiornis aethiopicus,8,Taipei City,,
25.1169818,121.4728466,2008,2008/11/16,Sacred Ibis,Threskiornis aethiopicus,24,Taipei City,,
25.1157727,121.4682367,2008,2008/11/17,Sacred Ibis,Threskiornis aethiopicus,4,Taipei City,,
23.075428,120.066957,2009,2009/1/10,Sacred Ibis,Threskiornis aethiopicus,1,Tainan City,,
23.0226,120.1666,2009,2009/1/27,Sacred Ibis,Threskiornis aethiopicus,32,Tainan City,,
23.5004231,120.1357877,2009,2009/2/22,Sacred Ibis,Threskiornis aethiopicus,7,Chiayi,,
23.7031158,120.6151628,2009,2009/4/23,Sacred Ibis,Threskiornis aethiopicus,1,Yunlin,,
23.7031158,120.6151628,2009,2009/4/23,Sacred Ibis,Threskiornis aethiopicus,1,Yunlin,,
25.2122382,121.6983715,2009,2009/4/28,Sacred Ibis,Threskiornis aethiopicus,1,New Taipei,,
25.2122382,121.6983715,2009,2009/4/28,Sacred Ibis,Threskiornis aethiopicus,1,New Taipei,,
24.8249477,120.9196016,2009,2009/5/6,Sacred Ibis,Threskiornis aethiopicus,4,Hsinchu City,,
25.09858,121.470275,2009,2009/7/7,Sacred Ibis,Threskiornis aethiopicus,115,New Taipei,,
25.0919176,121.4510007,2009,2009/7/7,Sacred Ibis,Threskiornis aethiopicus,5,New Taipei,,
25.09858,121.470275,2009,2009/8/10,Sacred Ibis,Threskiornis aethiopicus,37,New Taipei,,
25.09858,121.470275,2009,2009/9/10,Sacred Ibis,Threskiornis aethiopicus,101,New Taipei,,
25.09858,121.470275,2009,2009/10/10,Sacred Ibis,Threskiornis aethiopicus,42,New Taipei,,
25.0919176,121.4510007,2009,2009/10/10,Sacred Ibis,Threskiornis aethiopicus,2,New Taipei,,
23.075209,120.048888,2009,2009/10/10,Sacred Ibis,Threskiornis aethiopicus,1,Tainan City,,
25.0278186,121.4883292,2009,2009/10/14,Sacred Ibis,Threskiornis aethiopicus,10,Taipei City,,
25.1293557,121.4884579,2009,2009/10/21,Sacred Ibis,Threskiornis aethiopicus,5,Taipei City,,
25.0332334,121.4858079,2009,2009/10/24,Sacred Ibis,Threskiornis aethiopicus,X,Taipei City,,
23.5004231,120.1357877,2009,2009/10/24,Sacred Ibis,Threskiornis aethiopicus,6,Chiayi,,
23.075428,120.066957,2009,2009/10/24,Sacred Ibis,Threskiornis aethiopicus,1,Tainan City,,
23.075231,120.069339,2009,2009/10/24,Sacred Ibis,Threskiornis aethiopicus,1,Tainan City,,
25.09858,121.470275,2009,2009/11/5,Sacred Ibis,Threskiornis aethiopicus,51,New Taipei,,
23.0754315,120.0486356,2009,2009/11/7,Sacred Ibis,Threskiornis aethiopicus,X,Tainan City,,
23.075428,120.066957,2009,2009/11/7,Sacred Ibis,Threskiornis aethiopicus,16,Tainan City,,
23.075209,120.048888,2009,2009/11/7,Sacred Ibis,Threskiornis aethiopicus,7,Tainan City,,
23.0773234,120.0609756,2009,2009/11/22,Sacred Ibis,Threskiornis aethiopicus,6,Tainan City,,
25.0385603,121.4911079,2009,2009/11/29,Sacred Ibis,Threskiornis aethiopicus,10,Taipei City,,
23.0773234,120.0609756,2009,2009/12/26,Sacred Ibis,Threskiornis aethiopicus,1,Tainan City,,
23.075231,120.069339,2009,2009/12/27,Sacred Ibis,Threskiornis aethiopicus,2,Tainan City,,
23.075209,120.048888,2010,2010/1/9,Sacred Ibis,Threskiornis aethiopicus,1,Tainan City,,
