年別,船隻馬力數年變化
1965,308.692
,379.067
,504.937
,538.083
,601.156
1970,655.32
,714.314
,814.4
,1004.412
,1212.174
1975,1213.455
,1167.004
,1194.989
,1277.188
,1435.605
1980,1529.579
,1571.69
,1612.238
,1712.972
,1944.297
1985,2098.254
,2272.291
,2577.991
,2943.692
,3335.162
1990,3493.504
,3464.494
,3503.879
,3496.9
,3600.564
1995,3665.443
,3772.736
,3872.136
,3823.1
,3883.817
2000,3891.96
,3960.372
,4104.85
,4142.295
,4163.892
2005,4189.61
,4143.933
,4092.009
,4034.211
,3963.18
2010,3993.889
,3870.106
,4019.253
,3943.45
,3960.145
