year,inshore fishery value of output (thousand NTD),coastal fishery value of output (thousand NTD)
1959,695763,277163
1960,845897,285700
1961,775458,290970
1962,818653,266272
1963,957815,288633
1964,1093050,268701
1965,1251773,288004
1966,1456437,267540
1967,1573738,266584
1968,1876255,291029
1969,2127437,321107
1970,2222830,358362
1971,2615204,393566
1972,2748083,396191
1973,3889897,462762
1974,4250328,573975
1975,5097867,639784
1976,6477668,892401
1977,8633235,997794
1978,9139847,1124442
1979,12163828,1304409
1980,16148672,1364595
1981,16568885,1938414
1982,17074339,2176966
1983,17958194,2603846
1984,17686483,2820816
1985,17075421,2875745
1986,17398151,3325970
1987,18812265,3255802
1988,18782933,2705579
1989,24649440,4231395
1990,18227005,3967636
1991,17450200,3523993
1992,16383344,3337254
1993,17244358,3311757
1994,15994467,3519247
1995,16923759,3984949
1996,16539404,4302480
1997,16400747.17,4801500.895
1998,13042851.54,4460009.543
1999,12704269.72,4194921.379
2000,13008293.34,4560673.559
2001,12338120.62,4404356.896
2002,12533755.11,4623174.224
2003,12753167.16,5996256.255
2004,13385936.21,6975248.016
2005,12765689.03,5430881.041
2006,9799885.491,5984166.791
2007,8733355.46,5510185.854
2008,9504085.096,5114713.814
2009,10817463.98,4190545.958
2010,8939202.729,3597773.762
2011,12724308.56,3591402.471
2012,13729111.11,4396474.315
2013,12530669.57,4045555.376
2014,14273949.96,4077160.372
2015,9997718.959,3589559.329
2016,10762338.15,4184985.629
2017,13396045,4141173
2018,12619325,3605904.559
2019,12300101,4438938
2020,10317881,3406916
2021,9796239,3286909
2022,9794757,3352285
