年份,墾丁,玉山,陽明山,太魯閣,雪霸,金門,東沙環礁,台江,澎湖南方四島
2002,4564798,1335454,4317096,2906370,554484,1436953,,,
2003,3665953,1534104,4559489,3332000,787781,1088860,,,
2004,4416243,1254867,4859703,3551037,608475,1095236,,,
2005,4075861,1349281,3915307,5598963,423146,1002065,,,
2006,4298546,1387161,4823394,6279061,456531,958376,,,
2007,3605196,1349311,4619109,4812614,473496,958107,,,
2008,3770775,1707968,4180636,5370497,611126,887469,,,
2009,4489635,1428731,4205795,6501603,794766,806657,12190,,
2010,6349733,718879,3779349,3702083,829981,1020861,9526,247979,
2011,6163823,973821,3367445,3687050,916095,1319227,9657,867680,
2012,6865652,1002090,3625783,4819139,826703,1479779,7325,808481,
2013,7063958,1121303,4087216,4776482,1343443,1389216,14294,823972,
2014,8161878,1008746,4106750,6279617,1195222,1842914,15431,973013,
2015,8054971,1044994,4537781,6605985,1255406,2029898,10680,881842,7278
2016,5835143,1167291,4322266,4524122,1180071,2171659,8960,688506,2625
