年度,天然針,天然針闊混,天然闊,人工針,人工針闊混,人工闊,木竹混,竹
1990,220100,286376,975800,218400,37287,144600,67537,152300
1991,220100,286376,975800,218400,37287,144600,67537,152300
1992,219301,277021,995526,210858,38152,141338,70171,150033
1993,218501,267666,1015253,203317,39017,138075,72805,147766
1994,217702,258311,1034979,195775,39882,134813,75438,145499
1995,216903,248956,1054706,188234,40747,131551,78072,143232
1996,216103,239601,1074432,180692,41612,128288,80706,140966
1997,215304,230246,1094159,173151,42477,125026,83339,138699
1998,214504,220891,1113885,165609,43342,121764,85973,136432
1999,213705,211536,1133612,158067,44207,118501,88607,134165
2000,212906,202181,1153338,150526,45072,115239,91240,131898
2001,212106,192826,1173065,142984,45937,111977,93874,129631
2002,211307,183471,1192791,135443,46802,108714,96508,127364
2003,210508,174116,1212518,127901,47667,105452,99141,125097
2004,209708,164761,1232244,120360,48532,102190,101775,122831
2005,208909,155406,1251971,112818,49397,98927,104409,120564
2006,208109,146051,1271697,105276,50262,95665,107042,118297
2007,207310,136696,1291424,97735,51127,92403,109676,116030
2008,206511,127341,1311150,90193,51992,89141,112310,113763
2009,205711,117986,1330877,82652,52857,85878,114943,111496
2010,204528,117151,1323102,82398,52625,84965,114382,111140
2011,204081,116944,1321347,83283,52643,87511,114296,111248
2012,203535,116681,1319306,84551,52647,90357,114259,111476
2013,203380,116570,1317847,86271,52647,93256,114218,111710
2014,203076,116366,1316306,87702,52603,96158,114183,111992
