,水土保持處理面積 (公頃)
56,12077.6
57,11597.3
58,6902.5
59,7411.21
60,7602.1
61,5549.1
62,4102.1
63,5692.53
64,4673.6
65,4177.8
66,3681
67,3158.2
68,2595.06
69,2572.1
70,2295.88
71,2329.53
72,2568
73,2630
74,2774.99
75,3664.95
76,3117.04
77,2888.92
78,2932.65
79,3088.13
80,2542.2
81,3194
82,3055
83,2394
84,2003
85,1634
86,1504
87,1482
88,1341
89,208
90,257
91,376
92,259
93,414
94,162
95,65
96,38
97,29.05
98,30.81
99,10
100,0.12
101,1.16
102,24.19
103,23.33
104,23.77
