years,WT,pH,Salt,OD2,OD1,Pb,Hg,Cu,Zn,Cd
2002,25.54072165,7.986597938,32.52319588,,6.58556701,0.008914,0.000614433,0.004415206,0.010769837,0.000342
2003,25.56159794,8.105154639,33.39252577,,6.512371134,0.005695,0.000552835,0.003175387,0.011050653,0.000136
2004,25.63530928,8.145103093,32.92061856,6.478865979,6.52628866,0.006306897,0.000385052,0.001648454,0.006495989,0.000137
2005,25.14182692,8.193509615,32.84134615,6.769711538,6.763221154,0.001962117,0.00020125,0.001033053,0.005366834,0.000071
2006,25.75913462,8.208653846,33.13581731,6.841346154,6.854807692,0.000830094,0.000202163,0.000823425,0.004642488,0.000024
2007,24.76826923,8.163942308,32.83725962,6.864663462,6.865384615,0.000428981,0.000187139,0.000985627,0.006357913,0.000034
2008,25.41105769,8.135096154,32.21033654,6.795913462,6.79375,0.000299083,0.000176202,0.0007875,0.005734783,0.000029
2009,25.18653846,8.162740385,33.17019231,6.868269231,6.898317308,0.000265556,0.000163462,0.000671635,0.004611893,0.000019
2010,24.95697115,8.153605769,33.23966346,6.927163462,6.944951923,0.000304965,0.000158894,0.000847476,0.004729584,0.000019
2011,25.41033654,8.145432692,33.41081731,6.925,,0.000365204,0.000158053,0.00086851,0.004548792,0.000023
2012,25.05071429,8.151904762,32.62214286,6.794761905,,0.000372917,0.000157738,0.000849405,0.004744125,0.00003
2013,25.23857143,8.139047619,32.8952381,6.83452381,,0.000283404,0.000150357,0.000732619,0.005030549,0.000024
2014,25.19642857,8.138333333,32.88428571,6.714761905,,0.000408407,0.000153929,0.000652024,0.004126667,0.000023
2015,24.56380952,8.145238095,33.11595238,6.697142857,,0.000335531,0.000150595,0.000825833,0.004015476,0.000021
2016,25.61714286,8.16,32.5947619,6.687857143,,0.000334866,0.00015,0.000711071,0.003153641,0.000026
2017
2018,25.2,8.16,,,,0.000255,0.0003,0.001261,0.005885,0.0000197
