年份,艘數(百艘),年變化量(百艘)
1965,81.67,
1966,88.42,6.75
1967,100.68,12.26
1968,104.69,4.01
1969,105.15,0.46
1970,102.47,-2.68
1971,105.92,3.45
1972,113.65,7.73
1973,119.77,6.12
1974,120.02,0.25
1975,118.49,-1.53
1976,120.31,1.82
1977,126.82,6.51
1978,134.57,7.75
1979,139.01,4.44
1980,139.38,0.37
1981,140.18,0.8
1982,142.46,2.28
1983,145.37,2.91
1984,143.1,-2.27
1985,146.14,3.04
1986,148.63,2.49
1987,152.5,3.87
1988,158.95,6.45
1989,157.06,-1.89
1990,147.47,-9.59
1991,142.75,-4.72
1992,132.98,-9.77
1993,132.68,-0.3
1994,138.65,5.97
1995,130.18,-8.47
1996,131.92,1.74
1997,125.71,-6.21
1998,126.69,0.98
1999,123.33,-3.36
2000,132.86,9.53
2001,133.37,0.51
2002,133.99,0.62
2003,135.19,1.2
2004,134.63,-0.56
2005,133.82,-0.81
2006,130.22,-3.6
2007,129.56,-0.66
2008,126.85,-2.71
2009,127.79,0.94
2010,122.95,-4.84
2011,122.76,-0.19
2012,121.59,-1.17
2013,121.74,0.15
2014,122.6,0.86
2015,123.18,0.58
2016,123.53,0.35
