年代,大翅鯨,小抹香鯨屬,小虎鯨,弗氏海豚,瓜頭鯨,抹香鯨,花紋海豚,虎鯨,飛旋海豚,真海豚,偽虎鯨,瓶鼻海豚,短肢領航鯨,喙鯨科,熱帶斑海豚
1998,0,4,0,333.2,40,0,28.7,0,140.3,3,38.6,17.9,0,2.3,169.7
1999,0,2.3,0,408.2,0,40,29.4,0,204,0,26.3,262.5,0,0,197.5
2000,0,0,0,380.4,200,8.5,30.8,0,167.1,0,8.2,72.6,50,0,159.5
2002,0,2,0,692.9,9,2,25.4,0,240.8,0,50,160,0,0,134
2003,2,2,0,283.8,0,5,21.4,0,155.6,0,15,81.8,0,0,148.8
2004,0,1,0,450,0,4,26.8,1,198.1,0,73.5,148.8,0,2,84.5
2005,0,1,0,1000,5,1,35.8,0,176.5,0,16.5,55,0,0,133.3
2006,0,0,0,476.6,0,2.8,44.6,0,107.2,0,15.3,49.3,84.2,0,100.8
2007,0,1.5,0,406.7,35.5,10,40,3.5,166.3,0,25,69.8,165,0,159.4
2008,0,2.3,0,359.7,0,3.1,54.6,0,187.3,0,11.7,112.6,50,2.5,177.9
2009,0,3,40,439.5,3,1.3,37.7,0,246.4,0,44.4,121.8,0,2.2,130.3
2010,0,2.5,0,403.6,40,1,53.3,3,216.7,0,20.3,141.8,13,3.5,150.6
2011,0,1,3,426.4,0,2,42.4,0,196,0,32.8,153,51.9,2,183.5
2012,0,5.3,20,325.8,0,0,36,0,195,0,98.3,100,50.6,1.2,95.5
2013,0,2.7,28.3,358.3,0,2.7,29.8,0,180,0,31.8,64.2,150,2.3,113.7
2014,0,1.9,0,296.6,225,2.6,34,0,160,0,43.2,56.4,44,2.5,108
2015,0,2.7,15,603.5,100,1.6,31.6,0,157.5,0,30.5,62.7,53.2,2.6,148.4
