year,FiB
1950,0
1951,0.25
1952,0.48
1953,0.57
1954,0.85
1955,1.31
1956,1.39
1957,1.51
1958,1.67
1959,1.79
1960,1.81
1961,1.92
1962,2.1
1963,2.16
1964,2.26
1965,2.32
1966,2.45
1967,2.55
1968,2.58
1969,2.56
1970,2.63
1971,2.64
1972,2.8
1973,2.95
1974,2.81
1975,2.95
1976,3
1977,3.22
1978,3.1
1979,2.98
1980,3.13
1981,2.91
1982,3.04
1983,2.9
1984,3.04
1985,2.95
1986,2.97
1987,2.87
1988,2.95
1989,3.12
1990,3.04
1991,3.04
1992,2.79
1993,2.7
1994,2.71
1995,2.81
1996,2.74
1997,2.68
1998,2.73
1999,2.56
2000,2.48
2001,2.56
2002,2.75
2003,2.71
2004,2.94
2005,3.01
2006,3.03
2007,2.85
2008,2.64
2009,2.68
2010,2.44
2011,2.64
2012,2.71
2013,2.72
2014,2.89
