年份,船隻噸數(千噸),年變化量(千噸)
1965,117.881,
1966,141.98,24.099
1967,175.143,33.163
1968,204.491,29.348
1969,230.563,26.072
1970,249.444,18.881
1971,263.016,13.572
1972,295.938,32.922
1973,357.591,61.653
1974,434.116,76.525
1975,431.231,-2.885
1976,407.514,-23.717
1977,450.909,43.395
1978,418.775,-32.134
1979,455.454,36.679
1980,476.48,21.026
1981,487.47,10.99
1982,488.848,1.378
1983,501.729,12.881
1984,552.408,50.679
1985,584.415,32.007
1986,622.269,37.854
1987,707.945,85.676
1988,801.172,93.227
1989,917.958,116.786
1990,968.473,50.515
1991,942.008,-26.465
1992,926.703,-15.305
1993,908.986,-17.717
1994,911.578,2.592
1995,898.419,-13.159
1996,885.606,-12.813
1997,894.783,9.177
1998,815.074,-79.709
1999,817.078,2.004
2000,810.106,-6.972
2001,818.23,8.124
2002,821.72,3.49
2003,825.615,3.895
2004,826.913,1.298
2005,807.246,-19.667
2006,743.736,-63.51
2007,727.211,-16.525
2008,694.666,-32.545
2009,665.124,-29.542
2010,674.951,9.827
2011,621.524,-53.427
2012,619.419,-2.105
2013,604.677,-14.742
2014,590.604,-14.073
2015,592.44509,1.84109
2016,580.55469,-11.8904
