年別,船隻數年變化,船隻馬力數年變化,船隻噸數年變化
1965,8167,308692,117881
1966,8842,379067,141980
1967,9657,504937,175143
1968,10068,538083,204491
1969,10469,601156,230563
1970,10515,655320,249444
1971,10247,714314,263016
1972,10592,814400,295938
1973,11365,1004412,357591
1974,11977,1212174,434116
1975,12002,1213455,431231
1976,11849,1167004,407514
1977,12031,1194989,450909
1978,12682,1277188,418775
1979,13457,1435605,455454
1980,13901,1529579,476480
1981,13938,1571690,487470
1982,14018,1612238,488848
1983,14246,1712972,501729
1984,14537,1944297,552408
1985,14310,2098254,584415
1986,14614,2272291,622269
1987,14863,2577991,707945
1988,15250,2943692,801172
1989,15895,3335162,917958
1990,15706,3493504,968473
1991,14747,3464494,942008
1992,14275,3503879,926703
1993,13298,3496900,908986
1994,13268,3600564,911578
1995,13865,3665443,898419
1996,13018,3772736,885606
1997,13192,3872136,894783
1998,12571,3823100,815074
1999,12669,3883817,817078
2000,12333,3891960,810106
2001,13286,3960372,818230
2002,13337,4104850,821720
2003,13399,4142295,825615
2004,13519,4163892,826913
2005,13463,4189610,807246
2006,13382,4143933,743736
2007,13022,4092009,727211
2008,12956,4034211,694666
2009,12685,3963180,665124
2010,12779,3993889,674951
2011,12295,3870106,621524
2012,12276,4019253,619419
2013,12159,3943450,604677
2014,12174,3960145,590604
