年,A(森林),B(農耕地),C(草生植被),D(淡水水域),E(魚塭鹽田),F(海岸),G(建築區),H(其他)
2009,2008,2381,537,327,98,20,464,83
2010,700,1698,467,339,117,16,356,76
2011,1583,2716,651,537,299,14,1061,111
2012,1970,3355,695,553,491,20,1192,176
2013,1789,2446,394,416,324,30,1164,177
2014,1615,1177,277,402,121,14,816,49
2015,2652,2759,462,443,136,26,856,60
2016,2687,3053,419,711,252,33,1174,72
2017,2470,2777,449,630,458,49,987,47
2018,19236,12382,2987,3389,1082,74,6779,63
2019,17179,12470,3319,3042,1091,102,6846,102
2020,22367,15522,3422,4077,1028,172,8956,81
