WGS84Long,WGS84Lati,物種名稱,調查時間,發現數量,縣市,鄉鎮,地點
24.95498,121.466391,小雨蛙,2016,0,新北市,土城區,山中湖
24.95498,121.466391,日本樹蛙,2016,3,新北市,土城區,山中湖
24.95498,121.466391,布氏樹蛙,2016,1,新北市,土城區,山中湖
24.95498,121.466391,艾氏樹蛙,2016,26,新北市,土城區,山中湖
24.95498,121.466391,拉都希氏赤蛙,2016,25,新北市,土城區,山中湖
24.95498,121.466391,長腳赤蛙,2016,0,新北市,土城區,山中湖
24.95498,121.466391,美洲牛蛙,2016,0,新北市,土城區,山中湖
24.95498,121.466391,面天樹蛙,2016,3,新北市,土城區,山中湖
24.95498,121.466391,貢德氏赤蛙,2016,0,新北市,土城區,山中湖
24.95498,121.466391,斑腿樹蛙,2016,1,新北市,土城區,山中湖
24.95498,121.466391,斯文豪氏赤蛙,2016,0,新北市,土城區,山中湖
24.95498,121.466391,黑眶蟾蜍,2016,0,新北市,土城區,山中湖
24.95498,121.466391,腹斑蛙,2016,1,新北市,土城區,山中湖
24.95498,121.466391,福建大頭蛙,2016,0,新北市,土城區,山中湖
24.95498,121.466391,翡翠樹蛙,2016,17,新北市,土城區,山中湖
24.95498,121.466391,臺北樹蛙,2016,25,新北市,土城區,山中湖
24.95498,121.466391,盤古蟾蜍,2016,3,新北市,土城區,山中湖
24.95498,121.466391,褐樹蛙,2016,0,新北市,土城區,山中湖
24.95498,121.466391,澤蛙,2016,0,新北市,土城區,山中湖
24.836786,121.182678,小雨蛙,2016,2,桃園市,龍潭區,渴望村水池
24.836786,121.182678,中國樹蟾,2016,0,桃園市,龍潭區,渴望村水池
24.836786,121.182678,布氏樹蛙,2016,0,桃園市,龍潭區,渴望村水池
24.836786,121.182678,艾氏樹蛙,2016,0,桃園市,龍潭區,渴望村水池
24.836786,121.182678,拉都希氏赤蛙,2016,9,桃園市,龍潭區,渴望村水池
24.836786,121.182678,虎皮蛙,2016,0,桃園市,龍潭區,渴望村水池
24.836786,121.182678,長腳赤蛙,2016,10,桃園市,龍潭區,渴望村水池
24.836786,121.182678,面天樹蛙,2016,0,桃園市,龍潭區,渴望村水池
24.836786,121.182678,貢德氏赤蛙,2016,0,桃園市,龍潭區,渴望村水池
24.836786,121.182678,黑眶蟾蜍,2016,16,桃園市,龍潭區,渴望村水池
24.836786,121.182678,腹斑蛙,2016,0,桃園市,龍潭區,渴望村水池
24.836786,121.182678,臺北樹蛙,2016,6,桃園市,龍潭區,渴望村水池
24.836786,121.182678,盤古蟾蜍,2016,0,桃園市,龍潭區,渴望村水池
24.836786,121.182678,澤蛙,2016,0,桃園市,龍潭區,渴望村水池
24.812091,121.209668,小雨蛙,2016,0,桃園市,龍潭區,齊粑崠
24.812091,121.209668,中國樹蟾,2016,0,桃園市,龍潭區,齊粑崠
24.812091,121.209668,日本樹蛙,2016,0,桃園市,龍潭區,齊粑崠
24.812091,121.209668,布氏樹蛙,2016,5,桃園市,龍潭區,齊粑崠
24.812091,121.209668,艾氏樹蛙,2016,0,桃園市,龍潭區,齊粑崠
24.812091,121.209668,拉都希氏赤蛙,2016,24,桃園市,龍潭區,齊粑崠
24.812091,121.209668,虎皮蛙,2016,0,桃園市,龍潭區,齊粑崠
24.812091,121.209668,長腳赤蛙,2016,1,桃園市,龍潭區,齊粑崠
24.812091,121.209668,面天樹蛙,2016,1,桃園市,龍潭區,齊粑崠
24.812091,121.209668,貢德氏赤蛙,2016,0,桃園市,龍潭區,齊粑崠
24.812091,121.209668,斯文豪氏赤蛙,2016,0,桃園市,龍潭區,齊粑崠
24.812091,121.209668,黑眶蟾蜍,2016,0,桃園市,龍潭區,齊粑崠
24.812091,121.209668,腹斑蛙,2016,0,桃園市,龍潭區,齊粑崠
24.812091,121.209668,福建大頭蛙,2016,1,桃園市,龍潭區,齊粑崠
24.812091,121.209668,臺北赤蛙,2016,0,桃園市,龍潭區,齊粑崠
24.812091,121.209668,臺北樹蛙,2016,22,桃園市,龍潭區,齊粑崠
24.812091,121.209668,盤古蟾蜍,2016,0,桃園市,龍潭區,齊粑崠
24.812091,121.209668,褐樹蛙,2016,0,桃園市,龍潭區,齊粑崠
24.812091,121.209668,澤蛙,2016,3,桃園市,龍潭區,齊粑崠
23.603985,120.480458,小雨蛙,2016,2,嘉義縣,大林鎮,162縣10k旁
23.603985,120.480458,中國樹蟾,2016,0,嘉義縣,大林鎮,162縣10k旁
23.603985,120.480458,史丹吉氏小雨蛙,2016,0,嘉義縣,大林鎮,162縣10k旁
23.603985,120.480458,布氏樹蛙,2016,0,嘉義縣,大林鎮,162縣10k旁
23.603985,120.480458,拉都希氏赤蛙,2016,0,嘉義縣,大林鎮,162縣10k旁
23.603985,120.480458,貢德氏赤蛙,2016,0,嘉義縣,大林鎮,162縣10k旁
23.603985,120.480458,黑眶蟾蜍,2016,0,嘉義縣,大林鎮,162縣10k旁
23.603985,120.480458,諸羅樹蛙,2016,0,嘉義縣,大林鎮,162縣10k旁
23.603985,120.480458,澤蛙,2016,0,嘉義縣,大林鎮,162縣10k旁
23.911414,121.594868,小雨蛙,2016,0,花蓮縣,壽豐鄉,193縣道24.5K
23.911414,121.594868,日本樹蛙,2016,0,花蓮縣,壽豐鄉,193縣道24.5K
23.911414,121.594868,布氏樹蛙,2016,2,花蓮縣,壽豐鄉,193縣道24.5K
23.911414,121.594868,艾氏樹蛙,2016,5,花蓮縣,壽豐鄉,193縣道24.5K
23.911414,121.594868,拉都希氏赤蛙,2016,0,花蓮縣,壽豐鄉,193縣道24.5K
23.911414,121.594868,虎皮蛙,2016,0,花蓮縣,壽豐鄉,193縣道24.5K
23.911414,121.594868,貢德氏赤蛙,2016,0,花蓮縣,壽豐鄉,193縣道24.5K
23.911414,121.594868,莫氏樹蛙,2016,5,花蓮縣,壽豐鄉,193縣道24.5K
23.911414,121.594868,斯文豪氏赤蛙,2016,0,花蓮縣,壽豐鄉,193縣道24.5K
23.911414,121.594868,黑眶蟾蜍,2016,0,花蓮縣,壽豐鄉,193縣道24.5K
23.911414,121.594868,黑蒙西氏小雨蛙,2016,0,花蓮縣,壽豐鄉,193縣道24.5K
23.911414,121.594868,腹斑蛙,2016,0,花蓮縣,壽豐鄉,193縣道24.5K
23.911414,121.594868,盤古蟾蜍,2016,3,花蓮縣,壽豐鄉,193縣道24.5K
23.911414,121.594868,褐樹蛙,2016,0,花蓮縣,壽豐鄉,193縣道24.5K
23.911414,121.594868,澤蛙,2016,0,花蓮縣,壽豐鄉,193縣道24.5K
23.832402,121.534631,小雨蛙,2016,0,花蓮縣,壽豐鄉,193縣道38K
23.832402,121.534631,日本樹蛙,2016,0,花蓮縣,壽豐鄉,193縣道38K
23.832402,121.534631,布氏樹蛙,2016,0,花蓮縣,壽豐鄉,193縣道38K
23.832402,121.534631,艾氏樹蛙,2016,0,花蓮縣,壽豐鄉,193縣道38K
23.832402,121.534631,拉都希氏赤蛙,2016,0,花蓮縣,壽豐鄉,193縣道38K
23.832402,121.534631,虎皮蛙,2016,0,花蓮縣,壽豐鄉,193縣道38K
23.832402,121.534631,貢德氏赤蛙,2016,0,花蓮縣,壽豐鄉,193縣道38K
23.832402,121.534631,莫氏樹蛙,2016,0,花蓮縣,壽豐鄉,193縣道38K
23.832402,121.534631,斯文豪氏赤蛙,2016,1,花蓮縣,壽豐鄉,193縣道38K
23.832402,121.534631,黑眶蟾蜍,2016,0,花蓮縣,壽豐鄉,193縣道38K
23.832402,121.534631,黑蒙西氏小雨蛙,2016,0,花蓮縣,壽豐鄉,193縣道38K
23.832402,121.534631,腹斑蛙,2016,0,花蓮縣,壽豐鄉,193縣道38K
23.832402,121.534631,盤古蟾蜍,2016,0,花蓮縣,壽豐鄉,193縣道38K
23.832402,121.534631,褐樹蛙,2016,1,花蓮縣,壽豐鄉,193縣道38K
23.832402,121.534631,澤蛙,2016,0,花蓮縣,壽豐鄉,193縣道38K
23.769877,121.506266,小雨蛙,2016,0,花蓮縣,壽豐鄉,193縣道47K
23.769877,121.506266,日本樹蛙,2016,5,花蓮縣,壽豐鄉,193縣道47K
23.769877,121.506266,布氏樹蛙,2016,0,花蓮縣,壽豐鄉,193縣道47K
23.769877,121.506266,艾氏樹蛙,2016,10,花蓮縣,壽豐鄉,193縣道47K
23.769877,121.506266,拉都希氏赤蛙,2016,1,花蓮縣,壽豐鄉,193縣道47K
23.769877,121.506266,虎皮蛙,2016,0,花蓮縣,壽豐鄉,193縣道47K
23.769877,121.506266,貢德氏赤蛙,2016,0,花蓮縣,壽豐鄉,193縣道47K
23.769877,121.506266,莫氏樹蛙,2016,5,花蓮縣,壽豐鄉,193縣道47K
23.769877,121.506266,斯文豪氏赤蛙,2016,0,花蓮縣,壽豐鄉,193縣道47K
23.769877,121.506266,黑眶蟾蜍,2016,0,花蓮縣,壽豐鄉,193縣道47K
23.769877,121.506266,黑蒙西氏小雨蛙,2016,0,花蓮縣,壽豐鄉,193縣道47K
23.769877,121.506266,腹斑蛙,2016,0,花蓮縣,壽豐鄉,193縣道47K
23.769877,121.506266,盤古蟾蜍,2016,0,花蓮縣,壽豐鄉,193縣道47K
23.769877,121.506266,褐樹蛙,2016,0,花蓮縣,壽豐鄉,193縣道47K
23.769877,121.506266,澤蛙,2016,0,花蓮縣,壽豐鄉,193縣道47K
24.617352,121.753721,小雨蛙,2016,0,宜蘭縣,冬山鄉,三富農場
24.617352,121.753721,中國樹蟾,2016,0,宜蘭縣,冬山鄉,三富農場
24.617352,121.753721,日本樹蛙,2016,0,宜蘭縣,冬山鄉,三富農場
24.617352,121.753721,布氏樹蛙,2016,0,宜蘭縣,冬山鄉,三富農場
24.617352,121.753721,艾氏樹蛙,2016,18,宜蘭縣,冬山鄉,三富農場
24.617352,121.753721,拉都希氏赤蛙,2016,60,宜蘭縣,冬山鄉,三富農場
24.617352,121.753721,長腳赤蛙,2016,0,宜蘭縣,冬山鄉,三富農場
24.617352,121.753721,面天樹蛙,2016,0,宜蘭縣,冬山鄉,三富農場
24.617352,121.753721,貢德氏赤蛙,2016,0,宜蘭縣,冬山鄉,三富農場
24.617352,121.753721,莫氏樹蛙,2016,38,宜蘭縣,冬山鄉,三富農場
24.617352,121.753721,斯文豪氏赤蛙,2016,1,宜蘭縣,冬山鄉,三富農場
24.617352,121.753721,黑眶蟾蜍,2016,4,宜蘭縣,冬山鄉,三富農場
24.617352,121.753721,腹斑蛙,2016,0,宜蘭縣,冬山鄉,三富農場
24.617352,121.753721,福建大頭蛙,2016,1,宜蘭縣,冬山鄉,三富農場
24.617352,121.753721,臺北樹蛙,2016,2,宜蘭縣,冬山鄉,三富農場
24.617352,121.753721,盤古蟾蜍,2016,0,宜蘭縣,冬山鄉,三富農場
24.617352,121.753721,褐樹蛙,2016,0,宜蘭縣,冬山鄉,三富農場
24.617352,121.753721,澤蛙,2016,0,宜蘭縣,冬山鄉,三富農場
