採樣分區,測站名稱,水體分類等級,採樣日期,測站編號,水溫,酸鹼值,濁度,氣溫,溶氧(電極法),氨氮,硝酸鹽氮,亞硝酸鹽氮,鹽度,矽酸鹽,溶氧(滴定法),溶氧飽和度,正磷酸鹽,大腸桿菌群,腸球菌群,備註
,,,,,℃,,NTU,℃,mg/L,mg/L,mg/L,mg/L,psu,mg/L,mg/L,%,mg/L,CFU/100mL,MPN/100mL
福隆海水浴場,福隆海水浴場右,乙,2010/8/30 下午 02:41:00,6013,28.6,8.2,2.0,25.2,6.4,0.03,0.02,0.002,32.4,0.251,6.6,99.9,0.011,300,170
福隆海水浴場,福隆海水浴場中,乙,2010/8/30 下午 02:33:00,6012,28.7,8.2,1.9,25.2,6.4,0.03,0.02,0.003,32.6,0.342,6.5,100.2,0.010,110,120
福隆海水浴場,福隆海水浴場左,乙,2010/8/30 下午 02:25:00,6011,28.6,8.1,2.7,26.4,6.5,0.03,0.02,0.003,32.4,0.264,6.5,101.2,0.013,240,160
外澳濱海遊憩區,外澳濱海遊憩區右,甲,2010/8/30 下午 01:11:00,6173,28.0,8.2,3.5,25.6,6.5,0.02,<0.01,0.002,32.3,0.303,6.5,100.4,0.022,<10,<10
外澳濱海遊憩區,外澳濱海遊憩區中,甲,2010/8/30 下午 01:03:00,6172,28.0,8.1,2.7,25.6,6.4,0.03,0.02,0.003,32.4,0.316,6.5,100.2,0.011,<10,20
外澳濱海遊憩區,外澳濱海遊憩區左,甲,2010/8/30 下午 12:55:00,6171,28.0,8.1,1.9,26.4,6.4,0.09,0.02,0.002,32.2,0.351,6.6,99.8,0.005,<10,<10
大武崙沙灘,大武崙沙灘左,甲,2010/8/30 下午 12:05:00,6181,28.3,8.1,11,26.0,6.7,0.06,0.03,0.003,31.9,0.335,6.5,101.7,0.009,290,310
大武崙沙灘,大武崙沙灘中,甲,2010/8/30 上午 11:55:00,6182,28.3,8.1,19,26.0,6.7,0.10,0.04,0.003,31.2,0.501,6.5,103.0,0.019,160,330
大武崙沙灘,大武崙沙灘右,甲,2010/8/30 上午 11:45:00,6183,28.2,8.0,40,25.9,6.5,0.05,0.08,0.005,30.7,0.381,6.3,98.9,0.024,4400,5200
塘后,塘后右,甲,2010/8/30 上午 11:35:00,6283,28.1,8.1,9.0,30.9,6.0,0.01,0.04,0.008,34.1,0.403,6.1,91.4,0.020,<10,<10
塘后,塘后中,甲,2010/8/30 上午 11:20:00,6282,28.1,8.1,8.2,30.8,5.8,0.02,0.04,0.009,34.0,0.452,6.0,88.2,0.022,<10,10
塘后,塘后左,甲,2010/8/30 上午 11:04:00,6281,28.3,8.1,7.7,30.8,6.1,0.05,0.04,0.010,34.1,0.449,6.1,95.1,0.025,<10,<10
新金山海水浴場,新金山海水浴場左,乙,2010/8/30 上午 11:01:00,6021,27.6,8.1,7.0,27.0,6.6,0.20,0.04,0.004,33.8,0.998,6.8,102.1,0.027,320,85
新金山海水浴場,新金山海水浴場中,乙,2010/8/30 上午 10:51:00,6022,27.7,8.1,7.1,27.0,6.5,0.06,0.04,0.004,33.4,0.982,6.5,101.8,0.019,270,63
新金山海水浴場,新金山海水浴場右,乙,2010/8/30 上午 10:40:00,6023,27.8,8.1,6.4,27.0,6.6,0.19,0.04,0.005,33.6,0.966,6.6,102.9,0.021,350,96
沙珠灣,沙珠灣左,甲,2010/8/30 上午 10:00:00,6191,28.1,8.1,7.0,27.2,6.5,0.09,0.09,0.004,33.7,0.335,6.5,101.0,0.016,330,210
