年,季節,蛙種,數量,縣市,鄉鎮,地點,環境型態,經度,緯度
2008,S1,小雨蛙,0,花蓮縣,壽豐鄉,193縣道24.5K,闊葉林,121.594868,23.911414
2008,S1,日本樹蛙,0,花蓮縣,壽豐鄉,193縣道24.5K,闊葉林,121.594868,23.911414
2008,S1,布氏樹蛙,0,花蓮縣,壽豐鄉,193縣道24.5K,闊葉林,121.594868,23.911414
2008,S1,艾氏樹蛙,0,花蓮縣,壽豐鄉,193縣道24.5K,闊葉林,121.594868,23.911414
2008,S1,拉都希氏赤蛙,0,花蓮縣,壽豐鄉,193縣道24.5K,闊葉林,121.594868,23.911414
2008,S1,虎皮蛙,0,花蓮縣,壽豐鄉,193縣道24.5K,闊葉林,121.594868,23.911414
2008,S1,貢德氏赤蛙,0,花蓮縣,壽豐鄉,193縣道24.5K,闊葉林,121.594868,23.911414
2008,S1,莫氏樹蛙,2,花蓮縣,壽豐鄉,193縣道24.5K,闊葉林,121.594868,23.911414
2008,S1,斯文豪氏赤蛙,0,花蓮縣,壽豐鄉,193縣道24.5K,闊葉林,121.594868,23.911414
2008,S1,黑眶蟾蜍,0,花蓮縣,壽豐鄉,193縣道24.5K,闊葉林,121.594868,23.911414
2008,S1,黑蒙西氏小雨蛙,0,花蓮縣,壽豐鄉,193縣道24.5K,闊葉林,121.594868,23.911414
2008,S1,腹斑蛙,0,花蓮縣,壽豐鄉,193縣道24.5K,闊葉林,121.594868,23.911414
2008,S1,盤古蟾蜍,1,花蓮縣,壽豐鄉,193縣道24.5K,闊葉林,121.594868,23.911414
2008,S1,褐樹蛙,0,花蓮縣,壽豐鄉,193縣道24.5K,闊葉林,121.594868,23.911414
2008,S1,澤蛙,0,花蓮縣,壽豐鄉,193縣道24.5K,闊葉林,121.594868,23.911414
2008,S2,小雨蛙,0,花蓮縣,壽豐鄉,193縣道24.5K,闊葉林,121.594868,23.911414
2008,S2,日本樹蛙,0,花蓮縣,壽豐鄉,193縣道24.5K,闊葉林,121.594868,23.911414
2008,S2,布氏樹蛙,4,花蓮縣,壽豐鄉,193縣道24.5K,闊葉林,121.594868,23.911414
2008,S2,艾氏樹蛙,0,花蓮縣,壽豐鄉,193縣道24.5K,闊葉林,121.594868,23.911414
2008,S2,拉都希氏赤蛙,0,花蓮縣,壽豐鄉,193縣道24.5K,闊葉林,121.594868,23.911414
2008,S2,虎皮蛙,0,花蓮縣,壽豐鄉,193縣道24.5K,闊葉林,121.594868,23.911414
2008,S2,貢德氏赤蛙,4,花蓮縣,壽豐鄉,193縣道24.5K,闊葉林,121.594868,23.911414
2008,S2,莫氏樹蛙,0,花蓮縣,壽豐鄉,193縣道24.5K,闊葉林,121.594868,23.911414
2008,S2,斯文豪氏赤蛙,1,花蓮縣,壽豐鄉,193縣道24.5K,闊葉林,121.594868,23.911414
2008,S2,黑眶蟾蜍,2,花蓮縣,壽豐鄉,193縣道24.5K,闊葉林,121.594868,23.911414
2008,S2,黑蒙西氏小雨蛙,0,花蓮縣,壽豐鄉,193縣道24.5K,闊葉林,121.594868,23.911414
2008,S2,腹斑蛙,0,花蓮縣,壽豐鄉,193縣道24.5K,闊葉林,121.594868,23.911414
2008,S2,盤古蟾蜍,3,花蓮縣,壽豐鄉,193縣道24.5K,闊葉林,121.594868,23.911414
2008,S2,褐樹蛙,0,花蓮縣,壽豐鄉,193縣道24.5K,闊葉林,121.594868,23.911414
2008,S2,澤蛙,3,花蓮縣,壽豐鄉,193縣道24.5K,闊葉林,121.594868,23.911414
2008,S3,小雨蛙,0,花蓮縣,壽豐鄉,193縣道24.5K,闊葉林,121.594868,23.911414
2008,S3,日本樹蛙,2,花蓮縣,壽豐鄉,193縣道24.5K,闊葉林,121.594868,23.911414
