"紀錄編號",Date,"COUNTYNAME","TOWNNAME","地點整併","經度","緯度","蛙種","記錄方式","生活型態","數量(隻)"
288249,2019/1/1,"台北市","文山區","樟湖步道",121.583149,24.965926,"斑腿樹蛙","目視","成蛙",1
288250,2019/1/1,"台北市","文山區","樟湖步道",121.583149,24.965926,"斑腿樹蛙","目視","成蛙",1
288274,2019/1/1,"新北市","土城區","土城彈藥庫",121.447738,24.964499,"斑腿樹蛙","目視","雄蛙",1
288460,2019/1/5,"台北市","大安區","富陽公園",121.557421,25.014732,"斑腿樹蛙","目視","雄蛙",1
288468,2019/1/3,"台北市","南港區","中央研究院(北)-生態池",121.612775,25.042492,"斑腿樹蛙","目視","雄蛙",1
288469,2019/1/3,"台北市","南港區","中央研究院(北)-生態池",121.612775,25.042492,"斑腿樹蛙","目視","雄蛙",1
288475,2019/1/4,"台中市","新社區","新社國小",120.810038,24.240587,"斑腿樹蛙","目視","成蛙",1
288476,2019/1/4,"台中市","新社區","新社國小",120.810038,24.240587,"斑腿樹蛙","目視","成蛙",1
288478,2019/1/4,"台中市","新社區","新社國小",120.810038,24.240587,"斑腿樹蛙","聽音","雄蛙",2
288903,2019/1/10,"台中市","東勢區","舊東勢高工校園及其周遭",120.837906,24.247698,"斑腿樹蛙","目視","雄蛙",1
288904,2019/1/10,"台中市","東勢區","舊東勢高工校園及其周遭",120.837906,24.247698,"斑腿樹蛙","聽音","雄蛙",1
288914,2019/1/10,"台中市","東勢區","石角溪步道",120.841431,24.248018,"斑腿樹蛙","聽音","雄蛙",1
289031,2019/1/10,"基隆市","中正區","龍崗步道",121.774886,25.148966,"斑腿樹蛙","聽音","雄蛙",1
289091,2019/1/5,"台北市","北投區","關渡自然公園",121.470512,25.119162,"斑腿樹蛙","目視","雄蛙",1
289102,2019/1/5,"台北市","北投區","關渡自然公園",121.470512,25.119162,"斑腿樹蛙","目視","雄蛙",2
289157,2019/1/12,"台北市","文山區","明興生態區",121.564093,24.991775,"斑腿樹蛙","目視","幼體",3
289171,2019/1/12,"雲林縣","斗六市","竹林居餐廳",120.548133,23.679975,"斑腿樹蛙","目視","雄蛙",1
