編號,濕地名稱,等級,面積(ha)
1,曾文溪口重要濕地,國際級,3218
2,四草重要濕地,國際級,551
3,夢幻湖重要濕地,國家級,1
4,淡水河流域重要濕地,國家級,1788
5,桃園埤圳重要濕地,國家級,1115
6,許厝港重要濕地,國家級,961
7,新豐重要濕地,國家級,157
8,鴛鴦湖重要濕地,國家級,374
9,香山重要濕地,國家級,1768
10,西湖重要濕地,國家級,142
11,七家灣溪重要濕地,國家級,7221
12,高美重要濕地,國家級,734
13,大肚溪口重要濕地,國家級,3817
14,鰲鼓重要濕地,國家級,512
15,朴子溪河口重要濕地,國家級,8522
16,好美寮重要濕地,國家級,1171
17,布袋鹽田重要濕地,國家級,721
18,八掌溪口重要濕地,國家級,628
19,嘉南埤圳重要濕地,國家級,1383
20,北門重要濕地,國家級,2447
21,官田重要濕地,國家級,15
22,七股鹽田重要濕地,國家級,2997
23,鹽水溪口重要濕地,國家級,453
24,楠梓仙溪重要濕地,國家級,237
25,大鬼湖重要濕地,國家級,39
26,洲仔重要濕地,國家級,9
27,南仁湖重要濕地,國家級,118
28,龍鑾潭重要濕地,國家級,289
29,新武呂溪重要濕地,國家級,317
30,大坡池重要濕地,國家級,41
31,卑南溪口重要濕地,國家級,912
32,小鬼湖重要濕地,國家級,18
33,花蓮溪口重要濕地,國家級,247
34,馬太鞍重要濕地,國家級,6
35,雙連埤重要濕地,國家級,17
36,蘭陽溪口重要濕地,國家級,2780
37,五十二甲重要濕地,國家級,298
38,無尾港重要濕地,國家級,642
39,南澳重要濕地,國家級,200
40,青螺重要濕地,國家級,250
41,慈湖重要濕地,國家級,188
42,清水重要濕地,國家級,11

