nameOfMPA	parentMPA	basedOn	_提報機關	authority	level	areaSuppliedByFATWInKM	lengthOfCoastSuppliedByFATWInKM	typeOfData	rawCoordinate	cleanedCoordinate	stepIType	distantExtentedInMeter
蘇澳漁業資源保育區	NA	漁業法	漁業署	宜蘭縣政府	2	0.25	2	LINESTRING	24°36.635'N;121°51.845'E	24°36.635'N 121°51.845'E	二至多點間自低潮線向外海延伸特定距離範圍內	200
蘇澳漁業資源保育區	NA	漁業法	漁業署	宜蘭縣政府	2	0.25	2	LINESTRING	24°36.320'N;121°52.764'E	24°36.320'N 121°52.764'E	二至多點間自低潮線向外海延伸特定距離範圍內	200
頭城漁業資源保育區	NA	漁業法	漁業署	宜蘭縣政府	2	0.25	16	LINESTRING	24°59.025'N;121°57.957'E	24°59.025'N 121°57.957'E	二至多點間自低潮線向外海延伸特定距離範圍內	200
頭城漁業資源保育區	NA	漁業法	漁業署	宜蘭縣政府	2	0.25	16	LINESTRING	24°53.055'N;121°50.834'E	24°53.055'N 121°50.834'E	二至多點間自低潮線向外海延伸特定距離範圍內	200
基隆市水產動植物保育區	NA	漁業法	漁業署	基隆市政府	3	13.56	20	LINESTRING	25°10.64'N;121°42.05'E	25°10.64'N 121°42.05'E	特定行政或地理區域臨海邊界向外海延伸特定距離範圍內	1000
基隆市水產動植物保育區	NA	漁業法	漁業署	基隆市政府	3	13.56	20	LINESTRING	25°08.24'N;121°47.81'E	25°08.24'N 121°47.81'E	特定行政或地理區域臨海邊界向外海延伸特定距離範圍內	1000
基隆市望海巷潮境海灣資源保育區	NA	漁業法	漁業署	基隆市政府	3	0.15	NA	POLYGON	25°08'28.28''N；121°48'14.02''E	25°08'28.28sN 121°48'14.02sE	多邊形所圍面積減去多算的陸地面積	NA
基隆市望海巷潮境海灣資源保育區	NA	漁業法	漁業署	基隆市政府	3	0.15	NA	POLYGON	25°08'48.39''N；121°48'30.72''E	25°08'48.39sN 121°48'30.72sE	多邊形所圍面積減去多算的陸地面積	NA
基隆市望海巷潮境海灣資源保育區	NA	漁業法	漁業署	基隆市政府	3	0.15	NA	POLYGON	25°08'47.37''N；121°48'20.62''E	25°08'47.37sN 121°48'20.62sE	多邊形所圍面積減去多算的陸地面積	NA
基隆市望海巷潮境海灣資源保育區	NA	漁業法	漁業署	基隆市政府	3	0.15	NA	POLYGON	25°08'29.60''N；121°48'6.89''E	25°08'29.60sN 121°48'6.89sE	多邊形所圍面積減去多算的陸地面積	NA
貢寮水產動植物繁殖保育區	NA	漁業法	漁業署	新北市政府	3	0.73	NA	POLYGON	25°1'16.33''N 121°59'22.19''E	25°1'16.33sN 121°59'22.19sE	多邊形所圍面積減去多算的陸地面積	NA
貢寮水產動植物繁殖保育區	NA	漁業法	漁業署	新北市政府	3	0.73	NA	POLYGON	25°1'25.62''N 121°59'26.59''E	25°1'25.62sN 121°59'26.59sE	多邊形所圍面積減去多算的陸地面積	NA
貢寮水產動植物繁殖保育區	NA	漁業法	漁業署	新北市政府	3	0.73	NA	POLYGON	25°1'17.65''N 122°0'0.67''E	25°1'17.65sN 122°0'0.67sE	多邊形所圍面積減去多算的陸地面積	NA
貢寮水產動植物繁殖保育區	NA	漁業法	漁業署	新北市政府	3	0.73	NA	POLYGON	25°1'9.55''N 121°59'51.15''E	25°1'9.55sN 121°59'51.15sE	多邊形所圍面積減去多算的陸地面積	NA
萬里水產動植物繁殖保育區	NA	漁業法	漁業署	新北市政府	3	2.83	NA	POLYGON	25°12'20.41''N 121°40'40.87''E	25°12'20.41sN 121°40'40.87sE	多邊形所圍面積減去多算的陸地面積	NA
萬里水產動植物繁殖保育區	NA	漁業法	漁業署	新北市政府	3	2.83	NA	POLYGON	25°13'28.28''N 121°42'15.79''E	25°13'28.28sN 121°42'15.79sE	多邊形所圍面積減去多算的陸地面積	NA
萬里水產動植物繁殖保育區	NA	漁業法	漁業署	新北市政府	3	2.83	NA	POLYGON	25°12'54.76''N 121°42'40.15''E	25°12'54.76sN 121°42'40.15sE	多邊形所圍面積減去多算的陸地面積	NA
萬里水產動植物繁殖保育區	NA	漁業法	漁業署	新北市政府	3	2.83	NA	POLYGON	25°12'12.53''N 121°41'39.27''E	25°12'12.53sN 121°41'39.27sE	多邊形所圍面積減去多算的陸地面積	NA
瑞芳保育區	NA	漁業法	漁業署	新北市政府	3	1.24	NA	POLYGON	25°8'3.776''N 121°48'51.502''E	25°8'3.776sN 121°48'51.502sE	NA	NA
瑞芳保育區	NA	漁業法	漁業署	新北市政府	3	1.24	NA	POLYGON	25°8'22.678''N 121°48'51.502''E	25°8'22.678sN 121°48'51.502sE	NA	NA
瑞芳保育區	NA	漁業法	漁業署	新北市政府	3	1.24	NA	POLYGON	25°8'22.678''N 121°49'52.744''E	25°8'22.678sN 121°49'52.744sE	NA	NA
瑞芳保育區	NA	漁業法	漁業署	新北市政府	3	1.24	NA	POLYGON	25°7'51.35''N 121°49'52.744''E	25°7'51.35sN 121°49'52.744sE	NA	NA
瑞芳保育區	NA	漁業法	漁業署	新北市政府	3	1.24	NA	POLYGON	25°7'51.35''N 121°48'35.137''E	25°7'51.35sN 121°48'35.137sE	NA	NA
瑞芳保育區	NA	漁業法	漁業署	新北市政府	3	1.24	NA	POLYGON	25°7'55.172''N 121°49'26.307''E	25°7'55.172sN 121°49'26.307sE	NA	NA
灣瓦海瓜子繁殖保育區	NA	漁業法	漁業署	苗栗縣政府	3	0.02	NA	POLYGON	"24°36'16""N;120°43'23""E"	24°36'16sN 120°43'23sE	多邊形所圍面積減去多算的陸地面積	NA
灣瓦海瓜子繁殖保育區	NA	漁業法	漁業署	苗栗縣政府	3	0.02	NA	POLYGON	"24°36'08""N;120°43'18""E"	24°36'08sN 120°43'18sE	多邊形所圍面積減去多算的陸地面積	NA
灣瓦海瓜子繁殖保育區	NA	漁業法	漁業署	苗栗縣政府	3	0.02	NA	POLYGON	"24°36'08""N;120°43'14""E"	24°36'08sN 120°43'14sE	多邊形所圍面積減去多算的陸地面積	NA
灣瓦海瓜子繁殖保育區	NA	漁業法	漁業署	苗栗縣政府	3	0.02	NA	POLYGON	"24°36'16""N;120°43'20""E"	24°36'16sN 120°43'20sE	多邊形所圍面積減去多算的陸地面積	NA
伸港螻蛄蝦繁殖保育區	NA	漁業法	漁業署	彰化縣政府	NA	0.36	NA	POLYGON	"24°10'08""N;120°27'43""E"	24°10'08sN 120°27'43sE	多邊形所圍面積減去多算的陸地面積	NA
伸港螻蛄蝦繁殖保育區	NA	漁業法	漁業署	彰化縣政府	NA	0.36	NA	POLYGON	"24°10'08""N;120°27'22""E"	24°10'08sN 120°27'22sE	多邊形所圍面積減去多算的陸地面積	NA
伸港螻蛄蝦繁殖保育區	NA	漁業法	漁業署	彰化縣政府	NA	0.36	NA	POLYGON	"24°09'47""N;120°27'08""E"	24°09'47sN 120°27'08sE	多邊形所圍面積減去多算的陸地面積	NA
伸港螻蛄蝦繁殖保育區	NA	漁業法	漁業署	彰化縣政府	NA	0.36	NA	POLYGON	"24°09'47""N;120°27'29""E"	24°09'47sN 120°27'29sE	多邊形所圍面積減去多算的陸地面積	NA
伸港(二)螻蛄蝦繁殖保育區	NA	漁業法	漁業署	彰化縣政府	NA	0.2	NA	POLYGON	"24°10'24.15""N 120°27'17.14""E"	24°10'24.15sN 120°27'17.14sE	多邊形所圍面積減去多算的陸地面積	NA
伸港(二)螻蛄蝦繁殖保育區	NA	漁業法	漁業署	彰化縣政府	NA	0.2	NA	POLYGON	"24°10'22.11""N 120°27'23.88""E"	24°10'22.11sN 120°27'23.88sE	多邊形所圍面積減去多算的陸地面積	NA
