保護區名稱|面積(公頃)|範圍(位置)|管理機關|公告日期
淡水河紅樹林自然保留區|76.41|新北市竹圍附近淡水河沿岸風景保安林|行政院農業委員會林務局羅東林區管理處(國定自然地景)|75.06.27
關渡自然保留區|55|臺北市關渡堤防外沼澤區|臺北市政府(國定自然自然地景)|75.06.27
坪林台灣油杉自然保留區|34.6|羅東林區管理處文山事業區第 28、29、40、41林班|羅東林區管理處(國定自然地景)|75.06.27
哈盆自然保留區|332.7|宜蘭縣員山鄉宜蘭事業區第57林班，新北市烏來區烏來事業區第72、15林班|行政院農業委會林業試驗所福山研究中心(國定自然地景)|75.06.27
插天山自然保留區|7759.17|大溪事業區部分：第13-15、24-26、32林班及第33林班中扣除已開發經營面積75公頃達觀山自然保護區之範圍；烏來事業區部分:第18、41-45、49-53林班及第35林班扣除滿月圓森林遊樂區用地850.22公頃之範圍|行政院農業委員會林務局新竹林區管理處(國定自然地景)|81.03.12
鴛鴦湖自然保留區|374|大溪事業區第90、91、89林班|行政院國軍退除役官兵輔導委員會森林保育處(國定自然地景)|75.06.27
南澳闊葉樹林自然保留區|200|宜蘭縣南澳鄉羅東林區管理處和平事業區第 87 林班第1-6 小班|行政院農業委員會林務局羅東林區管理處(國定自然地景)|81.03.12
苗栗三義火炎山自然保留區|219.04|苗栗縣三義鄉與苑裡鎮交界處，新竹林區管理處大安溪事業區第3林班地|行政院農業委員會林務局新竹林區管理處(國定自然地景)|75.06.27
澎湖玄武岩自然保留區|滿潮19.13; 低潮 30.87|澎湖縣錠鉤嶼、雞善嶼、及小白沙嶼等三島嶼|澎湖縣政府(國定自然地景)|81.03.12
台灣一葉蘭自然保留區|51.89|嘉義縣阿里山鄉處阿里山事業區第30林班|行政院農業委員會林務局嘉義林區管理處(國定自然地景)|81.03.12
出雲山自然保留區|6248.74|荖濃溪事業區第22-37林班及其外緣之馬里山溪北向、西南向與濁口溪南向、東南向溪山坡各100公尺為界範圍內之土地|行政院農業委員會林務局屏東林區管理處(國定自然地景)|81.03.12
