fishingMethodCodeAppliedByFA	year	fishingQuantityInTon
101	1959	18152 
102	1959	49237 
103	1959	NA
104	1959	8815 
105	1959	NA
106	1959	NA
107	1959	NA
108	1959	NA
109	1959	NA
199	1959	206 
201	1959	12967 
202	1959	NA
203	1959	18228 
204	1959	8092 
205	1959	NA
206	1959	NA
209	1959	NA
211	1959	12719 
212	1959	13745 
213	1959	3178 
214	1959	9877 
219	1959	NA
221	1959	NA
222	1959	NA
223	1959	NA
299	1959	9362 
301	1959	3499 
302	1959	7079 
303	1959	5706 
304	1959	2588 
305	1959	4097 
306	1959	NA
307	1959	NA
308	1959	3803 
309	1959	3074 
310	1959	NA
312	1959	NA
313	1959	NA
399	1959	3727 
101	1960	23927 
102	1960	53776 
103	1960	NA
104	1960	7507 
105	1960	NA
106	1960	NA
107	1960	NA
108	1960	NA
109	1960	NA
199	1960	NA
201	1960	9587 
202	1960	NA
203	1960	19563 
204	1960	8784 
205	1960	NA
206	1960	NA
209	1960	NA
211	1960	14061 
212	1960	14284 
213	1960	3606 
214	1960	10632 
219	1960	NA
221	1960	NA
222	1960	NA
223	1960	NA
299	1960	10652 
301	1960	2391 
302	1960	5898 
303	1960	4493 
304	1960	3216 
305	1960	3607 
306	1960	NA
307	1960	NA
308	1960	3726 
309	1960	3686 
310	1960	NA
312	1960	NA
313	1960	NA
399	1960	4743 
101	1961	27019 
102	1961	71240 
103	1961	NA
104	1961	7862 
105	1961	NA
106	1961	NA
107	1961	NA
108	1961	NA
109	1961	NA
199	1961	26 
201	1961	18436 
202	1961	NA
203	1961	28172 
204	1961	9497 
205	1961	4463 
206	1961	3328 
209	1961	NA
211	1961	15589 
212	1961	14472 
213	1961	4382 
214	1961	9955 
219	1961	104 
221	1961	NA
222	1961	NA
223	1961	NA
299	1961	4528 
301	1961	2283 
302	1961	6675 
303	1961	3857 
304	1961	3610 
305	1961	4823 
306	1961	NA
307	1961	NA
308	1961	3480 
309	1961	4478 
310	1961	NA
312	1961	NA
313	1961	NA
399	1961	5316 
101	1962	22531 
102	1962	82363 
103	1962	NA
104	1962	8701 
105	1962	NA
106	1962	NA
107	1962	NA
108	1962	NA
109	1962	NA
199	1962	NA
201	1962	22735 
202	1962	NA
203	1962	32869 
204	1962	12211 
205	1962	8669 
206	1962	2898 
209	1962	NA
211	1962	16510 
212	1962	13382 
213	1962	5489 
214	1962	8901 
219	1962	188 
221	1962	NA
222	1962	NA
223	1962	NA
299	1962	4325 
301	1962	3001 
302	1962	7852 
303	1962	3649 
304	1962	3571 
305	1962	4665 
306	1962	NA
307	1962	NA
308	1962	2847 
309	1962	4348 
310	1962	NA
312	1962	NA
313	1962	NA
399	1962	5282 
101	1963	19692 
102	1963	90581 
103	1963	NA
104	1963	9607 
105	1963	NA
106	1963	NA
107	1963	NA
108	1963	NA
109	1963	NA
199	1963	NA
201	1963	20105 
202	1963	NA
203	1963	41470 
204	1963	17007 
205	1963	10599 
206	1963	2523 
209	1963	NA
211	1963	15760 
212	1963	12704 
213	1963	4372 
214	1963	9922 
219	1963	170 
221	1963	NA
222	1963	NA
223	1963	NA
299	1963	4450 
301	1963	2467 
302	1963	12953 
303	1963	3778 
304	1963	4046 
305	1963	4680 
306	1963	NA
307	1963	NA
308	1963	2865 
309	1963	4941 
310	1963	NA
312	1963	NA
313	1963	NA
399	1963	4760 
101	1964	19743 
102	1964	97495 
103	1964	NA
104	1964	9476 
105	1964	NA
106	1964	NA
107	1964	NA
108	1964	NA
109	1964	NA
199	1964	50 
201	1964	23753 
202	1964	NA
203	1964	37874 
204	1964	21516 
205	1964	14517 
206	1964	2676 
209	1964	NA
211	1964	15944 
212	1964	12808 
213	1964	5472 
214	1964	14848 
219	1964	167 
221	1964	NA
222	1964	NA
223	1964	NA
299	1964	6845 
301	1964	2747 
302	1964	8824 
303	1964	3198 
304	1964	4333 
305	1964	4043 
306	1964	NA
307	1964	NA
308	1964	2763 
309	1964	4731 
310	1964	NA
312	1964	NA
313	1964	NA
399	1964	4958 
101	1965	18780 
102	1965	106782 
103	1965	NA
104	1965	10227 
105	1965	NA
106	1965	NA
107	1965	NA
108	1965	NA
109	1965	NA
199	1965	110 
201	1965	17630 
202	1965	NA
203	1965	29447 
204	1965	31308 
205	1965	14473 
206	1965	2622 
209	1965	NA
211	1965	16276 
212	1965	14341 
213	1965	4164 
214	1965	17321 
219	1965	142 
221	1965	1 
222	1965	NA
223	1965	NA
299	1965	8841 
301	1965	2096 
302	1965	8742 
303	1965	2301 
304	1965	4306 
305	1965	3730 
306	1965	NA
307	1965	NA
308	1965	2836 
309	1965	4358 
310	1965	NA
312	1965	NA
313	1965	NA
399	1965	5318 
101	1966	18542 
102	1966	126302 
103	1966	NA
104	1966	24353 
105	1966	NA
106	1966	NA
107	1966	NA
108	1966	NA
109	1966	NA
199	1966	63 
201	1966	21856 
202	1966	NA
203	1966	23891 
204	1966	49550 
205	1966	10753 
206	1966	2158 
209	1966	NA
211	1966	18977 
212	1966	18551 
213	1966	5047 
214	1966	15572 
219	1966	208 
221	1966	NA
222	1966	NA
223	1966	NA
299	1966	1155 
301	1966	2177 
302	1966	7262 
303	1966	1644 
304	1966	4088 
305	1966	2788 
306	1966	NA
307	1966	NA
308	1966	1973 
309	1966	4549 
310	1966	NA
312	1966	NA
313	1966	NA
399	1966	4134 
101	1967	16918 
102	1967	133289 
103	1967	NA
104	1967	38861 
105	1967	NA
106	1967	NA
107	1967	NA
108	1967	NA
109	1967	NA
199	1967	NA
201	1967	26558 
202	1967	29 
203	1967	19370 
204	1967	63281 
205	1967	14713 
206	1967	3106 
209	1967	NA
211	1967	19451 
212	1967	21100 
213	1967	4394 
214	1967	9008 
219	1967	79 
221	1967	2 
222	1967	NA
223	1967	NA
299	1967	1537 
301	1967	2239 
302	1967	7817 
303	1967	1421 
304	1967	4528 
305	1967	2993 
306	1967	NA
307	1967	NA
308	1967	1946 
309	1967	3944 
310	1967	NA
312	1967	NA
313	1967	NA
399	1967	4270 
101	1968	21272 
102	1968	140198 
103	1968	NA
104	1968	79573 
105	1968	NA
106	1968	NA
107	1968	NA
108	1968	NA
109	1968	NA
199	1968	NA
201	1968	26619 
202	1968	415 
203	1968	24939 
204	1968	69016 
205	1968	10163 
206	1968	2789 
209	1968	NA
211	1968	24471 
212	1968	22436 
213	1968	4960 
214	1968	16314 
219	1968	86 
221	1968	53 
222	1968	NA
223	1968	NA
299	1968	1803 
301	1968	2937 
302	1968	6290 
303	1968	1571 
304	1968	4307 
305	1968	2385 
306	1968	NA
307	1968	NA
308	1968	2008 
309	1968	4490 
310	1968	NA
312	1968	NA
313	1968	NA
399	1968	3997 
101	1969	25190 
102	1969	135110 
103	1969	NA
104	1969	94470 
105	1969	NA
106	1969	NA
107	1969	NA
108	1969	NA
109	1969	NA
199	1969	NA
201	1969	33571 
202	1969	287 
203	1969	22868 
204	1969	77255 
205	1969	9924 
206	1969	3070 
209	1969	NA
211	1969	25850 
212	1969	21375 
213	1969	3369 
214	1969	19203 
219	1969	133 
221	1969	112 
222	1969	NA
223	1969	NA
299	1969	1193 
301	1969	2781 
302	1969	6645 
303	1969	1744 
304	1969	5295 
305	1969	2648 
306	1969	NA
307	1969	NA
308	1969	2240 
309	1969	3722 
310	1969	NA
312	1969	NA
313	1969	NA
399	1969	4178 
101	1970	44363 
102	1970	137676 
103	1970	NA
104	1970	93932 
105	1970	NA
106	1970	NA
107	1970	NA
108	1970	NA
109	1970	NA
199	1970	NA
201	1970	19071 
202	1970	1984 
203	1970	33617 
204	1970	86951 
205	1970	8475 
206	1970	2235 
209	1970	NA
211	1970	27552 
212	1970	21349 
213	1970	3004 
214	1970	27130 
219	1970	232 
221	1970	37 
222	1970	NA
223	1970	NA
299	1970	904 
301	1970	2820 
302	1970	6118 
303	1970	2305 
304	1970	5521 
305	1970	2392 
306	1970	NA
307	1970	NA
308	1970	2338 
309	1970	4147 
310	1970	NA
312	1970	NA
313	1970	NA
399	1970	4696 
101	1971	56580 
102	1971	140814 
103	1971	NA
104	1971	95620 
105	1971	NA
106	1971	NA
107	1971	NA
108	1971	NA
109	1971	NA
199	1971	NA
201	1971	27194 
202	1971	765 
203	1971	32473 
204	1971	98685 
205	1971	8921 
206	1971	1922 
209	1971	NA
211	1971	29577 
212	1971	21813 
213	1971	3715 
214	1971	21496 
219	1971	197 
221	1971	10 
222	1971	NA
223	1971	NA
299	1971	661 
301	1971	3469 
302	1971	5826 
303	1971	1732 
304	1971	5284 
305	1971	2658 
306	1971	NA
307	1971	NA
308	1971	2557 
309	1971	4015 
310	1971	NA
312	1971	NA
313	1971	NA
399	1971	4954 
101	1972	73147 
102	1972	167829 
103	1972	NA
104	1972	103823 
105	1972	NA
106	1972	NA
107	1972	NA
108	1972	NA
109	1972	NA
199	1972	67 
201	1972	24352 
202	1972	220 
203	1972	31750 
204	1972	102915 
205	1972	8187 
206	1972	929 
209	1972	NA
211	1972	32067 
212	1972	19504 
213	1972	2353 
214	1972	15905 
219	1972	106 
221	1972	18 
222	1972	NA
223	1972	NA
299	1972	528 
301	1972	3718 
302	1972	4785 
303	1972	1716 
304	1972	5364 
305	1972	1427 
306	1972	665 
307	1972	NA
308	1972	1222 
309	1972	3916 
310	1972	NA
312	1972	NA
313	1972	NA
399	1972	4569 
101	1973	75047 
102	1973	184435 
103	1973	NA
104	1973	102757 
105	1973	NA
106	1973	NA
107	1973	NA
108	1973	NA
109	1973	NA
199	1973	146 
201	1973	30652 
202	1973	NA
203	1973	29750 
204	1973	122419 
205	1973	8957 
206	1973	849 
209	1973	NA
211	1973	41256 
212	1973	19328 
213	1973	1937 
214	1973	4555 
219	1973	169 
221	1973	22 
222	1973	NA
223	1973	NA
299	1973	405 
301	1973	3269 
302	1973	4112 
303	1973	2341 
304	1973	5351 
305	1973	1369 
306	1973	575 
307	1973	NA
308	1973	1681 
309	1973	2696 
310	1973	NA
312	1973	NA
313	1973	NA
399	1973	4736 
101	1974	62057 
102	1974	155182 
103	1974	NA
104	1974	98890 
105	1974	NA
106	1974	NA
107	1974	NA
108	1974	NA
109	1974	NA
199	1974	619 
201	1974	17957 
202	1974	NA
203	1974	28090 
204	1974	118082 
205	1974	10934 
206	1974	483 
209	1974	NA
211	1974	44189 
212	1974	13679 
213	1974	1368 
214	1974	3552 
219	1974	84 
221	1974	5 
222	1974	NA
223	1974	NA
299	1974	75 
301	1974	2881 
302	1974	4136 
303	1974	2148 
304	1974	5602 
305	1974	1387 
306	1974	612 
307	1974	NA
308	1974	1905 
309	1974	2117 
310	1974	NA
312	1974	NA
313	1974	NA
399	1974	477 
101	1975	74941 
102	1975	149756 
103	1975	NA
104	1975	84706 
105	1975	NA
106	1975	NA
107	1975	NA
108	1975	NA
109	1975	NA
199	1975	17303 
201	1975	17991 
202	1975	NA
203	1975	32002 
204	1975	148960 
205	1975	10864 
206	1975	522 
209	1975	NA
211	1975	60720 
212	1975	15755 
213	1975	1000 
214	1975	5025 
219	1975	326 
221	1975	19 
222	1975	NA
223	1975	NA
299	1975	77 
301	1975	2648 
302	1975	3784 
303	1975	2451 
304	1975	6950 
305	1975	1392 
306	1975	1139 
307	1975	NA
308	1975	1862 
309	1975	2662 
310	1975	NA
312	1975	NA
313	1975	NA
399	1975	6652 
101	1976	60267 
102	1976	157998 
103	1976	NA
104	1976	92543 
105	1976	NA
106	1976	NA
107	1976	NA
108	1976	NA
109	1976	NA
199	1976	14519 
201	1976	20167 
202	1976	NA
203	1976	26722 
204	1976	167783 
205	1976	17142 
206	1976	589 
209	1976	NA
211	1976	57183 
212	1976	17842 
213	1976	1397 
214	1976	5248 
219	1976	184 
221	1976	41 
222	1976	NA
223	1976	NA
299	1976	155 
301	1976	3939 
302	1976	4232 
303	1976	2928 
304	1976	7220 
305	1976	2199 
306	1976	1241 
307	1976	NA
308	1976	2076 
309	1976	3285 
310	1976	NA
312	1976	NA
313	1976	NA
399	1976	5613 
101	1977	60629 
102	1977	144155 
