fishingMethodCodeAppliedByFA	fishingMethodCode	fishingMethodName
101	1001	單船拖網
102	1002	雙船拖網
103	1003	鰹鮪圍網
108	1004	秋刀魚火誘網或棒受網
104	1050	鮪延繩釣
105	1052	大目流刺網
106	1051	魷釣
107	1053	魷魚流刺網
109	1054	珊瑚
199	1099	其他遠洋漁業
201	2001	巾著網
202	2002	鯖鰺圍網
203	2003	火誘網或棒受網
204	2004	中小拖網
205	2005	刺網
223	2006	扒網
206	2007	追逐網
209	2049	其他網
211	2050	鮪延繩釣
212	2051	雜魚延繩釣
213	2052	曳繩釣
214	2053	一支釣
219	2079	其他釣
221	2097	珊瑚
222	2098	飛魚卵漁業
299	2099	其他近海漁業
301	3001	定置網
302	3002	地曳網
303	3003	火誘網或焚寄網
304	3004	刺網
313	3007	魩鱙漁業
312	3008	櫻花蝦漁業
305	3049	其他網
306	3050	一支釣
307	3051	延繩釣
308	3079	其他釣
309	3096	鏢旗魚
310	3097	遊漁
399	3099	其他沿岸漁業
1001	1001	單船拖網
1002	1002	雙船拖網
1003	1003	鰹鮪圍網
1004	1004	秋刀魚火誘網或棒受網
1050	1050	鮪延繩釣
1051	1051	魷釣
1099	1099	其他遠洋漁業
2001	2001	巾著網
2002	2002	鯖鰺圍網
2003	2003	火誘網或棒受網
2004	2004	中小拖網
2005	2005	刺網
2006	2006	扒網
2049	2049	其他網
2050	2050	鮪延繩釣
2051	2051	雜魚延繩釣
2052	2052	曳繩釣
2053	2053	一支釣
2079	2079	其他釣
2096	2096	籠具
2097	2097	珊瑚
2098	2098	飛魚卵漁業
2099	2099	其他近海漁業
3001	3001	定置網
3002	3002	地曳網
3003	3003	火誘網或焚寄網
3004	3004	刺網
3005	3005	追逐網
3006	3006	流袋網
3007	3007	魩鱙漁業
3008	3008	櫻花蝦漁業
3009	3009	赤尾青蝦漁業
3049	3049	其他網
3050	3050	一支釣
3051	3051	延繩釣
3079	3079	其他釣
3096	3096	鏢旗魚
3097	3097	遊漁
3098	3098	籠具
3099	3099	其他沿岸漁業
