year	taxonID	vernacularName	scientificName	notesToScientificName	taxonRank	SAU1	SAU2	notesToSAU2	Chang1	FB	FBthenSAU2	SAU2thenFB	FBthenSAU2Modified	notesToFBthenSAU2Modified	SAU2thenFBModified	notesToSAU2thenFBModified
2013	100	吳郭魚類	Cichlidae	原文件中無此科級註記，而是列出 "Oreochromis hybrid" 和 "Tialpia"。	family	NA	NA		NA	NA	NA	NA	NA		NA	
2013	201	鯉魚	Cyprinus carpio		species	NA	NA		NA	3.1	3.1	3.1	3.1		3.1	
2013	202	鯽魚	Carassius auratus		species	NA	NA		NA	2	2	2	2		2	
2013	203	草魚	Ctenopharyngodon idellus		species	NA	NA		NA	2	2	2	2		2	
2013	204	青魚	Mylopharyngodon piceus		species	NA	NA		NA	3.2	3.2	3.2	3.2		3.2	
2013	205	大頭鰱	Aristichthys nobilis		species	NA	NA		NA	2.8	2.8	2.8	2.8		2.8	
2013	206	竹葉鰱	Hypophthalmichthys molitrix		species	NA	NA		NA	2	2	2	2		2	
2013	207	鯁魚	Cirrhina mditorella		species	NA	NA		NA	2	2	2	2		2	
2013	299	其他淡水魚類	NA		NA	NA	NA		NA	3.6	3.6	3.6	3.6		3.6	
2013	300	鰻魚	Anguilla japonica		species	NA	NA		NA	4.4	4.4	4.4	4.4		4.4	
2013	400	淡水鯰	Silurus assotus		species	NA	NA		NA	3.4	3.4	3.4	3.4		3.4	
2013	500	鱸魚	Lateolbrax japonicus		species	NA	3.78	Lateolabrax japonicus	NA	4	4	3.78	4		3.78	
2013	504	紅目鱸	Psammoperca waigiensis		species	NA	3.53	map to order rank	NA	3.2	3.2	3.53	3.2		3.53	
2013	600	泥鰍	Misgurnus anguillicandatus		species	NA	NA		NA	3.2	3.2	3.2	3.2		3.2	
2013	700	觀賞魚類	NA		NA	NA	NA		NA	NA	NA	NA	NA		NA	
2013	701	錦鯉	Cyprinus carpio		species	NA	NA		NA	3.1	3.1	3.1	3.1		3.1	
2013	789	其他觀賞蝦	NA		NA	NA	NA		NA	NA	NA	NA	NA		NA	
2013	799	其他觀賞魚	NA		NA	NA	NA		NA	NA	NA	NA	NA		NA	
2016	1001	吳郭魚類	Cichlidae		family	NA	NA		NA	NA	NA	NA	NA		NA	
2013	1100	鱒魚	Oncorhynchus mykiss		species	NA	NA		NA	4.1	4.1	4.1	4.1		4.1	
2013	1200	香魚	Plecoglossus altivelis		species	NA	NA		3	2.8	2.8	2.8	2.8		2.8	
2013	1400	虱目魚	Chanos chanos		species	2.03	2.03		NA	2.4	2.4	2.03	2.4		2.03	
2013	1500	鮃鰈類	Psettodes erumei		species	4.39	4.39		NA	4.4	4.4	4.39	4.4		4.39	
2013	1601	嘉臘	Pagrus major		species	3.7	3.7		3.7	3.7	3.7	3.7	3.7		3.7	
2013	1602	赤鯮	Taius tumifrons		species	NA	3.31	map to family rank	NA	3.8	3.8	3.31	3.8		3.31	
2013	1603	盤仔	Evynnis cardinalis		species	NA	3.31	map to family rank	3.3	3.3	3.3	3.31	3.3		3.31	
2013	1604	黑鯛	Acanthopagrus schlegel		species	3.24	3.24		3.2	3.2	3.2	3.24	3.2		3.24	
2013	1605	銀紋笛鯛	Lutjanus argentimaculatus		species	3.58	3.58		3.6	3.6	3.6	3.58	3.6		3.58	
2013	1699	其他鯛	Sparidae	原文件中無此科級註記，此乃根據原文件中 "Misc. seabream" 所做的判斷。	family	3.31	3.31		NA	NA	3.31	3.31	3.31		3.31	
2013	1701	大黃魚	Larimichthys croseus		species	NA	3.72	Larimichthys crocea	NA	3.7	3.7	3.72	3.7		3.72	
2013	1702	小黃魚	Larimichthys polyocyis		species	NA	3.57	Larimichthys polyactis	NA	3.6	3.6	3.57	3.6		3.57	
2013	1703	黑口	Atrobucca nibe		species	3.03	3.03		3.7	4	4	3.03	4		3.03	
2013	1705	白口	Pennahia argentatus		species	NA	3.47	Pennahia argentata	NA	3.7	3.7	3.47	3.7		3.47	
2013	1706	鮸魚	Miichthys miiuy		species	3.5	3.5		3.5	3.5	3.5	3.5	3.5		3.5	
2013	1799	其他黃花魚類	Sciaenidae	原文件中無此科級註記，此乃根據原文件中 "Other croakers" 所做的判斷。	family	3.76	3.76		NA	NA	3.76	3.76	3.76		3.76	
2013	1800	金線	Nemipterus virgatus		species	3.99	3.99		4	4	4	3.99	4		3.99	
2013	1900	馬頭	Branchiostegus japonicus		species	NA	3.53	map to order rank	3.4	3.4	3.4	3.53	3.4		3.53	
2013	2000	龍尖	Lethrinus miniatus		species	4.19	4.19		NA	4.2	4.2	4.19	4.2		4.19	
2016	2001	鯉魚	Cyprinus		genus	NA	NA		NA	NA	NA	NA	NA		NA	
2016	2002	鯽魚	Carassius		genus	NA	NA		NA	NA	NA	NA	NA		NA	
2016	2003	草魚	Ctenopharyngodon idella		species	NA	NA		NA	2	2	2	2		2	
2016	2005	鱅	Aristichthys nobilis		species	NA	NA		NA	2.8	2.8	2.8	2.8		2.8	
2013	2100	赤海	Lutjanus bahar		species	NA	4.27	Lutjanus bohar	NA	4.3	4.3	4.27	4.3		4.27	
2013	2200	秋姑	Parupeneus barberinus		species	3.22	3.22		NA	3.4	3.4	3.22	3.4		3.22	
2013	2300	鸚哥魚	Cetoscarus bicolor		species	NA	2	map to family rank	NA	2	2	2	2		2	
2013	2400	紅目鰱	Priacanthus macracanthus		species	3.8	3.8		NA	4.1	4.1	3.8	4.1		3.8	
