taxonID	scientificName	scientificNameChecked	taxonRank
201	Cyprinus carpio	Cyprinus carpio	species
202	Carassius auratus	Carassius auratus	species
203	Ctenopharyngodon idellus	Ctenopharyngodon idellus	species
204	Mylopharyngodon piceus	Mylopharyngodon piceus	species
205	Aristichthys nobilis	Aristichthys nobilis	species
206	Hypophthalmichthys molitrix	Hypophthalmichthys molitrix	species
207	Cirrhina mditorella	Cirrhinus molitorella	species
300	Anguilla japonica	Anguilla japonica	species
400	Silurus assotus	Silurus asotus	species
500	Lateolbrax japonicus	Lateolabrax japonicus	species
504	Psammoperca waigiensis	Psammoperca waigiensis	species
600	Misgurnus anguillicandatus	Misgurnus anguillicaudatus	species
701	Cyprinus carpio	Cyprinus carpio	species
1100	Oncorhynchus mykiss	Oncorhynchus mykiss	species
1200	Plecoglossus altivelis	Plecoglossus altivelis	species
1400	Chanos chanos	Chanos chanos	species
1500	Psettodes erumei	Psettodes erumei	species
1601	Pagrus major	Pagrus major	species
1602	Taius tumifrons	Taius tumifrons	species
1603	Evynnis cardinalis	Evynnis cardinalis	species
1604	Acanthopagrus schlegel	Acanthopagrus schlegeli	species
1605	Lutjanus argentimaculatus	Lutjanus argentimaculatus	species
1701	Larimichthys croseus	Larimichthys croceus	species
1702	Larimichthys polyocyis	Larimichthys polyposis	species
1703	Atrobucca nibe	Atrobucca nibe	species
1705	Pennahia argentatus	Pennahia argentata	species
1706	Miichthys miiuy	Miichthys miiuy	species
1800	Nemipterus virgatus	Nemipterus virgatus	species
1900	Branchiostegus japonicus	Branchiostegus japonicus	species
2000	Lethrinus miniatus	Lethrinus miniatus	species
2003	Ctenopharyngodon idella	Ctenopharyngodon idella	species
2005	Aristichthys nobilis	Aristichthys nobilis	species
2100	Lutjanus bahar	Lutjanus bohar	species
2200	Parupeneus barberinus	Parupeneus barberinus	species
2300	Cetoscarus bicolor	Cetoscarus bicolor	species
2400	Priacanthus macracanthus	Priacanthus macracanthus	species
2500	Epinephelus malabaricus	Epinephelus malabaricus	species
2600	Saurida elongata	Saurida elongata	species
2700	Enchelycore schismatorhynchus	Enchelycore schismatorhynchus	species
2701	Arius maculatus	Arius maculatus	species
2900	Rachycentron canadus	Rachycentron canadus	species
3000	Mene maculata	Mene maculata	species
3101	Decapterus maruadsi	Decapterus maruadsi	species
3102	Trachurus japonicus	Trachurus japonicus	species
3103	Megalaspis cordyla	Megalaspis cordyla	species
3104	Decapterus kurroides	Decapterus kurroides	species
3105	Carangoides malaboricus	Carangoides malabaricus	species
3106	Seriola dumerili	Seriola dumerili	species
3200	Mugil cephalus	Mugil cephalus	species
3301	Pampus argenteus	Pampus argenteus	species
3303	Apolectus niger	Apolectus niger	species
3400	Psenopsis anomala	Psenopsis anomala	species
3500	Polydactylus sextarius	Polydactylus sextarius	species
3600	Cypselurus unicolor	Cypselurus unicolor	species
3700	Sphyraena barracuda	Sphyraena barracuda	species
3800	Sillago sihama	Sillago sihama	species
3900	Chirocentrus dorab	Chirocentrus dorab	species
4000	Ruvettus pretiosus	Ruvettus pretiosus	species
4002	Nematalosa japonica	Nematalosa japonica	species
4300	Trichiurus lepturus	Trichiurus lepturus	species
4400	Coryphaena hippurus	Coryphaena hippurus	species
4601	Etrumeus teres	Etrumeus teres	species
4602	Engraulis japonius	Engraulis japonicus	species
4603	Emcrasicholina punctifer	Encrasicholina punctifer	species
4604	Sardinella sindensis	Sardinella sindensis	species
4605	Spratelloides gracilis	Spratelloides gracilis	species
4700	Scomber austrlasicus	Scomber australasicus	species
4801	Katsuwonus pelamis	Katsuwonus pelamis	species
4802	Auxis thazard	Auxis thazard	species
4803	Auxis rochei	Auxis rochei	species
4901	Scomberomorus commerson	Scomberomorus commerson	species
4902	Scomberomorus niphonius	Scomberomorus niphonius	species
4903	Scomberomorus koreanus	Scomberomorus koreanus	species
5001	Thunnus alalunga	Thunnus alalunga	species
5002	Thunnus obesus	Thunnus obesus	species
5003	Psammoperca waigiensis	Psammoperca waigiensis	species
5003	Thunnus thynnus	Thunnus thynnus	species
5003	Thunnus albacares	Thunnus albacares	species
5004	Lates calcarifer	Lates calcarifer	species
5006	Thunnus Maccoyii	Thunnus Maccoyii	species
5101	Xiphias gladius	Xiphias gladius	species
5102	Kajikia audax	Kajikia albida	species
5103	Makaira mazara	Makaira mazara	species
5104	Makaira indica	Makaira indica	species
5105	Istiophorus platypterus	Istiophorus platypterus	species
5106	Kajikia albidus	Kajikia albidus	species
5201	Isurus glaucus	Isurus glaucus	species
5202	Hemitriakis japonicus	Hemitriakis japanica	species
5203	Carcharhinus falciformis	Carcharhinus falciformis	species
5204	Prionace glauca	Prionace glauca	species
5205	Isurus oxyrinchus	Isurus oxyrinchus	species
5300	Dasyatis akajei	Dasyatis akajei	species
5400	Theragra chalcogramma	Theragra chalcogramma	species
5500	Cololabis saira	Cololabis saira	species
5600	Aluterus monceros	Aluterus monoceros	species
5700	Mola mola	Mola mola	species
6201	Penaeus monodon	Penaeus monodon	species
6202	Penaeus japonicus	Penaeus japonicus	species
6203	Metapenaeus ensis	Metapenaeus ensis	species
6204	Macrobrachium rosenbergii	Macrobrachium rosenbergii	species
6205	Penaeus penicillatus	Penaeus penicillatus	species
6206	Trachy penaeus	Trachy penaeus	species
6207	Parapenaeus hardwickii	Parapenaeus hardwickii	species
6208	Heterocarpus sibogae	Heterocarpus sibogae	species
