numberOfCraftWooden	numberOfCraftSteel	numberOfCraftFRP	tonnage	HP	county	fishingMethod	craftTypeBasedOnTons	tonnageMin	tonnageMax	year
NA	NA	1.00 	0.30 	16.00 	嘉義縣	其他	w < 5t	0	5	2003
NA	NA	1.00 	3.34 	26.00 	澎湖縣	公務用	w < 5t	0	5	2003
NA	NA	1.00 	2.15 	36.00 	嘉義縣	火誘網	w < 5t	0	5	2003
NA	NA	1.00 	0.52 	40.00 	新竹縣	鯛及雜魚延繩釣	Powered Sampans	0	0	2003
NA	NA	1.00 	0.82 	40.00 	屏東縣	其他	Powered Sampans	0	0	2003
NA	NA	1.00 	2.00 	50.00 	花蓮縣	鯛及雜魚延繩釣	Powered Sampans	0	0	2003
1.00 	NA	1.00 	3.78 	66.00 	屏東縣	火誘網	w < 5t	0	5	2003
NA	NA	1.00 	2.00 	70.00 	花蓮縣	一支釣	Powered Sampans	0	0	2003
NA	NA	1.00 	3.88 	70.00 	台南市	單船拖網	w < 5t	0	5	2003
NA	NA	1.00 	8.22 	70.00 	基隆市	其他	5t < w < 10t	5	10	2003
2.00 	NA	1.00 	11.17 	72.00 	屏東縣	刺網	w < 5t	0	5	2003
NA	NA	1.00 	12.30 	75.00 	台中縣	火誘網	10t < w < 20t	10	20	2003
NA	NA	1.00 	1.00 	85.00 	花蓮縣	鮪延繩釣	Powered Sampans	0	0	2003
NA	NA	1.00 	0.69 	90.00 	屏東縣	火誘網	Powered Sampans	0	0	2003
NA	NA	1.00 	7.09 	100.00 	新北市	曳繩網	5t < w < 10t	5	10	2003
NA	NA	1.00 	1.28 	110.00 	台中縣	火誘網	Powered Sampans	0	0	2003
NA	NA	1.00 	5.57 	110.00 	苗栗縣	火誘網	5t < w < 10t	5	10	2003
NA	NA	1.00 	0.65 	115.00 	台南縣	鯛及雜魚延繩釣	w < 5t	0	5	2003
NA	NA	1.00 	1.10 	115.00 	新竹縣	一支釣	w < 5t	0	5	2003
NA	NA	1.00 	1.96 	115.00 	新竹市	其他	w < 5t	0	5	2003
NA	NA	1.00 	3.71 	115.00 	花蓮縣	火誘網	w < 5t	0	5	2003
NA	NA	1.00 	4.98 	115.00 	花蓮縣	其他	w < 5t	0	5	2003
NA	NA	1.00 	4.99 	115.00 	宜蘭縣	單船拖網	w < 5t	0	5	2003
NA	NA	1.00 	6.21 	115.00 	雲林縣	其他	5t < w < 10t	5	10	2003
NA	NA	1.00 	6.45 	115.00 	新竹市	一支釣	5t < w < 10t	5	10	2003
NA	NA	1.00 	1.00 	120.00 	台南縣	其他	Powered Sampans	0	0	2003
NA	NA	1.00 	3.70 	120.00 	新北市	鏢旗魚	Powered Sampans	0	0	2003
NA	NA	1.00 	32.52 	125.00 	澎湖縣	一支釣	20t < w < 50t	20	50	2003
NA	NA	1.00 	3.43 	130.00 	金門縣	火誘網	w < 5t	0	5	2003
2.00 	NA	1.00 	11.22 	142.00 	屏東縣	鏢旗魚	w < 5t	0	5	2003
NA	NA	1.00 	2.93 	150.00 	新北市	單船拖網	w < 5t	0	5	2003
NA	NA	1.00 	5.81 	150.00 	台南縣	一支釣	5t < w < 10t	5	10	2003
NA	NA	1.00 	2.20 	151.00 	宜蘭縣	鏢旗魚	w < 5t	0	5	2003
1.00 	NA	1.00 	4.25 	154.00 	新北市	其他	Powered Sampans	0	0	2003
NA	NA	1.00 	8.22 	155.00 	金門縣	單船拖網	5t < w < 10t	5	10	2003
NA	NA	1.00 	13.96 	165.00 	金門縣	火誘網	10t < w < 20t	10	20	2003
1.00 	NA	1.00 	18.56 	170.00 	台南市	刺網	5t < w < 10t	5	10	2003
NA	NA	1.00 	5.64 	180.00 	澎湖縣	一支釣	5t < w < 10t	5	10	2003
NA	NA	1.00 	5.34 	200.00 	高雄市	一支釣	5t < w < 10t	5	10	2003
1.00 	NA	1.00 	6.18 	205.00 	花蓮縣	刺網	w < 5t	0	5	2003
NA	NA	1.00 	6.54 	210.00 	高雄縣	一支釣	5t < w < 10t	5	10	2003
NA	NA	1.00 	7.91 	210.00 	高雄市	曳繩網	5t < w < 10t	5	10	2003
1.00 	NA	1.00 	15.44 	215.00 	澎湖縣	刺網	5t < w < 10t	5	10	2003
NA	NA	1.00 	7.02 	218.00 	基隆市	單船拖網	5t < w < 10t	5	10	2003
1.00 	NA	1.00 	15.76 	224.00 	新北市	鏢旗魚	5t < w < 10t	5	10	2003
1.00 	NA	1.00 	9.97 	231.00 	宜蘭縣	火誘網	w < 5t	0	5	2003
NA	1.00 	1.00 	2.80 	240.00 	桃園縣	火誘網	w < 5t	0	5	2003
NA	NA	1.00 	17.32 	240.00 	台南市	單船拖網	10t < w < 20t	10	20	2003
NA	NA	1.00 	19.65 	240.00 	台南縣	單船拖網	10t < w < 20t	10	20	2003
NA	NA	1.00 	36.84 	240.00 	嘉義縣	鯛及雜魚延繩釣	20t < w < 50t	20	50	2003
2.00 	NA	1.00 	52.17 	251.00 	新北市	鏢旗魚	10t < w < 20t	10	20	2003
NA	NA	1.00 	9.36 	255.00 	澎湖縣	鏢旗魚	5t < w < 10t	5	10	2003
NA	NA	1.00 	10.75 	255.00 	臺東縣	鯛及雜魚延繩釣	10t < w < 20t	10	20	2003
NA	NA	1.00 	8.63 	260.00 	宜蘭縣	刺網	5t < w < 10t	5	10	2003
8.00 	NA	1.00 	23.53 	268.00 	澎湖縣	刺網	w < 5t	0	5	2003
NA	NA	1.00 	24.73 	279.00 	宜蘭縣	一支釣	20t < w < 50t	20	50	2003
NA	NA	1.00 	5.80 	280.00 	高雄市	其他	5t < w < 10t	5	10	2003
NA	NA	1.00 	7.86 	280.00 	屏東縣	其他	5t < w < 10t	5	10	2003
1.00 	NA	1.00 	25.32 	280.00 	花蓮縣	刺網	10t < w < 20t	10	20	2003
NA	NA	1.00 	31.74 	280.00 	新竹市	刺網	20t < w < 50t	20	50	2003
NA	NA	1.00 	5.25 	292.00 	新竹市	刺網	w < 5t	0	5	2003
NA	NA	1.00 	26.05 	330.00 	桃園縣	鯛及雜魚延繩釣	20t < w < 50t	20	50	2003
NA	NA	1.00 	18.28 	340.00 	新竹市	單船拖網	10t < w < 20t	10	20	2003
NA	NA	1.00 	17.78 	350.00 	彰化縣	刺網	10t < w < 20t	10	20	2003
NA	NA	1.00 	19.45 	357.00 	台南縣	鯛及雜魚延繩釣	10t < w < 20t	10	20	2003
NA	NA	1.00 	29.31 	357.00 	高雄市	一支釣	20t < w < 50t	20	50	2003
NA	NA	1.00 	19.18 	380.00 	臺東縣	單船拖網	10t < w < 20t	10	20	2003
1.00 	NA	1.00 	5.34 	390.00 	桃園縣	鯛及雜魚延繩釣	5t < w < 10t	5	10	2003
NA	NA	1.00 	21.40 	390.00 	宜蘭縣	定置漁業作業	20t < w < 50t	20	50	2003
1.00 	NA	1.00 	19.23 	396.00 	宜蘭縣	鮪延繩釣	5t < w < 10t	5	10	2003
NA	NA	1.00 	16.55 	400.00 	臺東縣	一支釣	10t < w < 20t	10	20	2003
NA	NA	1.00 	19.90 	409.00 	新竹市	火誘網	10t < w < 20t	10	20	2003
NA	NA	1.00 	39.91 	415.00 	金門縣	鯛及雜魚延繩釣	20t < w < 50t	20	50	2003
1.00 	NA	1.00 	18.45 	430.00 	新北市	單船拖網	5t < w < 10t	5	10	2003
NA	NA	1.00 	9.94 	435.00 	台南市	其他	5t < w < 10t	5	10	2003
NA	NA	1.00 	18.62 	435.00 	花蓮縣	火誘網	10t < w < 20t	10	20	2003
NA	NA	1.00 	20.52 	435.00 	高雄市	火誘網	20t < w < 50t	20	50	2003
NA	NA	1.00 	36.94 	435.00 	金門縣	單船拖網	20t < w < 50t	20	50	2003
1.00 	NA	1.00 	37.95 	435.00 	高雄市	巾著網	10t < w < 20t	10	20	2003
NA	NA	1.00 	49.69 	435.00 	金門縣	火誘網	20t < w < 50t	20	50	2003
NA	NA	1.00 	19.85 	444.00 	花蓮縣	一支釣	10t < w < 20t	10	20	2003
NA	NA	1.00 	19.40 	450.00 	金門縣	巾著網	10t < w < 20t	10	20	2003
NA	NA	1.00 	55.57 	450.00 	金門縣	公務用	50t < w < 100t	50	100	2003
NA	NA	1.00 	55.81 	450.00 	宜蘭縣	刺網	50t < w < 100t	50	100	2003
NA	NA	1.00 	68.98 	450.00 	台中縣	鯛及雜魚延繩釣	50t < w < 100t	50	100	2003
NA	NA	1.00 	72.32 	450.00 	臺東縣	鮪延繩釣	50t < w < 100t	50	100	2003
NA	NA	1.00 	77.04 	450.00 	台南市	刺網	50t < w < 100t	50	100	2003
2.00 	NA	1.00 	47.56 	465.00 	嘉義縣	單船拖網	10t < w < 20t	10	20	2003
1.00 	NA	1.00 	17.15 	490.00 	桃園縣	鯛及雜魚延繩釣	10t < w < 20t	10	20	2003
2.00 	NA	1.00 	52.25 	512.00 	屏東縣	火誘網	10t < w < 20t	10	20	2003
4.00 	NA	1.00 	39.28 	526.00 	花蓮縣	刺網	5t < w < 10t	5	10	2003
NA	NA	1.00 	63.54 	530.00 	澎湖縣	火誘網	50t < w < 100t	50	100	2003
NA	NA	1.00 	49.44 	540.00 	新北市	鏢旗魚	20t < w < 50t	20	50	2003
NA	1.00 	1.00 	78.88 	560.00 	澎湖縣	鮪延繩釣	20t < w < 50t	20	50	2003
NA	NA	1.00 	4.97 	581.00 	臺東縣	刺網	w < 5t	0	5	2003
4.00 	NA	1.00 	46.72 	613.00 	高雄市	刺網	5t < w < 10t	5	10	2003
NA	NA	1.00 	59.93 	640.00 	新竹市	刺網	50t < w < 100t	50	100	2003
NA	NA	1.00 	19.81 	650.00 	宜蘭縣	其他	10t < w < 20t	10	20	2003
NA	NA	1.00 	49.78 	650.00 	基隆市	一支釣	20t < w < 50t	20	50	2003
NA	NA	1.00 	32.56 	680.00 	新北市	公務用	20t < w < 50t	20	50	2003
NA	NA	1.00 	19.93 	735.00 	台中縣	一支釣	10t < w < 20t	10	20	2003
NA	NA	1.00 	99.50 	750.00 	宜蘭縣	公務用	50t < w < 100t	50	100	2003
NA	NA	1.00 	23.61 	800.00 	桃園縣	其他	20t < w < 50t	20	50	2003
NA	NA	1.00 	19.22 	818.00 	高雄縣	一支釣	10t < w < 20t	10	20	2003
5.00 	NA	1.00 	51.62 	843.00 	屏東縣	鏢旗魚	5t < w < 10t	5	10	2003
NA	NA	1.00 	37.32 	900.00 	台中縣	其他	20t < w < 50t	20	50	2003
NA	NA	1.00 	105.04 	900.00 	台南縣	刺網	100t < w < 200t	100	200	2003
NA	NA	1.00 	367.00 	1100.00 	新北市	刺網	200t < w < 500t	200	500	2003
NA	NA	1.00 	114.00 	1188.00 	新竹市	鯛及雜魚延繩釣	100t < w < 200t	100	200	2003
NA	NA	1.00 	12.15 	1240.00 	臺東縣	刺網	10t < w < 20t	10	20	2003
NA	1.00 	1.00 	244.16 	1280.00 	澎湖縣	鯛及雜魚延繩釣	100t < w < 200t	100	200	2003
1.00 	NA	1.00 	8.84 	1355.00 	臺東縣	火誘網	5t < w < 10t	5	10	2003
NA	NA	1.00 	19.93 	1360.00 	宜蘭縣	公務用	10t < w < 20t	10	20	2003
3.00 	NA	1.00 	63.82 	1665.00 	臺東縣	其他	10t < w < 20t	10	20	2003
NA	1.00 	1.00 	270.00 	2854.00 	台南市	單船拖網	100t < w < 200t	100	200	2003
40.00 	NA	1.00 	173.11 	3296.00 	高雄市	單船拖網	w < 5t	0	5	2003
NA	3.00 	1.00 	645.47 	3320.00 	屏東縣	單船拖網	100t < w < 200t	100	200	2003
NA	NA	1.00 	3.11 	3572.00 	臺東縣	火誘網	w < 5t	0	5	2003
NA	3.00 	1.00 	870.29 	4280.00 	宜蘭縣	單船拖網	200t < w < 500t	200	500	2003
NA	6.00 	1.00 	1851.03 	5630.00 	基隆市	鯛及雜魚延繩釣	200t < w < 500t	200	500	2003
