year	number
1967	9657 
1968	10068 
1969	10469 
1970	10515 
1971	10247 
1972	10592 
1973	11365 
1974	11977 
1975	12002 
1976	11849 
1977	12031 
1978	12682 
1979	13457 
1980	13901 
1981	13938 
1982	14018 
1983	14246 
1984	14537 
1985	14310 
1986	14614 
1987	14863 
1988	15250 
1989	15895 
1990	15706 
1991	14747 
1992	14275 
1993	13298 
1994	13268 
1995	13865 
1996	13018 
1997	13192 
1998	12571 
1999	12669 
2000	12333 
2001	13286 
2002	13337 
2003	13399 
2004	13519 
2005	13463 
2006	13382 
2007	13022 
2008	12956 
2009	12685 
2010	12779 
2011	12295 
2012	12276 
2013	12159 
2014	12174 
2015	12260 
2016	12318 
