tonnage	HP
175143 	504937 
204491 	538083 
230563 	601156 
249444 	655320 
263016 	714314 
295938 	814400 
357591 	1004412 
434116 	1212174 
431231 	1213455 
407514 	1167004 
450909 	1194989 
418775 	1277188 
455454 	1435605 
476480 	1529579 
487470 	1571690 
488848 	1612238 
501729 	1712972 
552408 	1944297 
584415 	2098254 
622269 	2272291 
707945 	2577991 
801172 	2943692 
917958 	3335162 
968473 	3493504 
942008 	3464494 
926703 	3503879 
908986 	3496900 
911578 	3600564 
898419 	3665443 
885606 	3772736 
894783 	3872136 
815074 	3823100 
817078 	3883817 
810106 	3891960 
818230 	3960372 
821720 	4104850 
825615 	4142295 
826913 	4163892 
807246 	4189610 
743736 	4143933 
727211 	4092009 
694666 	4034211 
665124 	3963180 
674951 	3993889 
621524 	3870106 
619419 	4019253 
604677 	3943450 
590604 	3960145 
596658 	4061855 
592445 	4112814 
