year	tonnage
1967	175143.00 
1968	204491.00 
1969	230563.00 
1970	249444.00 
1971	263016.00 
1972	295938.00 
1973	357591.00 
1974	434116.00 
1975	431231.00 
1976	407514.00 
1977	450909.00 
1978	418775.00 
1979	455454.00 
1980	476480.00 
1981	487470.00 
1982	488848.00 
1983	501729.00 
1984	552408.00 
1985	584415.00 
1986	622269.00 
1987	707945.00 
1988	801172.00 
1989	917958.00 
1990	968473.00 
1991	942008.00 
1992	926703.00 
1993	908986.00 
1994	911578.00 
1995	898419.00 
1996	885606.00 
1997	894783.00 
1998	815074.00 
1999	817078.00 
2000	810106.00 
2001	818230.00 
2002	821720.00 
2003	825615.00 
2004	826913.00 
2005	807246.00 
2006	743736.00 
2007	727211.00 
2008	694666.00 
2009	665124.00 
2010	674951.00 
2011	621524.00 
2012	619419.00 
2013	604677.00 
2014	590604.00 
2015	596658.00 
2016	592445.00 
