ORIG_NAME	ORIG_NAME_PARENT	ORIG_NAME_GROUP_AREA	ORIG_NAME_GROUP_MAREA	ORIG_NAME_GROUP_LAREA	MPA_PLEVEL_TW	LAW_TW	LAW_TW_CODE	YEAR_ESTABLISH
墾丁國家公園海域生態保護區一	墾丁國家公園海域生態保護區				1	國家公園法	1	1984
墾丁國家公園海域生態保護區二	墾丁國家公園海域生態保護區				1	國家公園法	1	1984
墾丁國家公園海域生態保護區三	墾丁國家公園海域生態保護區				1	國家公園法	1	1984
墾丁國家公園海域生態保護區四	墾丁國家公園海域生態保護區				1	國家公園法	1	1984
墾丁國家公園海域生態保護區	墾丁國家公園	4.7638	4.7638	0	1	國家公園法	1	1984
墾丁國家公園海域特別景觀區一	墾丁國家公園海域特別景觀區				1	國家公園法	1	1984
墾丁國家公園海域特別景觀區二	墾丁國家公園海域特別景觀區				1	國家公園法	1	1984
墾丁國家公園海域特別景觀區三	墾丁國家公園海域特別景觀區				1	國家公園法	1	1984
墾丁國家公園海域特別景觀區	墾丁國家公園	2.0528	2.0528	0	1	國家公園法	1	1984
墾丁國家公園海域遊憩區海底公園一	墾丁國家公園海域遊憩區海底公園				1	國家公園法	1	1984
墾丁國家公園海域遊憩區海底公園二	墾丁國家公園海域遊憩區海底公園				1	國家公園法	1	1984
墾丁國家公園海域遊憩區海底公園三	墾丁國家公園海域遊憩區海底公園				1	國家公園法	1	1984
墾丁國家公園海域遊憩區海底公園四	墾丁國家公園海域遊憩區海底公園				1	國家公園法	1	1984
墾丁國家公園海域遊憩區海底公園	墾丁國家公園	2.8407	2.8407	0	1	國家公園法	1	1984
墾丁國家公園海域遊憩區海上育樂區一	墾丁國家公園海域遊憩區海上育樂區				2	國家公園法	1	1984
墾丁國家公園海域遊憩區海上育樂區二	墾丁國家公園海域遊憩區海上育樂區				2	國家公園法	1	1984
墾丁國家公園海域遊憩區海上育樂區三	墾丁國家公園海域遊憩區海上育樂區				2	國家公園法	1	1984
墾丁國家公園海域遊憩區海上育樂區四	墾丁國家公園海域遊憩區海上育樂區				2	國家公園法	1	1984
墾丁國家公園海域遊憩區海上育樂區五	墾丁國家公園海域遊憩區海上育樂區				2	國家公園法	1	1984
墾丁國家公園海域遊憩區海上育樂區	墾丁國家公園	1.3006	1.3006	0	2	國家公園法	1	1984
墾丁國家公園發電廠海域一般管制區	墾丁國家公園海域一般管制區				3	國家公園法	1	1984
墾丁國家公園其他海域一般管制區	墾丁國家公園				3	國家公園法	1	1984
墾丁國家公園海域一般管制區	墾丁國家公園	141.1029	141.1029	0	3	國家公園法	1	1984
墾丁國家公園		9.6573	9.6573	0	1	國家公園法	1	1984
墾丁國家公園		1.3006	1.3006	0	2	國家公園法	1	1984
墾丁國家公園		141.1029	141.1029	0	3	國家公園法	1	1984
東沙環礁國家公園海域生態保護區	東沙環礁國家公園	576.6053	576.6053	0	1	國家公園法	1	2007
東沙環礁國家公園東沙領海特別景觀區	東沙環礁國家公園海域特別景觀區				2	國家公園法	1	2007
東沙環礁國家公園南北水道及東沙島周邊海域特別景觀區	東沙環礁國家公園海域特別景觀區				2	國家公園法	1	2007
