TYPE,WDPAID,WDPA_PID,PA_DEF,NAME,ORIG_NAME,DESIG,DESIG_ENG,DESIG_TYPE,IUCN_CAT,INT_CRIT,MARINE,REP_M_AREA,GIS_M_AREA,REP_AREA,GIS_AREA,NO_TAKE,NO_TK_AREA,STATUS,STATUS_YR,GOV_TYPE,OWN_TYPE,MANG_AUTH,MANG_PLAN,VERIF,METADATAID,SUB_LOC,PARENT_ISO3,ISO3
Polygon,101778,101778,1,Dadu River Mouth Wildlife Refuge,大肚溪口野生動物保護區,野生動物保護區,Wildlife Refuge,National,IV,Not Applicable,1,0,15.4995940436677,26.697934,26.8210502234943,Not Reported,0,Designated,1995,Federal or national ministry or agency,Not Reported,Forestry Bureau,http://conservation.forest.gov.tw/public/Attachment/341211291271.pdf,State Verified,1877,CN-71,TWN,TWN
Polygon,555594045,555594045,1,Yuli Wildlife Refuge,玉里野生動物保護區,野生動物保護區,Wildlife Refuge,National,IV,Not Applicable,0,0,0,114.123947,114.66954753146,Not Applicable,0,Designated,2000,Federal or national ministry or agency,Not Reported,Forestry Bureau,Not Reported,State Verified,1877,CN-71,TWN,TWN
Polygon,555594044,555594044,1,Yilan County Shuang-lian-pi Wildlife Refuge,宜蘭縣雙連埤野生動物保護區,野生動物保護區,Wildlife Refuge,National,IV,Not Applicable,0,0,0,0.1716,0.20830496552579,Not Applicable,0,Designated,2003,Federal or national ministry or agency,Not Reported,Forestry Bureau,Not Reported,State Verified,1877,CN-71,TWN,TWN
Polygon,555594035,555594035,1,Caomei Wetlands Wildlife Refuge,高美野生動物保護區,野生動物保護區,Wildlife Refuge,National,IV,Not Applicable,1,0,2.16517256813328,7.351669,7.3857242545523,Not Reported,0,Designated,2004,Federal or national ministry or agency,Not Reported,Forestry Bureau,http://conservation.forest.gov.tw/public/Attachment/341211291271.pdf,State Verified,1877,CN-71,TWN,TWN
Polygon,555594042,555594042,1,Taoyuan Gaorong Wildlife Refuge,桃園高榮野生動物保護區,野生動物保護區,Wildlife Refuge,National,IV,Not Applicable,0,0,0,0.011131,0.0111810751052133,Not Applicable,0,Designated,2012,Federal or national ministry or agency,Not Reported,Forestry Bureau,Not Reported,State Verified,1877,CN-71,TWN,TWN
Polygon,555594004,555594004,1,Huaping Islet,花瓶嶼野生動物重要棲息環境,野生動物重要棲息環境,Major Wildlife Habitat,National,IV,Not Applicable,1,0.007451,0.00748276426448182,0.007451,0.00748276658121735,Not Reported,0,Designated,1995,Federal or national ministry or agency,Not Reported,Forestry Bureau,Not Reported,State Verified,1877,CN-71,TWN,TWN
Polygon,555594018,555594018,1,Taichung County Wuling Formosan Landlocked Salmon,台中縣武陵櫻花鉤吻?重要棲息環境,野生動物重要棲息環境,Major Wildlife Habitat,National,IV,Not Applicable,0,0,0,72.217829,72.5516013070143,Not Applicable,0,Designated,1995,Federal or national ministry or agency,Not Reported,Forestry Bureau,Not Reported,State Verified,1877,CN-71,TWN,TWN
Polygon,555594003,555594003,1,Guanyin Coast,觀音海岸野生動物重要棲息環境,野生動物重要棲息環境,Major Wildlife Habitat,National,IV,Not Applicable,0,0,3.8240907435692,5.213494,5.23686701932868,Not Applicable,0,Designated,2000,Federal or national ministry or agency,Not Reported,Forestry Bureau,Not Reported,State Verified,1877,CN-71,TWN,TWN
Polygon,555594002,555594002,1,Guanwu Broad-tailed Swallowtail,觀霧寬尾鳳蝶野生動物重要棲息環境,野生動物重要棲息環境,Major Wildlife Habitat,National,IV,Not Applicable,0,0,0,3.509596,3.52580670134181,Not Applicable,0,Designated,2000,Federal or national ministry or agency,Not Reported,Forestry Bureau,Not Reported,State Verified,1877,CN-71,TWN,TWN
Polygon,555594016,555594016,1,Syue-shan-keng River,雪山坑溪野生動物重要棲息環境,野生動物重要棲息環境,Major Wildlife Habitat,National,IV,Not Applicable,0,0,0,6.72463,6.7559115160266,Not Applicable,0,Designated,2000,Federal or national ministry or agency,Not Reported,Forestry Bureau,Not Reported,State Verified,1877,CN-71,TWN,TWN
Polygon,555594013,555594013,1,Ruei-yan River,瑞岩溪野生動物重要棲息環境,野生動物重要棲息環境,Major Wildlife Habitat,National,IV,Not Applicable,0,0,0,27.573015,27.7019462991077,Not Applicable,0,Designated,2000,Federal or national ministry or agency,Not Reported,Forestry Bureau,Not Reported,State Verified,1877,CN-71,TWN,TWN
Polygon,555594009,555594009,1,Lulinshan,鹿林山野生動物重要棲息環境,野生動物重要棲息環境,Major Wildlife Habitat,National,IV,Not Applicable,0,0,0,4.899754,4.92327206271292,Not Applicable,0,Designated,2000,Federal or national ministry or agency,Not Reported,Forestry Bureau,Not Reported,State Verified,1877,CN-71,TWN,TWN
Polygon,555594005,555594005,1,Jin-shuei-ying,浸水營野生動物重要棲息環境,野生動物重要棲息環境,Major Wildlife Habitat,National,IV,Not Applicable,0,0,0,11.302061,11.3581852230901,Not Applicable,0,Designated,2000,Federal or national ministry or agency,Not Reported,Forestry Bureau,Not Reported,State Verified,1877,CN-71,TWN,TWN
