siteName	longitude	latitude	waterBody
龜山島	121°53'34.4"E	24°51'00.6"N	宜蘭蘇澳沿海 
得子口溪口	121°51'25.2"E	24°50'06.0"N	宜蘭蘇澳沿海 
蘭陽溪口	121°52'11.7"E	24°42'25.6"N	宜蘭蘇澳沿海 
新城溪口	121°51'46.3"E	24°37'56.7"N	宜蘭蘇澳沿海 
蘇澳港	121°53'33.6"E	24°35'31.2"N	宜蘭蘇澳沿海 
基隆港一	121°44'44.9"E	25°10'07.9"N	基隆沿海
基隆港二	121°45'05.9"E	25°10'33.9"N	基隆沿海
基隆拋泥區一	121°44'59.9"E	25°10'32.9"N	基隆沿海
八斗子垃圾場	121°48'07.9"E	25°09'15.9"N	基隆沿海
和平島	121°45'51.9"E	25°10'38.9"N	基隆沿海
員山子分洪道出海口	121°50'08.9"E	25°08'28.9"N	基隆沿海
核四預定地外海	121°56'19.9"E	25°02'40.9"N	臺北沿海
濂洞溪外海	121°51'33.9"E	25°07'59.8"N	臺北沿海
八里污水廠外海一	121°23'37.9"E	25°10'20.9"N	臺北沿海
八里污水廠外海二	121°25'12.0"E	25°13'44.9"N	臺北沿海
林口發電廠	121°18'58.9"E	25°07'39.2"N	臺北沿海
林口發電廠外海	121°17'55.8"E	25°08'02.2"N	臺北沿海
深澳發電廠	121°49'19.9"E	25°08'18.9"N	臺北沿海
深澳發電廠外海	121°49'56.9"E	25°08'01.9"N	臺北沿海
淡水河口外四海浬處	121°22'29.9"E	25°13'48.0"N	臺北沿海
海湖電廠	121°16'07.9"E	25°07'28.7"N	桃園沿海
新南崁溪口	121°15'01.5"E	25°07'34.5"N	桃園沿海
沙崙中油卸油設施一	121°11'39.9"E	25°08'04.2"N	桃園沿海
沙崙中油卸油設施二	121°11'15.5"E	25°07'59.4"N	桃園沿海
觀音溪口	121°03'38.8"E	25°02'59.3"N	桃園沿海
和平溪河口	121°47'03.0"E	24°18'56.2"N	花蓮沿海
和平溪口外四海浬處	121°50'33.6"E	24°18'13.6"N	花蓮沿海
和平港	121°46'54.3"E	24°18'10.6"N	花蓮沿海
立霧溪河口	121°40'34.5"E	24°08'12.1"N	花蓮沿海
花蓮港	121°38'01.5"E	23°58'03.9"N	花蓮沿海
花蓮溪河口	121°37'17.4"E	23°56'46.2"N	花蓮沿海
豐濱溪河口	121°32'34.3"E	23°35'51.9"N	花蓮沿海
秀姑巒溪河口	121°32'02.9"E	23°23'41.0"N	花蓮沿海
金門后江灣外	118°18'50.1"E	24°30'02.3"N	金門沿海
金烈水道南側	118°16'22.7"E	24°25'30.2"N	金門沿海
金門本島東側沿海	118°21'11.0"E	24°24'19.1"N	金門沿海
南竿鄉北部沿海	119°55'47.2"E	26°10'37.6"N	馬祖沿海
馬祖海峽	119°56'30.8"E	26°10'22.5"N	馬祖沿海
北竿東部沿海	119°57'53.2"E	26°10'42.8"N	馬祖沿海
東引沿海東引北部沿海	120°28'33.4"E	26°23'17.9"N	東引沿海
中港溪口一	120°52'47.6"E	24°45'56.8"N	新竹香山沿海
中港溪口二	120°47'48.3"E	24°41'11.9"N	新竹香山沿海
通霄溪口	120°38'42.6"E	24°29'16.2"N	新竹香山沿海
頭前溪口南側	120°54'37.3"E	24°51'35.7"N	新竹香山沿海
鳳山溪北測	120°55'26.2"E	24°50'07.7"N	新竹香山沿海
客雅溪河口外四海浬處	120°51'52.4"E	24°48'43.7"N	新竹香山沿海
