siteName	waterBodyGroup2	waterBodyGroup3
二仁溪口南側	(B) 高屏溪口至曾文溪口間海域	(I) 二仁溪出海口附近
二仁溪口北側	(B) 高屏溪口至曾文溪口	(I) 二仁溪出海口附近
二仁溪口外側	(B) 高屏溪口至曾文溪口	(I) 二仁溪出海口附近
二仁溪口	(B) 高屏溪口至曾文溪口	(I) 二仁溪出海口附近
二仁溪口外4海浬	(B) 高屏溪口至曾文溪口	(I) 二仁溪出海口附近
台中港沿海一	(D) 王功漁港至鼻頭角	(M) 台中港附近
台中港沿海二	(D) 王功漁港至鼻頭角	(M) 台中港附近
頭前溪口南側	(D) 王功漁港至鼻頭角	(N) 竹苗沿海
鳳山溪北側	(D) 王功漁港至鼻頭角	(N) 竹苗沿海
客雅溪河口外4海浬處	(D) 王功漁港至鼻頭角	(N) 竹苗沿海
紅毛港外	(D) 王功漁港至鼻頭角	(N) 竹苗沿海
中港溪口一	(D) 王功漁港至鼻頭角	(N) 竹苗沿海
中港溪口二	(D) 王功漁港至鼻頭角	(N) 竹苗沿海
通霄溪口	(D) 王功漁港至鼻頭角	(N) 竹苗沿海
大安溪口	(D) 王功漁港至鼻頭角	(N) 竹苗沿海
核四預定地外海	(A) 鼻頭角至高屏溪口	(C) 宜蘭沿海
龜山島	(A) 鼻頭角至高屏溪口	(C) 宜蘭沿海
得子口溪口	(A) 鼻頭角至高屏溪口	(C) 宜蘭沿海
蘭陽溪口	(A) 鼻頭角至高屏溪口	(C) 宜蘭沿海
新城溪口	(A) 鼻頭角至高屏溪口	(C) 宜蘭沿海
蘇澳港	(A) 鼻頭角至高屏溪口	(C) 宜蘭沿海
東引北部沿海	(G) 東引海域	(R) 東引島
和平溪河口	(A) 鼻頭角至高屏溪口	(D) 花東沿海
和平溪口外4海浬處	(A) 鼻頭角至高屏溪口	(D) 花東沿海
和平港	(A) 鼻頭角至高屏溪口	(D) 花東沿海
立霧溪河口	(A) 鼻頭角至高屏溪口	(D) 花東沿海
花蓮港	(A) 鼻頭角至高屏溪口	(D) 花東沿海
花蓮溪河口	(A) 鼻頭角至高屏溪口	(D) 花東沿海
豐濱溪河口	(A) 鼻頭角至高屏溪口	(D) 花東沿海
秀姑巒溪河口	(A) 鼻頭角至高屏溪口	(D) 花東沿海
卑南溪河口	(A) 鼻頭角至高屏溪口	(D) 花東沿海
知本溪口	(A) 鼻頭角至高屏溪口	(D) 花東沿海
富岡港外	(A) 鼻頭角至高屏溪口	(D) 花東沿海
成功港外海	(A) 鼻頭角至高屏溪口	(D) 花東沿海
綠島	(A) 鼻頭角至高屏溪口	(D) 花東沿海
卑南溪口外4海浬	(A) 鼻頭角至高屏溪口	(D) 花東沿海
金門后江灣外	(E) 金門海域	(P) 金門
金烈水道南側	(E) 金門海域	(P) 金門
金門本島東側沿海	(E) 金門海域	(P) 金門
核三廠出水口右側	(A) 鼻頭角至高屏溪口	(F) 恆春半島南端
核三廠出水口左側	(A) 鼻頭角至高屏溪口	(F) 恆春半島南端
核三廠入水口	(A) 鼻頭角至高屏溪口	(F) 恆春半島南端
後壁湖漁港	(A) 鼻頭角至高屏溪口	(F) 恆春半島南端
南灣	(A) 鼻頭角至高屏溪口	(F) 恆春半島南端
石牛溪口	(A) 鼻頭角至高屏溪口	(F) 恆春半島南端
南竿鄉北部沿海	(F) 馬祖海域	(Q) 馬祖主島
馬祖海峽	(F) 馬祖海域	(Q) 馬祖主島
北竿東部沿海	(F) 馬祖海域	(Q) 馬祖主島
中芸港外	(B) 高屏溪口至曾文溪口	(G) 高屏溪出海口附近
高屏溪東港溪之間-1	(B) 高屏溪口至曾文溪口	(G) 高屏溪出海口附近
