_海洋保護區或其子區的名稱	_所屬的海洋保護區	_法令依據	_提報機關	_管理機關	_地理圖資的類型	_原始的座標點位	_以Excel統一座標的格式	decimalLatitude	decimalLongitude
蘇澳漁業資源保育區		漁業法	漁業署	宜蘭縣政府	LINK	24°36.635'N;121°51.845'E	24°36.635'N 121°51.845'E	24.6105833333333	121.864083333333
蘇澳漁業資源保育區		漁業法	漁業署	宜蘭縣政府	LINK	24°36.320'N;121°52.764'E	24°36.320'N 121°52.764'E	24.6053333333333	121.8794
頭城漁業資源保育區		漁業法	漁業署	宜蘭縣政府	LINK	24°59.025'N;121°57.957'E	24°59.025'N 121°57.957'E	24.98375	121.96595
頭城漁業資源保育區		漁業法	漁業署	宜蘭縣政府	LINK	24°53.055'N;121°50.834'E	24°53.055'N 121°50.834'E	24.88425	121.847233333333
基隆市水產動植物保育區		漁業法	漁業署	基隆市政府	LINK	25°10.64'N;121°42.05'E	25°10.64'N 121°42.05'E	25.1773333333333	121.700833333333
基隆市水產動植物保育區		漁業法	漁業署	基隆市政府	LINK	25°08.24'N;121°47.81'E	25°08.24'N 121°47.81'E	25.1373333333333	121.796833333333
基隆市望海巷潮境海灣資源保育區		漁業法	漁業署	基隆市政府	POLYGON	25°08'28.28''N；121°48'14.02''E	25°08'28.28sN 121°48'14.02sE	25.1411888888889	121.803894444444
基隆市望海巷潮境海灣資源保育區		漁業法	漁業署	基隆市政府	POLYGON	25°08'48.39''N；121°48'30.72''E	25°08'48.39sN 121°48'30.72sE	25.146775	121.808533333333
基隆市望海巷潮境海灣資源保育區		漁業法	漁業署	基隆市政府	POLYGON	25°08'47.37''N；121°48'20.62''E	25°08'47.37sN 121°48'20.62sE	25.1464916666667	121.805727777778
基隆市望海巷潮境海灣資源保育區		漁業法	漁業署	基隆市政府	POLYGON	25°08'29.60''N；121°48'6.89''E	25°08'29.60sN 121°48'6.89sE	25.1415555555556	121.801913888889
貢寮水產動植物繁殖保育區		漁業法	漁業署	新北市政府	POLYGON	25°1'16.33''N 121°59'22.19''E	25°1'16.33sN 121°59'22.19sE	25.0212027777778	121.989497222222
貢寮水產動植物繁殖保育區		漁業法	漁業署	新北市政府	POLYGON	25°1'25.62''N 121°59'26.59''E	25°1'25.62sN 121°59'26.59sE	25.0237833333333	121.990719444444
貢寮水產動植物繁殖保育區		漁業法	漁業署	新北市政府	POLYGON	25°1'17.65''N 122°0'0.67''E	25°1'17.65sN 122°0'0.67sE	25.0215694444444	122.000186111111
貢寮水產動植物繁殖保育區		漁業法	漁業署	新北市政府	POLYGON	25°1'9.55''N 121°59'51.15''E	25°1'9.55sN 121°59'51.15sE	25.0193194444445	121.997541666667
萬里水產動植物繁殖保育區		漁業法	漁業署	新北市政府	POLYGON	25°12'20.41''N 121°40'40.87''E	25°12'20.41sN 121°40'40.87sE	25.2056694444444	121.678019444444
萬里水產動植物繁殖保育區		漁業法	漁業署	新北市政府	POLYGON	25°13'28.28''N 121°42'15.79''E	25°13'28.28sN 121°42'15.79sE	25.2245222222222	121.704386111111
萬里水產動植物繁殖保育區		漁業法	漁業署	新北市政府	POLYGON	25°12'54.76''N 121°42'40.15''E	25°12'54.76sN 121°42'40.15sE	25.2152111111111	121.711152777778
萬里水產動植物繁殖保育區		漁業法	漁業署	新北市政府	POLYGON	25°12'12.53''N 121°41'39.27''E	25°12'12.53sN 121°41'39.27sE	25.2034805555556	121.694241666667
瑞芳保育區		漁業法	漁業署	新北市政府	POLYGON	25°8'3.776''N 121°48'51.502''E	25°8'3.776sN 121°48'51.502sE	25.1343822222222	121.814306111111
瑞芳保育區		漁業法	漁業署	新北市政府	POLYGON	25°8'22.678''N 121°48'51.502''E	25°8'22.678sN 121°48'51.502sE	25.1396327777778	121.814306111111
瑞芳保育區		漁業法	漁業署	新北市政府	POLYGON	25°8'22.678''N 121°49'52.744''E	25°8'22.678sN 121°49'52.744sE	25.1396327777778	121.831317777778
瑞芳保育區		漁業法	漁業署	新北市政府	POLYGON	25°7'51.35''N 121°49'52.744''E	25°7'51.35sN 121°49'52.744sE	25.1309305555556	121.831317777778
瑞芳保育區		漁業法	漁業署	新北市政府	POLYGON	25°7'51.35''N 121°48'35.137''E	25°7'51.35sN 121°48'35.137sE	25.1309305555556	121.809760277778
瑞芳保育區		漁業法	漁業署	新北市政府	POLYGON	25°7'55.172''N 121°49'26.307''E	25°7'55.172sN 121°49'26.307sE	25.1319922222222	121.823974166667
灣瓦海瓜子繁殖保育區		漁業法	漁業署	苗栗縣政府	POLYGON	"24°36'16""""N;120°43'23""""E"	24°36'16sN 120°43'23sE	24.6044444444444	120.723055555556
灣瓦海瓜子繁殖保育區		漁業法	漁業署	苗栗縣政府	POLYGON	"24°36'08""""N;120°43'18""""E"	24°36'08sN 120°43'18sE	24.6022222222222	120.721666666667
灣瓦海瓜子繁殖保育區		漁業法	漁業署	苗栗縣政府	POLYGON	"24°36'08""""N;120°43'14""""E"	24°36'08sN 120°43'14sE	24.6022222222222	120.720555555556
灣瓦海瓜子繁殖保育區		漁業法	漁業署	苗栗縣政府	POLYGON	"24°36'16""""N;120°43'20""""E"	24°36'16sN 120°43'20sE	24.6044444444444	120.722222222222
伸港螻蛄蝦繁殖保育區		漁業法	漁業署	彰化縣政府	POLYGON	"24°10'08""""N;120°27'43""""E"	24°10'08sN 120°27'43sE	24.1688888888889	120.461944444444
伸港螻蛄蝦繁殖保育區		漁業法	漁業署	彰化縣政府	POLYGON	"24°10'08""""N;120°27'22""""E"	24°10'08sN 120°27'22sE	24.1688888888889	120.456111111111
伸港螻蛄蝦繁殖保育區		漁業法	漁業署	彰化縣政府	POLYGON	"24°09'47""""N;120°27'08""""E"	24°09'47sN 120°27'08sE	24.1630555555556	120.452222222222
伸港螻蛄蝦繁殖保育區		漁業法	漁業署	彰化縣政府	POLYGON	"24°09'47""""N;120°27'29""""E"	24°09'47sN 120°27'29sE	24.1630555555556	120.458055555556
伸港(二)螻蛄蝦繁殖保育區		漁業法	漁業署	彰化縣政府	POLYGON	"24°10'24.15""""N 120°27'17.14""""E"	24°10'24.15sN 120°27'17.14sE	24.173375	120.454761111111
伸港(二)螻蛄蝦繁殖保育區		漁業法	漁業署	彰化縣政府	POLYGON	"24°10'22.11""""N 120°27'23.88""""E"	24°10'22.11sN 120°27'23.88sE	24.1728083333333	120.456633333333
伸港(二)螻蛄蝦繁殖保育區		漁業法	漁業署	彰化縣政府	POLYGON	"24°10'55.85""""N 120°27'32.05""""E"	24°10'55.85sN 120°27'32.05sE	24.1821805555556	120.458902777778
伸港(二)螻蛄蝦繁殖保育區		漁業法	漁業署	彰化縣政府	POLYGON	"24°10'58.27""""N 120°27'23.55""""E"	24°10'58.27sN 120°27'23.55sE	24.1828527777778	120.456541666667
王功螻蛄蝦繁殖保育區		漁業法	漁業署	彰化縣政府	POLYGON	"23°58'08.31""""N 120°19'05.14""""E"	23°58'08.31sN 120°19'05.14sE	23.968975	120.318094444444
王功螻蛄蝦繁殖保育區		漁業法	漁業署	彰化縣政府	POLYGON	"23°58'11.30""""N 120°19'19.73""""E"	23°58'11.30sN 120°19'19.73sE	23.9698055555556	120.322147222222
王功螻蛄蝦繁殖保育區		漁業法	漁業署	彰化縣政府	POLYGON	"23°57'28.82""""N 120°18'34.78""""E"	23°57'28.82sN 120°18'34.78sE	23.9580055555556	120.309661111111
王功螻蛄蝦繁殖保育區		漁業法	漁業署	彰化縣政府	POLYGON	"23°57'23.93""""N 120°18'40.04""""E"	23°57'23.93sN 120°18'40.04sE	23.9566472222222	120.311122222222
