採樣分區,測站名稱,水體分類等級,採樣日期,測站編號,水溫,酸鹼值,濁度,氣溫,溶氧(電極法),氨氮,硝酸鹽氮,亞硝酸鹽氮,鹽度,矽酸鹽,溶氧(滴定法),溶氧飽和度,正磷酸鹽,大腸桿菌群,腸球菌群,備註
,,,,,℃,,NTU,℃,mg/L,mg/L,mg/L,mg/L,psu,mg/L,mg/L,%,mg/L,CFU/100mL,MPN/100mL
新金山海水浴場,新金山海水浴場右,乙,2002/9/23 下午 01:04:00,6023,28.1,7.2,8.7,--,--,--,<0.05,0.005,33.8,1.42,--,--,<0.008,70,42
新金山海水浴場,新金山海水浴場中,乙,2002/9/23 下午 12:57:00,6022,28.1,7.2,8.4,--,--,--,<0.05,0.006,33.8,1.4,--,--,0.025,130,31
新金山海水浴場,新金山海水浴場左,乙,2002/9/23 下午 12:52:00,6021,28,7.2,9.2,--,--,--,0.05,0.005,33.6,1.5,--,--,0.018,90,53
崎頂海水浴場,崎頂海水浴場右,乙,2002/9/23 下午 12:18:00,6033,26.1,8.1,50,--,--,--,0.17,0.035,33.8,1.77,--,--,0.18,4900,20
崎頂海水浴場,崎頂海水浴場中,乙,2002/9/23 上午 11:55:00,6032,26.2,8.1,50,--,--,--,0.25,0.034,33.9,1.23,--,--,0.223,3900,111
崎頂海水浴場,崎頂海水浴場左,乙,2002/9/23 上午 11:40:00,6031,26.1,8.1,50,--,--,--,0.3,0.036,33.9,0.916,--,--,0.193,4000,64
福隆海水浴場,福隆海水浴場右,乙,2002/9/23 上午 10:46:00,6013,27.9,7.3,6.8,--,--,--,<0.05,0.003,19.4,1.7,--,--,0.008,2200,53
通霄海水浴場,通霄海水浴場右,乙,2002/9/23 上午 10:45:00,6043,25.6,8.1,130,--,--,--,0.19,0.028,32.7,1.63,--,--,0.066,100,99
福隆海水浴場,福隆海水浴場中,乙,2002/9/23 上午 10:40:00,6012,27.8,7.3,3.9,--,--,--,<0.05,0.005,19.3,1.46,--,--,0.011,1900,20
福隆海水浴場,福隆海水浴場左,乙,2002/9/23 上午 10:36:00,6011,27.9,7.2,3,--,--,--,<0.05,0.002,19.2,1.12,--,--,0.013,3200,99
通霄海水浴場,通霄海水浴場中,乙,2002/9/23 上午 10:30:00,6042,25.6,8.1,140,--,--,--,0.18,0.027,32.7,1.62,--,--,0.055,500,150
通霄海水浴場,通霄海水浴場左,乙,2002/9/23 上午 10:15:00,6041,25.4,8.1,140,--,--,--,0.24,0.03,32.8,1.42,--,--,0.074,350,42
旗津海水浴場,旗津海水浴場右,乙,2002/9/23 上午 09:15:00,6083,30.1,8.1,4.7,--,--,--,<0.05,0.002,33,0.19,--,--,<0.008,10,20
旗津海水浴場,旗津海水浴場中,乙,2002/9/23 上午 08:57:00,6082,30,8.1,7.1,--,--,--,<0.05,0.002,32.9,0.13,--,--,<0.008,<10,<10
大安海水浴場,大安海水浴場右,乙,2002/9/23 上午 08:47:00,6053,24.5,8,110,--,--,--,0.17,0.032,33.7,1.2,--,--,0.031,350,150
旗津海水浴場,旗津海水浴場左,乙,2002/9/23 上午 08:45:00,6081,30,8.1,5.7,--,--,--,<0.05,0.002,33,0.13,--,--,<0.008,5,<10
大安海水浴場,大安海水浴場中,乙,2002/9/23 上午 08:32:00,6052,24.6,8,110,--,--,--,0.2,0.028,33.8,1.57,--,--,0.06,750,99
大安海水浴場,大安海水浴場左,乙,2002/9/23 上午 08:21:00,6051,24.8,8.1,110,--,--,--,0.16,0.033,33.8,1.6,--,--,0.045,600,164
黃金海岸休憩海域,黃金海岸休憩海域左,乙,2002/9/23 上午 07:50:00,6071,32.9,8.2,4.4,--,--,--,<0.05,0.001,32.9,0.13,--,--,0.015,590,20
黃金海岸休憩海域,黃金海岸休憩海域中,乙,2002/9/23 上午 07:45:00,6072,32.9,8.2,1.5,--,--,--,<0.05,0.002,32.9,0.06,--,--,0.01,65,10
黃金海岸休憩海域,黃金海岸休憩海域右,乙,2002/9/23 上午 07:37:00,6073,32.9,8.1,3.7,--,--,--,<0.05,0.001,32.9,0.1,--,--,<0.008,20,<10
馬沙溝海水浴場,馬沙溝海水浴場左,甲,2002/9/23 上午 06:22:00,6061,26.8,8,15,--,--,--,0.06,0.016,32.6,0.29,--,--,0.037,20,271
馬沙溝海水浴場,馬沙溝海水浴場中,甲,2002/9/23 上午 06:16:00,6062,26.8,8,14,--,--,--,<0.05,0.015,32.6,0.27,--,--,0.033,<10,87
馬沙溝海水浴場,馬沙溝海水浴場右,甲,2002/9/23 上午 06:10:00,6063,26.6,8,16,--,--,--,0.05,0.016,32.6,0.34,--,--,0.041,50,111
墾丁跳石休憩海岸,墾丁跳石(南灣休憩區海岸)休憩海域右,甲,2002/9/23 上午 05:58:00,6093,26.9,8.1,11,--,--,--,<0.05,0.002,33.4,0.17,--,--,<0.008,370,31
墾丁跳石休憩海岸,墾丁跳石(南灣休憩區海岸)休憩海域中,甲,2002/9/23 上午 05:50:00,6092,26.8,8.1,14,--,--,--,<0.05,0.002,33.1,0.19,--,--,<0.008,430,42
墾丁跳石休憩海岸,墾丁跳石(南灣休憩區海岸)休憩海域左,甲,2002/9/23 上午 05:35:00,6091,26.9,8.1,9.3,--,--,--,<0.05,0.005,33.3,0.19,--,--,<0.008,250,87
杉原海水浴場,杉原海水浴場右,甲,2002/9/22 下午 05:59:00,6103,28.2,8.1,6.8,--,--,--,0.06,0.003,34.5,0.13,--,--,0.012,10,<10
杉原海水浴場,杉原海水浴場中,甲,2002/9/22 下午 05:45:00,6102,28.2,8.1,12,--,--,--,<0.05,0.003,34.3,0.11,--,--,0.017,5,<10
杉原海水浴場,杉原海水浴場左,甲,2002/9/22 下午 05:30:00,6101,28.2,8.1,11,--,--,--,<0.05,0.003,34.3,0.15,--,--,0.012,<10,<10
杉原海水浴場,杉原海水浴場右,甲,2002/9/9 下午 05:20:00,6103,27.8,8.15,26,--,--,--,<0.05,<0.001,34.2,0.23,--,--,<0.008,5,10
杉原海水浴場,杉原海水浴場中,甲,2002/9/9 下午 05:12:00,6102,27.8,8.14,27,--,--,--,<0.05,0.001,34.2,0.2,--,--,<0.008,<10,10
杉原海水浴場,杉原海水浴場左,甲,2002/9/9 下午 05:05:00,6101,27.8,8.14,20,--,--,--,<0.05,0.001,34.2,0.23,--,--,<0.008,<10,<10
黃金海岸休憩海域,黃金海岸休憩海域右,乙,2002/9/9 下午 04:45:00,6073,30.3,8.2,11,--,--,--,<0.05,<0.001,33.7,0.15,--,--,<0.008,<10,20
黃金海岸休憩海域,黃金海岸休憩海域中,乙,2002/9/9 下午 04:25:00,6072,30.2,8.21,13,--,--,--,<0.05,<0.001,33.6,0.15,--,--,<0.008,10,10
黃金海岸休憩海域,黃金海岸休憩海域左,乙,2002/9/9 下午 04:10:00,6071,30.4,8.19,10,--,--,--,<0.05,0.001,33.6,0.15,--,--,<0.008,10,<10
馬沙溝海水浴場,馬沙溝海水浴場右,甲,2002/9/9 下午 03:30:00,6063,31.3,8.17,11,--,--,--,<0.05,<0.001,33.5,0.15,--,--,<0.008,<10,<10
馬沙溝海水浴場,馬沙溝海水浴場中,甲,2002/9/9 下午 03:15:00,6062,31.3,8.16,9.7,--,--,--,<0.05,<0.001,33.5,0.18,--,--,<0.008,25,20
馬沙溝海水浴場,馬沙溝海水浴場左,甲,2002/9/9 下午 02:50:00,6061,31.5,8.17,4.6,--,--,--,0.09,0.002,33.5,0.2,--,--,<0.008,10,31
墾丁跳石休憩海岸,墾丁跳石(南灣休憩區海岸)休憩海域右,甲,2002/9/9 下午 02:05:00,6093,29.9,8.12,16,--,--,--,<0.05,<0.001,33.9,0.25,--,--,<0.008,50,42
墾丁跳石休憩海岸,墾丁跳石(南灣休憩區海岸)休憩海域中,甲,2002/9/9 下午 01:55:00,6092,29.8,8.12,12,--,--,--,<0.05,0.001,33.9,0.18,--,--,<0.008,290,87
