採樣分區,測站名稱,水體分類等級,採樣日期,測站編號,採樣深度,氣溫,水溫,鹽度,酸鹼值,溶氧(滴定法),溶氧(電極法),溶氧飽和度,懸浮固體,葉綠素a,氨氮,硝酸鹽氮,正磷酸鹽,亞硝酸鹽氮,矽酸鹽,鎘,鉻,銅,鋅,鉛,汞,備註
,,,,,m,℃,℃,psu,,mg/L,mg/L,%,mg/L,μg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,
基隆沿海海域,基隆港一,乙,2005/8/8 下午 02:30:00,5123,0.5,31.1,27.9,32.9,8.2,5.8,5.8,89,4.2,1,0.06,0.04,0.009,0.009,<0.05,0.000033,<0.0010,0.0004,0.0012,<0.000200,0.0005,
基隆沿海海域,基隆港二,乙,2005/8/8 下午 03:10:00,5124,0.5,30.7,27.6,33,8.2,5.9,5.8,89.2,<2.0,1,0.09,0.05,0.008,0.008,<0.05,<0.00001,<0.0010,<0.0001,<0.0002,<0.0002,0.0005,
基隆沿海海域,基隆拋泥區一,乙,2005/8/8 下午 01:40:00,5125,0.5,31,28.1,32.9,8.2,6.1,5.9,90.6,2.2,0.8,0.05,0.04,0.008,0.009,<0.05,0.000031,<0.0010,0.0005,0.0036,<0.0002,0.0005,
基隆沿海海域,八斗子垃圾場,乙,2005/8/8 上午 11:50:00,5126,0.5,33,28.4,32.9,8.1,5.7,5.8,90,<2.0,1.1,0.05,0.04,0.006,0.009,<0.05,0.000076,<0.0010,0.001,0.0043,<0.0002,0.0004,
基隆沿海海域,和平島,乙,2005/8/8 下午 12:40:00,5127,0.5,31.4,28,32.8,8.2,6,5.8,89.3,<2.0,0.7,0.12,0.05,0.007,0.009,<0.05,0.000054,<0.0010,0.0005,0.004,<0.0002,0.0005,
台北沿海海域(甲),核四預定地外海,甲,2005/8/8 上午 07:40:00,5128,0.5,32.3,27.9,32.3,8,5.1,5,75.9,<2.0,1.6,0.06,0.01,<0.004,0.006,0.06,0.000088,<0.0010,0.0093,0.0048,<0.0002,0.0004,
台北沿海海域(乙),濂洞溪外海,乙,2005/8/8 上午 08:10:00,5129,0.5,31.4,28,32.4,8,4.6,4.5,67.5,3.2,0.2,0.06,0.05,0.006,0.009,0.36,0.000182,<0.0010,0.005,0.005,<0.0002,0.0005,
台北沿海海域(乙),八里污水廠外海一,乙,2005/8/8 下午 04:40:00,5130,0.5,29.7,29.6,31.7,8.1,5.9,5.9,92.2,7.4,0.3,0.07,0.08,0.024,0.01,0.17,0.00006,<0.0010,0.0012,0.007,0.000201,0.0003,
台北沿海海域(乙),八里污水廠外海二,乙,2005/8/8 下午 05:50:00,5131,0.5,29.6,29.7,30.6,8.1,5.8,6,94,16.4,0.4,0.06,0.06,0.03,0.006,0.33,0.00004,<0.0010,0.0006,0.0025,<0.0002,<0.0003,
台北沿海海域(乙),林口發電廠外海,乙,2005/8/9 上午 08:30:00,5132,0.5,29.4,28.9,31.3,8.1,5.8,5.7,88.3,7.8,0.8,0.07,0.11,0.028,0.012,1.09,0.000059,<0.0010,0.0011,0.0023,<0.0002,<0.0003,
台北沿海海域(乙),深澳發電廠外海,乙,2005/8/8 上午 09:50:00,5133,0.5,31.9,28.4,32.8,8.1,5.2,5.6,85.5,<2.0,1.1,0.05,0.04,0.006,0.009,<0.05,0.000092,<0.0010,0.0012,0.003,<0.0002,0.0004,
台北沿海海域(乙),淡水河口外4海浬處,乙,2005/8/8 下午 05:10:00,5134,0.5,30.1,29.6,30.9,8.1,6.3,6.1,95.1,4.3,0.3,0.07,0.09,0.095,0.004,0.36,0.000042,<0.0010,0.0007,0.0025,<0.0002,0.0005,
台北沿海海域(乙),林口發電廠,乙,2005/8/9 上午 08:00:00,5135,0.5,29.3,29,30.9,8.1,6.6,6.5,99.8,7.6,0.9,0.18,0.08,0.03,0.011,1.22,0.00006,<0.0010,0.0017,0.0033,<0.0002,<0.0003,
台北沿海海域(乙),深澳發電廠,乙,2005/8/8 上午 10:30:00,5136,0.5,32.1,30.8,33,8.1,5.7,5.6,89.6,<2.0,1,0.11,0.07,0.006,0.012,<0.05,0.000036,<0.0010,0.0006,0.0028,<0.0002,0.0005,
桃園沿海海域,海湖電廠,乙,2005/8/9 上午 09:00:00,5137,0.5,29.6,31.3,31.4,8.1,5.9,5.5,88.6,11.1,0.9,0.26,0.1,0.038,0.018,1.26,0.000048,<0.0010,0.0044,0.0029,<0.0002,<0.0003,
桃園沿海海域,新南崁溪口,乙,2005/8/9 上午 09:30:00,5138,0.5,30,29.3,31.1,8.1,6.2,6.2,96.7,44.2,0.6,0.13,0.42,0.049,0.019,0.45,0.000052,0.001,0.0024,0.0038,<0.0002,<0.0003,
桃園沿海海域,沙崙中油卸油設施一,乙,2005/8/9 上午 10:00:00,5139,0.5,29.1,29,28.2,8.1,6,6.5,98.2,6.6,1.5,0.04,0.19,0.072,0.024,2.56,0.000069,0.0014,0.009,0.0031,<0.0002,<0.0003,
桃園沿海海域,沙崙中油卸油設施二,乙,2005/8/9 上午 10:30:00,5140,0.5,30.1,29.3,30.1,8.1,6.3,6.4,99.7,3.5,1.6,0.06,0.06,0.037,0.008,1.3,0.000079,0.0011,0.0045,0.0039,<0.0002,<0.0003,
