採樣分區,測站名稱,水體分類等級,採樣日期,測站編號,採樣深度,氣溫,水溫,鹽度,酸鹼值,溶氧(滴定法),溶氧(電極法),溶氧飽和度,懸浮固體,葉綠素a,氨氮,硝酸鹽氮,正磷酸鹽,亞硝酸鹽氮,矽酸鹽,鎘,鉻,銅,鋅,鉛,汞,備註
,,,,,m,℃,℃,psu,,mg/L,mg/L,%,mg/L,μg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L
基隆沿海海域,基隆港一,乙,2015/11/12 上午 10:12:00,5123,1.0,22.2,21.7,34.3,8.1,--,6.2,85.1,4.7,--,--,--,--,--,--,0.00002,--,0.0004,0.0023,<0.0001,<0.0003
基隆沿海海域,基隆港一,乙,2015/8/12 上午 10:15:00,5123,1.0,33.5,27.6,34.1,8.1,--,6.7,103.2,2.4,--,--,--,--,--,--,0.00004,--,0.0004,0.0022,0.0001,<0.0003
基隆沿海海域,基隆港一,乙,2015/5/13 上午 10:28:00,5123,1.0,25.7,24.8,35.6,8.1,--,6.3,92.8,19.5,--,--,--,--,--,--,0.00003,--,0.0005,0.0015,0.0002,<0.0003
基隆沿海海域,基隆港一,乙,2015/1/20 上午 11:00:00,5123,1.0,17.0,17.7,36.1,8.1,--,6.3,82.1,8.6,0.3,0.01,0.10,0.054,0.002,0.606,0.00003,<0.001,0.0004,0.0050,0.0002,<0.0003
基隆沿海海域,基隆港二,乙,2015/11/12 上午 09:59:00,5124,1.0,22.4,21.2,34.2,8.1,--,6.6,89.6,4.9,--,--,--,--,--,--,0.00001,--,0.0003,0.0013,<0.0001,<0.0003
基隆沿海海域,基隆港二,乙,2015/8/12 上午 09:59:00,5124,1.0,33.3,27.1,33.7,8.1,--,6.4,97.4,3.7,--,--,--,--,--,--,0.00001,--,0.0004,0.0310,<0.0001,<0.0003
基隆沿海海域,基隆港二,乙,2015/5/13 上午 10:15:00,5124,1.0,25.8,25.1,35.5,8.1,--,6.2,93.8,7.0,--,--,--,--,--,--,0.00001,--,0.0003,0.0012,0.0001,<0.0003
基隆沿海海域,基隆港二,乙,2015/1/20 上午 10:46:00,5124,1.0,17.1,17.7,36.0,8.3,--,6.3,81.1,11.6,0.3,<0.01,0.10,0.054,0.002,0.590,0.00003,<0.001,0.0005,0.0048,0.0001,<0.0003
基隆沿海海域,基隆拋泥區一,乙,2015/11/12 上午 09:45:00,5125,1.0,22.7,21.7,34.4,8.2,--,6.2,84.7,5.9,--,--,--,--,--,--,0.00001,--,0.0004,0.0014,0.0002,<0.0003
基隆沿海海域,基隆拋泥區一,乙,2015/8/12 上午 09:46:00,5125,1.0,33.4,27.4,34.1,8.1,--,6.5,99.7,3.5,--,--,--,--,--,--,0.00001,--,0.0003,0.0023,<0.0001,<0.0003
基隆沿海海域,基隆拋泥區一,乙,2015/5/13 上午 10:03:00,5125,1.0,25.6,24.8,35.7,8.1,--,6.2,91.7,12.5,--,--,--,--,--,--,0.00001,--,0.0004,0.0015,0.0001,<0.0003
基隆沿海海域,基隆拋泥區一,乙,2015/1/20 上午 10:32:00,5125,1.0,17.2,17.8,36.0,8.2,--,6.5,84.5,8.5,0.3,<0.01,0.11,0.048,0.002,0.556,0.00002,<0.001,0.0005,0.0034,0.0001,<0.0003
基隆沿海海域,八斗子垃圾場,乙,2015/11/12 上午 09:12:00,5126,1.0,21.9,21.3,34.0,8.1,--,6.3,85.8,6.0,--,--,--,--,--,--,0.00002,--,0.0005,0.0020,0.0001,<0.0003
基隆沿海海域,八斗子垃圾場,乙,2015/8/12 上午 09:05:00,5126,1.0,32.7,26.8,34.4,8.1,--,6.3,95.4,3.6,--,--,--,--,--,--,0.00001,--,0.0003,0.0037,<0.0001,<0.0003
基隆沿海海域,八斗子垃圾場,乙,2015/5/13 上午 09:29:00,5126,1.0,25.1,24.7,35.3,8.1,--,6.1,88.3,21.8,--,--,--,--,--,--,0.00001,--,0.0004,0.0036,0.0001,<0.0003
基隆沿海海域,八斗子垃圾場,乙,2015/1/20 上午 09:48:00,5126,1.0,17.4,17.7,36.0,8.1,--,6.9,89.5,7.8,0.3,0.01,0.11,0.053,0.002,0.603,0.00004,<0.001,0.0007,0.0036,0.0003,<0.0003
基隆沿海海域,和平島,乙,2015/11/12 上午 09:33:00,5127,1.0,22.1,21.6,34.3,8.1,--,6.3,86.2,6.1,--,--,--,--,--,--,0.00001,--,0.0003,0.0014,<0.0001,<0.0003
基隆沿海海域,和平島,乙,2015/8/12 上午 09:31:00,5127,1.0,33.0,27.2,34.2,8.1,--,6.5,98.6,3.0,--,--,--,--,--,--,0.00001,--,0.0005,0.0026,<0.0001,<0.0003
