$海洋保護區或其子區的名稱	$所屬的海洋保護區	$法令依據	$提報機關	$管理機關	$地理圖資的類型	$原始的座標點位	$以Excel統一座標的格式
蘇澳漁業資源保育區	NA	漁業法	漁業署	宜蘭縣政府	LINE	24°36.635'N;121°51.845'E	24°36.635'N 121°51.845'E
蘇澳漁業資源保育區	NA	漁業法	漁業署	宜蘭縣政府	LINE	24°36.320'N;121°52.764'E	24°36.320'N 121°52.764'E
頭城漁業資源保育區	NA	漁業法	漁業署	宜蘭縣政府	LINE	24°59.025'N;121°57.957'E	24°59.025'N 121°57.957'E
頭城漁業資源保育區	NA	漁業法	漁業署	宜蘭縣政府	LINE	24°53.055'N;121°50.834'E	24°53.055'N 121°50.834'E
基隆市水產動植物保育區	NA	漁業法	漁業署	基隆市政府	LINE	25°10.64'N;121°42.05'E	25°10.64'N 121°42.05'E
基隆市水產動植物保育區	NA	漁業法	漁業署	基隆市政府	LINE	25°08.24'N;121°47.81'E	25°08.24'N 121°47.81'E
基隆市望海巷潮境海灣資源保育區	NA	漁業法	漁業署	基隆市政府	POLYGON	25°08'28.28''N；121°48'14.02''E	25°08'28.28''N 121°48'14.02''E
基隆市望海巷潮境海灣資源保育區	NA	漁業法	漁業署	基隆市政府	POLYGON	25°08'48.39''N；121°48'30.72''E	25°08'48.39''N 121°48'30.72''E
基隆市望海巷潮境海灣資源保育區	NA	漁業法	漁業署	基隆市政府	POLYGON	25°08'47.37''N；121°48'20.62''E	25°08'47.37''N 121°48'20.62''E
基隆市望海巷潮境海灣資源保育區	NA	漁業法	漁業署	基隆市政府	POLYGON	25°08'29.60''N；121°48'6.89''E	25°08'29.60''N 121°48'6.89''E
貢寮水產動植物繁殖保育區	NA	漁業法	漁業署	新北市政府	POLYGON	25°1'16.33''N 121°59'22.19''E	25°1'16.33''N 121°59'22.19''E
貢寮水產動植物繁殖保育區	NA	漁業法	漁業署	新北市政府	POLYGON	25°1'25.62''N 121°59'26.59''E	25°1'25.62''N 121°59'26.59''E
貢寮水產動植物繁殖保育區	NA	漁業法	漁業署	新北市政府	POLYGON	25°1'17.65''N 122°0'0.67''E	25°1'17.65''N 122°0'0.67''E
貢寮水產動植物繁殖保育區	NA	漁業法	漁業署	新北市政府	POLYGON	25°1'9.55''N 121°59'51.15''E	25°1'9.55''N 121°59'51.15''E
萬里水產動植物繁殖保育區	NA	漁業法	漁業署	新北市政府	POLYGON	25°12'20.41''N 121°40'40.87''E	25°12'20.41''N 121°40'40.87''E
萬里水產動植物繁殖保育區	NA	漁業法	漁業署	新北市政府	POLYGON	25°13'28.28''N 121°42'15.79''E	25°13'28.28''N 121°42'15.79''E
萬里水產動植物繁殖保育區	NA	漁業法	漁業署	新北市政府	POLYGON	25°12'54.76''N 121°42'40.15''E	25°12'54.76''N 121°42'40.15''E
萬里水產動植物繁殖保育區	NA	漁業法	漁業署	新北市政府	POLYGON	25°12'12.53''N 121°41'39.27''E	25°12'12.53''N 121°41'39.27''E
瑞芳保育區	NA	漁業法	漁業署	新北市政府	POLYGON	25°8'3.776''N 121°48'51.502''E	25°8'3.776''N 121°48'51.502''E
瑞芳保育區	NA	漁業法	漁業署	新北市政府	POLYGON	25°8'22.678''N 121°48'51.502''E	25°8'22.678''N 121°48'51.502''E
瑞芳保育區	NA	漁業法	漁業署	新北市政府	POLYGON	25°8'22.678''N 121°49'52.744''E	25°8'22.678''N 121°49'52.744''E
瑞芳保育區	NA	漁業法	漁業署	新北市政府	POLYGON	25°7'51.35''N 121°49'52.744''E	25°7'51.35''N 121°49'52.744''E
瑞芳保育區	NA	漁業法	漁業署	新北市政府	POLYGON	25°7'51.35''N 121°48'35.137''E	25°7'51.35''N 121°48'35.137''E
瑞芳保育區	NA	漁業法	漁業署	新北市政府	POLYGON	25°7'55.172''N 121°49'26.307''E	25°7'55.172''N 121°49'26.307''E
灣瓦海瓜子繁殖保育區	NA	漁業法	漁業署	苗栗縣政府	POLYGON	"24°36'16""N;120°43'23""E"	"24°36'16""N 120°43'23""E"
灣瓦海瓜子繁殖保育區	NA	漁業法	漁業署	苗栗縣政府	POLYGON	"24°36'08""N;120°43'18""E"	"24°36'08""N 120°43'18""E"
灣瓦海瓜子繁殖保育區	NA	漁業法	漁業署	苗栗縣政府	POLYGON	"24°36'08""N;120°43'14""E"	"24°36'08""N 120°43'14""E"
灣瓦海瓜子繁殖保育區	NA	漁業法	漁業署	苗栗縣政府	POLYGON	"24°36'16""N;120°43'20""E"	"24°36'16""N 120°43'20""E"
伸港螻蛄蝦繁殖保育區	NA	漁業法	漁業署	彰化縣政府	POLYGON	"24°10'08""N;120°27'43""E"	"24°10'08""N 120°27'43""E"
伸港螻蛄蝦繁殖保育區	NA	漁業法	漁業署	彰化縣政府	POLYGON	"24°10'08""N;120°27'22""E"	"24°10'08""N 120°27'22""E"
伸港螻蛄蝦繁殖保育區	NA	漁業法	漁業署	彰化縣政府	POLYGON	"24°09'47""N;120°27'08""E"	"24°09'47""N 120°27'08""E"
伸港螻蛄蝦繁殖保育區	NA	漁業法	漁業署	彰化縣政府	POLYGON	"24°09'47""N;120°27'29""E"	"24°09'47""N 120°27'29""E"
伸港(二)螻蛄蝦繁殖保育區	NA	漁業法	漁業署	彰化縣政府	POLYGON	"24°10'24.15""N 120°27'17.14""E"	"24°10'24.15""N 120°27'17.14""E"
伸港(二)螻蛄蝦繁殖保育區	NA	漁業法	漁業署	彰化縣政府	POLYGON	"24°10'22.11""N 120°27'23.88""E"	"24°10'22.11""N 120°27'23.88""E"
伸港(二)螻蛄蝦繁殖保育區	NA	漁業法	漁業署	彰化縣政府	POLYGON	"24°10'55.85""N 120°27'32.05""E"	"24°10'55.85""N 120°27'32.05""E"
伸港(二)螻蛄蝦繁殖保育區	NA	漁業法	漁業署	彰化縣政府	POLYGON	"24°10'58.27""N 120°27'23.55""E"	"24°10'58.27""N 120°27'23.55""E"
王功螻蛄蝦繁殖保育區	NA	漁業法	漁業署	彰化縣政府	POLYGON	"23°58'08.31""N 120°19'05.14""E"	"23°58'08.31""N 120°19'05.14""E"
