指標編碼  指標名稱
I.01,沿近海漁業別漁獲量
I.02,沿近海魚種單位努力漁獲量
I.03,定置網漁場之魚種組成及其豐度變動趨勢
I.04,平均營養指數
I.05,漁獲平衡指數
I.06,基礎生產力需求
I.07,投入漁業生物研究及基礎調查的經費
I.08,漁船總噸數及每年降低的噸數
I.09,有效漁船總數、每年減少的船數及每年新建造的船數
-,每年動力漁船主機馬力總數及減少的主機馬力總數
I.10,不利於生物多樣性的補貼措施並減低其負面影響
-,地方參與管理而有具體執行成效之案例數目
-,漁業管理措施公告數及取締違規作業出勤航次、漁船艘數、罰鍰金額
I.11,安裝與回報漁船監控系統船數
I.12,臺灣遠洋及沿近海漁船進出港天數與時數
-,派遣遠洋及沿近海觀察員數量、覆蓋率與執行航次
-,投入並執行永續漁業或海洋生物多樣性管理與保育教育宣導之人力、物力及經費
-,社區漁業巡守隊之數量及人數
I.13,與國際漁業管理及海洋保育組織接軌的法規種類與數量
-,參與相關國際會議次數與人數
II.01,海洋保護區的數目、面積及其佔專屬經濟水域之面積比
II.02,完全禁漁區的數目、面積及佔海洋保護區之面積比
II.03,海洋重要與敏感生態系之面積
II.04,海洋保護區中的生物多樣性群聚變化
II.05,非海洋保護區中的生物多樣性群聚變化
II.06,投入海洋保護區之調查及監測的人力、物力及經費
II.07,海洋保護區內的執法人力、經費投入與執法航次數
II.08,利益相關人或社區參與海洋保護區管理的比例或機制
II.09,投入海洋保護區教育宣導的人力、物力及經費
III.01,海域環境水質監測數據的合格率與海洋環境品質達甲類及乙類標準的河口數量
III.02,在海域及港口設置水質固定測站以定期長期監測水質因子的變化
III.03,海灘水質檢驗項目參數值變化
-,以底棲性生物如牡蠣或貽貝監測海域水質污染
-,監測特定海域底泥沉積物之成分分析
III.04,每年淨灘之垃圾噸數與分類數據
III.05,海洋酸化研究及監測的計畫數及資料
III.06,投入海洋污染防治與管理的人力、物力及經費
III.07,投入海域及港口監測的人力、物力、經費及設置連續即時自動監測水質儀器或系統之數量
III.08,投入海洋污染防治教育與宣導的人力及物力
IV.01,中華白海豚族群量
IV.02,上岸產卵母綠蠵龜數量
IV.03,稀有或保育類鯊魚來游數量或漁獲數量
-,鳳頭燕鷗族群量
IV.04,沿近海漁業混獲鯨豚量調查
IV.05,黑面琵鷺族群量
IV.06,沿近海鯨豚族群量
0.04,永續海鮮認證之比例
0.06,GBIF 開放資料平台中海洋生物出現資料筆數的增長
